timestamp,timestamp_sample,time_last_fuse,observation[0],observation[1],device_id,observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_filtered[0],innovation_filtered[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],test_ratio_filtered[0],test_ratio_filtered[1],estimator_instance,innovation_rejected,fused
50328057,50136842,50139984,31.185594150815525,117.19754780371686,0,0.25,0.25,0.005266455,-0.042911317,1.1264194e-05,-0.04739581,0.266682,0.2667976,4.1600933e-06,0.00027607163,-2.966402e-07,-0.0003547121,1,0,1
50850920,50652690,50662346,31.185593828719593,117.19754784846077,0,0.25,0.25,0.01466577,-0.049056683,0.008317671,-0.045953434,0.26612255,0.26621667,3.2328688e-05,0.0003615939,1.7247743e-05,-0.00032523338,1,0,1
51323653,51133696,51135429,31.185593275488813,117.1975480620063,0,0.25,0.25,0.036397118,-0.05877315,0.019490087,-0.051755965,0.2665777,0.26666626,0.00019877887,0.00051814324,7.7468445e-05,-0.0004100385,1,0,1
51826149,51633705,51638080,31.185593040542948,117.19754841749737,0,0.25,0.25,0.026417168,-0.0709354,0.025248986,-0.06132499,0.2658105,0.2658777,0.00010501719,0.0007570144,0.00010824351,-0.00057796197,1,0,1
52328837,52134912,52140731,31.185592891706506,117.1975488541224,0,0.25,0.25,0.020963378,-0.0915732,0.024824137,-0.078026526,0.2666886,0.26675627,6.591407e-05,0.0012574252,9.8724435e-05,-0.0009515792,1,0,1
52831508,52637690,52643383,31.18559263142846,117.1975490024686,0,0.25,0.25,0.022468466,-0.0872824,0.024189662,-0.083966896,0.26590246,0.26594847,7.594243e-05,0.0011458185,9.112163e-05,-0.0010786777,1,0,1
53334085,53136693,53146034,31.185592527759137,117.19754909517957,0,0.25,0.25,0.020391343,-0.08779561,0.019714357,-0.085035816,0.2667775,0.26681703,6.234512e-05,0.0011555587,6.339895e-05,-0.001095352,1,0,1
53826904,53637694,53638830,31.185592624129253,117.19754919124443,0,0.25,0.25,0.0038455303,-0.089640535,0.012567307,-0.08513943,0.2658467,0.26587242,2.2250574e-06,0.0012089146,3.33995e-05,-0.0010936073,1,0,1
54329535,54134692,54141482,31.185592619535992,117.19754938568359,0,0.25,0.25,0.0020744463,-0.09021536,0.00670148,-0.08584798,0.26676062,0.26677316,6.4527177e-07,0.0012203343,1.4482132e-05,-0.0011104963,1,0,1
54832777,54635703,54644134,31.185592609461477,117.1975494413579,0,0.25,0.25,0.00030514415,-0.07994121,0.0034453725,-0.081685394,0.26596576,0.26597276,1.400375e-08,0.00096109055,6.0580724e-06,-0.0010060136,1,0,1
55325004,55134690,55136930,31.18559271992169,117.19754946044215,0,0.25,0.25,-0.010665435,-0.06984022,-0.00079657376,-0.07628007,0.26670593,0.26670936,1.7060214e-05,0.00073153136,-1.3722465e-06,-0.00087969395,1,0,1
55827643,55636694,55639586,31.18559270398573,117.19754962843251,0,0.25,0.25,-0.0013016646,-0.06365577,-0.0026061262,-0.07205279,0.26590845,0.26591152,2.548743e-07,0.0006095347,-2.4245344e-06,-0.00078601367,1,0,1
56330342,56135690,56142235,31.185592806868765,117.19754983207027,0,0.25,0.25,-0.008904683,-0.06880191,-0.006528831,-0.07040806,0.26678696,0.2667952,1.18886455e-05,0.0007097133,-8.610753e-06,-0.000748717,1,0,1
56832924,56639005,56644887,31.18559279274365,117.19754991263453,0,0.25,0.25,-0.0046863677,-0.068922594,-0.006396339,-0.06797561,0.2659774,0.26599035,3.302843e-06,0.0007143603,-7.14314e-06,-0.0006969386,1,0,1
57325800,57134711,57137684,31.185592882704285,117.19754989802504,0,0.25,0.25,-0.0082131345,-0.060165692,-0.005420167,-0.06467176,0.2666923,0.26671568,1.0117364e-05,0.0005428868,-5.7353923e-06,-0.00063094986,1,0,1
57828419,57634694,57640337,31.18559287325025,117.19755008088578,0,0.25,0.25,-0.003571193,-0.06388318,-0.004687142,-0.06483515,0.2658777,0.26590258,1.9186898e-06,0.0006139182,-3.9643232e-06,-0.0006332024,1,0,1
58331058,58133695,58142990,31.185592876765565,117.1975503895339,0,0.25,0.25,-0.00025177383,-0.07081095,-0.002468064,-0.06642044,0.26535597,0.26538366,9.5554755e-09,0.00075576484,-1.899294e-06,-0.00066588126,1,0,1
58833666,58636713,58645644,31.185592876095846,117.19755059447833,0,0.25,0.25,-0.00016695732,-0.071151435,-0.0011931019,-0.06646045,0.26505277,0.26508504,4.2066715e-09,0.0007639098,-7.819486e-07,-0.00066751154,1,0,1
59326503,59134690,59138441,31.18559287523577,117.19755069700344,0,0.25,0.25,0.00052179844,-0.061775833,-0.00046014684,-0.065343075,0.2647215,0.26475695,4.114114e-08,0.0005765671,-3.1423983e-07,-0.00064565527,1,0,1
59829158,59636695,59641095,31.185592877027567,117.19755090622137,0,0.25,0.25,0.0040782304,-0.0674112,0.002541245,-0.06738179,0.2646403,0.26468068,2.5138972e-06,0.000686755,3.0256585e-06,-0.0006870971,1,0,1
60332132,60134691,60143748,31.185592869772627,117.19755110202387,0,0.25,0.25,0.0066731395,-0.067586236,0.0045831176,-0.06683431,0.26458362,0.26462665,6.7322067e-06,0.000690467,4.494779e-06,-0.00067602494,1,0,1
60824849,60635734,60636546,31.185592867206605,117.1975512958312,0,0.25,0.25,0.004861902,-0.069717266,0.0055500055,-0.0666538,0.26445067,0.26449472,3.5754256e-06,0.0007350615,5.478421e-06,-0.0006729728,1,0,1
61327261,61134752,61139200,31.18559277636282,117.19755148493851,0,0.25,0.25,0.010471916,-0.06625758,0.0061941715,-0.0655733,0.26568824,0.26574555,1.6509728e-05,0.0006607926,7.1389e-06,-0.0006501895,1,0,1
61829940,61636000,61641855,31.185593066240003,117.19755134367104,0,0.25,0.25,-0.000748155,-0.059576243,0.0026600298,-0.06440611,0.26530948,0.2653617,8.438988e-08,0.0005350175,2.975905e-06,-0.0006269175,1,0,1
62332616,62137694,62144509,31.18559522014113,117.19755008947665,0,0.25,0.25,0.014905492,-0.05269474,0.009420939,-0.057123724,0.26637965,0.2664942,3.336196e-05,0.0004167799,2.9947632e-05,-0.0004977606,1,0,1
62825404,62636694,62637307,31.18559511347513,117.19755001209188,0,0.25,0.25,0.0036232271,-0.05167136,0.008487422,-0.054573398,0.26561236,0.26567182,1.9769825e-06,0.00040198912,2.0261916e-05,-0.00045186278,1,0,1
63328062,63136691,63139961,31.18559529981741,117.19755023898557,0,0.25,0.25,0.00071189157,-0.050611183,0.0054696985,-0.05341333,0.2665475,0.26660758,7.605242e-08,0.00038430892,9.859449e-06,-0.00043119834,1,0,1
63830856,63634691,63642615,31.185595371876953,117.19754990129965,0,0.25,0.25,0.0018072408,-0.055924922,0.0037290473,-0.050311275,0.26582232,0.26586893,4.9147405e-07,0.0004705472,5.51321e-06,-0.00038579458,1,0,1
64333784,64136696,64145270,31.18559557165587,117.1975499367156,0,0.25,0.25,-0.010792934,-0.055255804,-0.0025754517,-0.04820166,0.26670718,0.26675892,1.747046e-05,0.0004578222,-3.684997e-06,-0.00035661252,1,0,1
64826108,64634690,64638068,31.18559645590262,117.19754957425226,0,0.25,0.25,-0.026615733,-0.04426335,-0.011651339,-0.04602574,0.2657882,0.26582935,0.000106610794,0.00029481231,-3.5015466e-05,-0.00032363582,1,0,1
65328874,65134885,65140722,31.185595067078456,117.19755130612093,0,0.25,0.25,0.009038477,-0.055332415,-0.013916662,-0.053558003,0.26529905,0.26536396,1.2317281e-05,0.00046150596,-5.8041096e-05,-0.000461759,1,0,1
65831451,65633705,65643376,31.185591382855016,117.1975517309502,0,0.25,0.25,-0.014088225,-0.017751146,-0.010323528,-0.040106535,0.265021,0.26513487,2.995658e-05,4.753855e-05,-3.439724e-05,-0.00028738842,1,0,1
66334197,66136690,66146030,31.185592621972734,117.19755054674127,0,0.25,0.25,-0.07453808,-0.023485264,-0.027281582,-0.033063874,0.26609838,0.26611963,0.0008351686,8.290371e-05,-0.00022545246,-0.00019642491,1,0,1
66826875,66633006,66638829,31.185610265944582,117.19753584975778,0,0.25,0.25,-0.023295064,-0.023812544,-0.049210876,-0.015877638,0.26565576,0.2658183,8.170876e-05,8.532704e-05,-0.00060045987,-7.824421e-05,1,0,1
67329599,67132913,67141482,31.185626929808922,117.19751840329603,0,0.25,0.25,0.05514226,-0.028582362,0.019588483,-0.048684277,0.26684207,0.2670361,0.00045580056,0.00012237318,0.00066200155,-0.0009707821,1,0,1
67822374,67632694,67634279,31.18564152670697,117.19749801564629,0,0.25,0.25,0.027231166,-0.0024600863,0.029919924,-0.025107367,0.26596415,0.26602238,0.00011152427,9.1000226e-07,0.00039708655,-0.0004025522,1,0,1
68325083,68134690,68136932,31.185656832848775,117.19747635347085,0,0.25,0.25,0.0074839992,-0.004025498,0.048277203,-0.05145631,0.26692343,0.2668362,8.393456e-06,2.4291508e-06,0.0008985996,-0.001297899,1,0,1
68827679,68637691,68639586,31.185671248571666,117.19745190474507,0,0.25,0.25,0.015587114,-0.012849008,0.029189114,-0.03072907,0.26607805,0.26593247,3.652434e-05,2.483292e-05,0.00039177175,-0.00055108336,1,0,1
69330318,69137693,69142236,31.185686573415243,117.19742574443771,0,0.25,0.25,-0.004966034,-0.008273584,0.057810873,-0.07615839,0.26687473,0.266715,3.6963402e-06,1.0265968e-05,0.0019060012,-0.0032349478,1,0,1
69823124,69634692,69635032,31.185703737568545,117.19740094579912,0,0.25,0.25,-0.035043564,0.032505594,0.0025834234,-0.013258441,0.26585916,0.26580265,0.00018476721,0.00015900724,0.0006548859,-0.0012083832,1,0,1
70325788,70136775,70137683,31.185721444769918,117.1973790962626,0,0.25,0.25,-0.034514,-0.00078612415,0.022419939,-0.040474024,0.2666562,0.2666911,0.00017868943,9.2690186e-08,0.0011197531,-0.0015414082,1,0,1
