timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
38958752,38958516,-0.9655544,1.0,0.19397888
38961216,38960980,-0.9612852,1.0,0.19553865
38980909,38980691,-0.9486389,1.0,0.19594626
39000623,39000403,-0.9471498,1.0,0.19362135
39022796,39022579,-0.9275084,1.0,0.18744466
39040044,39039826,-0.91634864,1.0,0.18346281
39062221,39062002,-0.9081961,1.0,0.17389494
39081948,39081713,-0.8885374,1.0,0.16831602
39099208,39098961,-0.85687673,1.0,0.16620669
39121351,39121137,-0.8375364,0.97728854,0.16520327
39141063,39140848,-0.7966289,0.8894589,0.17213297
39163256,39163024,-0.7511059,0.7642667,0.15240002
39180486,39180272,-0.73741645,0.6818606,0.14106347
39200198,39199983,-0.74021804,0.6075249,0.12260322
39222379,39222159,-0.8091241,0.58060306,0.107236505
39239627,39239407,-0.8919306,0.62550706,0.102048144
39261800,39261582,-0.9779982,0.75060064,0.1124238
39281511,39281294,-0.9031702,0.90132934,0.1138401
39303694,39303469,-0.8954479,1.0,0.10373452
39320935,39320717,-0.889021,1.0,0.097103596
39340649,39340429,-0.85777503,1.0,0.092423834
39362847,39362604,-0.85368335,1.0,0.09693383
39380069,39379852,-0.7838487,1.0,0.10759709
39399782,39399564,-0.68493503,1.0,0.10720416
39421954,39421739,-0.65963304,1.0,0.10673111
39441673,39441451,-0.70982915,1.0,0.10983715
39458918,39458699,-0.726271,1.0,0.12070002
39481103,39480874,-0.73823017,0.96131647,0.14206047
39503316,39503050,-0.7582642,0.83696884,0.16167761
39520512,39520297,-0.74312854,0.74741995,0.17408594
39540226,39540009,-0.73433936,0.6584758,0.17946649
39562416,39562185,-0.75407296,0.56318134,0.18921047
39582114,39581896,-0.745534,0.4881394,0.1940771
39599360,39599144,-0.7260169,0.43192464,0.19678
39621540,39621320,-0.70766824,0.3470066,0.1933693
39641247,39641031,-0.55923885,0.3900221,0.1870325
39658494,39658279,-0.18623894,0.4206063,0.038041756
39680672,39680454,0.39606598,0.3011187,0.1839932
39700382,39700166,0.7509816,0.11022875,0.19345917
39722561,39722342,0.8927225,-0.11575374,0.20303452
39739816,39739589,0.879349,-0.20165893,0.2065777
39762002,39761765,0.85722923,-0.28291732,0.21313176
39781694,39781477,-0.28091225,-1.0,0.034107428
39798942,39798725,-0.85604185,-1.0,0.2654908
39821117,39820900,-0.96008694,-0.6170698,0.2476767
39843301,39843076,-1.0,-0.4299292,0.24691297
39863001,39862787,-1.0,-0.13940822,0.24182276
39880249,39880035,-1.0,-0.11840385,0.25135964
39899960,39899747,-1.0,0.05655564,0.25336608
39922137,39921922,-1.0,0.051616505,0.2614046
39939448,39939170,-1.0,0.08604477,0.26152754
39961573,39961345,-1.0,0.093900666,0.26784483
39981347,39981058,-0.99634236,-0.15892266,0.28778467
40003444,40003233,-1.0,-0.19858982,0.29864934
40020693,40020480,-1.0,-0.17802887,0.30893818
40040423,40040192,-1.0,-0.15890238,0.3156987
40062579,40062368,-1.0,-0.15223055,0.3241337
40079828,40079615,-1.0,-0.16076589,0.3334141
40099542,40099327,-1.0,-0.16904432,0.34232268
40121721,40121503,-1.0,-0.1914376,0.34908557
40141460,40141214,-1.0,-0.20974292,0.35302782
40161140,40160926,-1.0,-0.22985467,0.35295188
40180849,40180637,-1.0,-0.24732788,0.3531091
40203029,40202813,-1.0,-0.25973353,0.35408074
40220271,40220061,-1.0,-0.26057467,0.3502171
40239985,40239772,-1.0,-0.25223112,0.3464799
40262165,40261948,-1.0,-0.24151742,0.34197372
40281873,40281660,-1.0,-0.2178422,0.33607745
40299140,40298907,-1.0,-0.19360228,0.3348485
40321298,40321083,-1.0,-0.15467477,0.33845764
40341025,40340795,-1.0,-0.11959759,0.3461601
40360738,40360506,-1.0,-0.08123108,0.3536441
40380444,40380218,-1.0,-0.04504144,0.35798892
40402607,40402394,-1.0,-0.014133397,0.36322224
40422325,40422105,-0.9779787,0.010493887,0.3608291
40439568,40439353,-0.94659144,0.030836258,0.3519086
40461741,40461528,-0.9084372,0.042143382,0.3444607
40481453,40481240,-0.8669599,0.048233047,0.33267266
40498700,40498488,-0.8429971,0.05299565,0.31720367
40520882,40520664,-0.8226825,0.045994986,0.3048343
40540620,40540375,-0.8035825,0.036654543,0.29175854
40560301,40560087,-0.7839393,0.024643753,0.27958637
40580012,40579799,-0.75578254,0.011624313,0.26601425
40602192,40601974,-0.7282373,-0.002424681,0.24695624
40621900,40621686,-0.7175975,-0.0045368085,0.23156506
40639160,40638933,-0.7079668,-0.0032655138,0.22022353
40661334,40661109,-0.6814766,-0.00023420449,0.20307638
40681034,40680821,-0.67114407,0.006402781,0.18861543
40698282,40698068,-0.6602897,0.011376829,0.17906737
40720460,40720244,-0.6373465,0.019666981,0.16355202
40740184,40739956,-0.62211645,0.022215368,0.15151507
40762360,40762131,-0.60141027,0.026405165,0.14166039
40779611,40779379,-0.5734415,0.02733323,0.1293291
40801767,40801555,-0.55164695,0.027151251,0.11682689
40821479,40821266,-0.5296551,0.023488775,0.10484243
40843657,40843442,-0.49773717,0.01811718,0.08803028
40860917,40860690,-0.4772584,0.015734984,0.07666061
40880613,40880401,-0.4485995,0.011102157,0.059573777
40902787,40902577,-0.40896928,0.005396148,0.035601515
40920049,40919825,-0.3874175,0.0042908094,0.020194728
