timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
38958911,2490378,4259850,2490378,0,0,0.066066295,0.06606627,0.0,0.0,2490378,4325386,2490378,0,0,0.0024249493,0.0024249472,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
38964026,2490378,4259850,2490378,0,0,0.067917556,0.067917526,0.0,0.0,2490378,4325386,2490378,0,0,0.0024457455,0.0024457437,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
39160887,2490378,4259850,2490378,0,0,0.068456784,0.06845684,0.0,0.0,2490378,4325386,2490378,0,0,0.0063156,0.0063156034,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
39363202,2490378,4259850,2490378,0,0,0.08984409,0.08984405,0.0,0.0,2490378,4325386,2490378,0,0,0.0064502815,0.0064502843,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
39560050,2490378,4259850,2490378,0,0,0.12484556,0.12484551,0.0,0.0,2490378,4325386,2490378,0,0,0.009831558,0.009831558,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
39762351,2490378,4259850,2490378,0,0,0.08259457,0.08259453,0.0,0.0,2490378,4325386,2490378,0,0,0.0037119186,0.0037119228,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
39959246,2490378,4259850,2490378,0,0,0.075526275,0.07552625,0.0,0.0,2490378,4325386,2490378,0,0,0.005308461,0.005308463,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
40161238,2490378,4259850,2490378,0,0,0.08340424,0.08340424,0.0,0.0,2490378,4325386,2490378,0,0,0.001189068,0.001189068,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
40358394,2490378,4259850,2490378,0,0,0.064174354,0.06417435,0.0,0.0,2490378,4325386,2490378,0,0,0.0024605205,0.0024605205,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
40560375,2490378,4259850,2490378,0,0,0.08220892,0.08220894,0.0,0.0,2490378,4325386,2490378,0,0,0.0027746088,0.0027746113,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
40762456,2490378,4259850,2490378,0,0,0.066307455,0.066307455,0.0,0.0,2490378,4325386,2490378,0,0,0.0030219136,0.0030219152,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
40959542,2490378,4259850,2490378,0,0,0.10773616,0.10773618,0.0,0.0,2490378,4325386,2490378,0,0,0.0028685064,0.0028684998,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
