timestamp,flight_phase
39939816,0
40945147,0
41940697,0
42946427,0
43941278,0
44946516,0
45941973,0
46937450,0
47942706,0
48938123,0
49943438,0
50938894,0
51944214,0
52939848,0
53945190,0
54940457,0
55945685,0
56941135,0
57946905,0
58941911,0
59937421,0
60942695,0
61938416,0
62943476,0
63938920,0
64944434,0
65939641,0
66944937,0
67940422,0
68945739,0
69941161,0
70946475,0
71941936,0
72947182,0
73942861,0
74938087,0
75943544,0
76938839,0
77944351,0
78939629,0
79945078,0
80940556,0
81945781,0
82941066,0
83946234,0
84941696,0
85946958,0
86942382,0
87937787,0
88943073,0
89938473,0
90943941,0
91939239,0
92944447,0
93939908,0
94945180,0
95940575,0
96945887,0
97941515,0
98946553,0
99942230,0
100947245,3
101942643,3
102938030,3
103943287,3
104938716,3
105943965,3
106939378,3
107944647,3
108940197,3
109945448,3
110940687,3
111945959,3
112941312,3
113946542,3
114942151,3
115947313,3
116942886,3
117938005,1
118943646,1
119938681,1
120943851,1
121939404,1
122944506,1
123939867,1
124945126,1
125940516,1
126945737,1
127941118,1
128946411,1
129941834,1
130946952,1
131942376,1
132937771,1
133943223,1
134938348,1
135943586,1
136939286,1
137944155,1
138939781,1
139944791,1
140940159,1
141945359,1
142940732,1
143945996,1
144941373,1
145946578,1
146941996,1
147947186,1
148942681,1
149937942,1
150943381,1
151938533,1
152944138,1
153939091,1
154944377,1
155939718,1
156944937,1
157940257,1
158945454,1
159940899,1
160946027,1
161941437,1
162946598,1
163941999,1
164947362,1
165942664,1
166938118,1
167943384,1
168938505,1
169943745,1
170939074,1
171944342,1
172939633,1
173944867,1
174940459,1
175945596,1
176940768,1
177945991,1
178941341,1
179946565,1
180941957,1
181937469,1
182942796,1
183937830,1
184943315,1
185938418,1
186943559,1
187938946,1
188944170,1
189939513,1
190944758,1
191940062,1
192945241,1
193940582,1
194945870,1
195941370,1
196946335,1
197941877,1
198946952,1
199942407,1
200937691,1
201943252,1
202938160,1
203943397,1
204938663,0
205943893,0
206939256,0
207944440,0
208939949,0
209945002,0
210940350,0
211945496,0
212940889,0
213946223,0
214941485,0
215946658,0
216942255,0
217947358,0
218942566,0
219937824,0
220943026,0
221938402,0
222943585,0
223938961,0
224944120,0
225939680,0
226944664,0
227940195,0
228945203,0
229940722,0
230945765,0
231941386,0
232946375,0
233941720,0
234946842,0
235942263,0
236937495,0
237942695,0
238938100,0
239943448,0
240938599,0
241943779,0
242939155,0
243944315,0
244939644,0
245944834,0
246940366,0
247945380,0
248940792,0
249945944,0
250941267,0
251946440,0
252941771,0
253946939,0
254942359,0
255937606,0
256942804,0
257938221,0
258943398,0
259938671,0
260943851,0
261939243,0
262944432,0
263939811,0
264944942,0
265940536,0
266945472,0
267940763,0
268945995,0
269941524,0
270946614,0
271941871,0
272947217,0
273942600,0
274937730,0
275942892,0
276938274,0
277943375,0
278938915,0
279944167,0
280939529,0
281944441,0
282939828,0
283944942,0
284940285,0
285945459,0
286940804,0
