timestamp,voltage5v_v,voltage_payload_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid,payload_v_valid
39423003,5.273474,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
39922838,5.2621946,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
40422966,5.267029,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
40922838,5.277301,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
41422863,5.2746825,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
41923024,5.26008,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
42422839,5.2728696,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
42922839,5.2730713,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
43422838,5.2781067,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
43922839,5.2716613,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
44422998,5.273474,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
44922838,5.273172,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
45422838,5.270453,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
45922838,5.2785096,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
46422839,5.2730713,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
46922838,5.2673306,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
47422838,5.2767973,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
47923302,5.269647,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
48422870,5.2657194,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
48922838,5.28143,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
49423037,5.2480955,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
49922858,5.2674317,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
50422857,5.2738767,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
50922838,5.2738767,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
51422839,5.2663236,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
51922862,5.2621946,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
52422839,5.269345,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
52922839,5.273776,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
53422839,5.273575,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
53922838,5.258972,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
54423079,5.2742796,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
54922846,5.2634034,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
55422839,5.281329,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
55922839,5.2738767,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
56422849,5.267029,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
56922912,5.282739,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
57422843,5.2702513,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
57922838,5.2697477,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
58422839,5.28143,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
58922838,5.2782073,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
