timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err,check_fail_spoofed_gps
39173663,38975628,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
39732664,39534628,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
40171666,39976673,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
40730729,40533676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
41229564,41033639,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
41729001,41534626,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
42167675,41975631,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
42726613,42532630,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
43175681,42982636,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
43724564,43532746,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
44183646,43986633,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
44732744,44534632,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
45171671,44973654,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
45730588,45537627,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
46179679,45982631,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
46728577,46534631,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
47237705,47044628,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
47726567,47533653,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
48185845,47991631,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
48734565,48534628,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
49193724,48996626,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
49732614,49535630,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
50191655,49998628,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
50750538,50553641,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
51199797,51006634,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
51738606,51539629,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
52177741,51985641,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
52736626,52539104,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
