log,armed_s,fix_counts,rtk_fixed_ratio_active,rtk_float_or_better_ratio_active,sat_used_p50,eph_p50_m,eph_p95_m,epv_p50_m,epv_p95_m,rtcm_rate_p95,rtcm_msg_used_max,selected_rtcm_instance_values,est_hacc_p50_m,est_hacc_p95_m,raw_gps_stationary_h95_m,raw_gps_stationary_rms_m,local_pos_stationary_h95_m,local_pos_stationary_rms_m
log_0_2026-3-7-17-56-30,86.99174699999998,"{3: 112, 4: 1}",0.0,0.0,28.0,2.31081,3.371639879999999,2.577699,3.0033665199999997,0.15996800999999092,0.0,0,,,0.3853329469672139,0.23816496877212195,1.687774785824366,0.8190281029466313
log_1_2026-3-8-10-02-40,16.000897999999992,{3: 28},0.0,0.0,28.0,1.941025,2.12602124,2.414151,2.52887736,0.0,0.0,0,0.48402894,0.500770886,,,0.20092752696398802,0.13912017811909574
