timestamp,voltage5v_v,voltage_payload_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid,payload_v_valid
388726355,5.219293,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
389225978,5.235306,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
389726117,5.2212067,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
390226308,5.2306733,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
390726380,5.233896,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
391226060,5.2267456,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
391725904,5.2391324,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
392225904,5.1981444,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
392725904,5.230371,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
393225904,5.237622,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
393725903,5.220703,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
394225917,5.252426,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
394725904,5.247995,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
395225905,5.1860595,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
395725905,5.224631,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
396225905,5.21315,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
396725904,5.20177,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
397225904,5.2056975,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
397725904,5.248599,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
398225905,5.2245297,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
398725905,5.227249,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
399225904,5.242053,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
399725932,5.24165,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
400225905,5.215164,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
400725904,5.249606,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
401225904,5.2245297,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
401725904,5.221811,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
402225904,5.233896,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
402725936,5.2077117,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
403225905,5.2253356,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
403725906,5.230774,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
404225905,5.228961,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
404725906,5.2260404,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
405225905,5.2488008,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
