timestamp,normalized_setpoint
389235803,0.0
390235831,0.0
391235859,0.0
392233440,0.0
393235954,0.0
394235996,0.0
395236049,0.0
396233622,0.0
397236137,0.0
398236170,0.0
399233754,0.0
400236249,0.0
401236276,0.0
402236310,0.0
403233874,0.0
404236357,0.0
405236382,0.0
406233939,0.0
407233952,0.0
408236432,0.0
409236439,0.0
410233999,0.0
411236461,0.0
412236473,0.0
413234049,0.0
414234013,0.0
415236486,0.0
416236477,0.0
417234013,0.0
418236487,0.0
419236463,0.0
420233992,0.0
421233976,0.0
422236432,0.0
423236417,0.0
424233938,0.0
425236398,0.0
426236363,0.0
427233902,0.0
428236330,0.0
429236298,0.0
430236271,0.0
431233789,0.0
432236218,0.0
433236181,0.0
434233696,0.0
435236115,0.0
436231154,0.0
437236114,0.0
438233623,0.0
439236022,0.0
440236016,0.0
441233507,0.0
442235932,0.0
443235909,0.0
444238347,0.0
445233411,0.0
446235852,0.0
447235838,0.0
448233361,0.0
449235842,0.0
450235785,0.0
451238259,0.0
452235816,0.0
453235773,0.0
454235767,0.0
455233294,0.0
456235765,0.0
457235760,0.0
458238219,0.0
459235792,0.0
460235752,0.0
461235750,0.0
462233304,0.0
463235752,0.0
464235764,0.0
465238220,0.0
466235771,0.0
467235777,0.0
468235808,0.0
469233341,0.0
470235793,0.0
471235833,0.0
472238287,0.0
473235810,0.0
474235867,0.0
475235850,0.0
476233398,0.0
477235882,0.0
478235898,0.0
479235908,0.0
480233465,0.0
481235939,0.0
482235987,0.0
483233511,0.0
484228604,0.0
485236013,0.0
486236033,0.0
487233594,0.0
488236104,0.0
489236096,0.0
490233657,0.0
491236147,0.0
492236185,0.0
493236252,0.0
494233859,0.0
495236275,0.0
496236302,0.0
497233866,0.0
498236361,0.0
499236365,0.0
500236435,0.0
501233950,0.0
502236432,0.0
503236464,0.0
504234031,0.0
505234065,0.0
506236557,0.0
507236614,0.0
508234171,0.0
509236648,0.0
510236695,0.0
511234261,0.0
512234315,0.0
513236780,0.0
514236815,0.0
515234387,0.0
516234421,0.0
517236942,0.0
518234491,0.0
519234539,0.0
520237032,0.0
521237067,0.0
522234638,0.0
523234682,0.0
524237188,0.0
525234771,0.0
526234782,0.0
527237286,0.0
528237332,0.0
529234902,0.0
530234937,0.0
531237449,0.0
532235016,0.0
533235062,0.0
534235099,0.0
535237614,0.0
536235174,0.0
537235225,0.0
538237733,0.0
539235315,0.0
540235372,0.0
541235397,0.0
542237904,0.0
543235498,0.0
544235526,0.0
545235576,0.0
546233149,0.0
547235656,0.0
548235723,0.0
549238210,0.0
550235796,0.0
551235852,0.0
552235883,0.0
553233489,0.0
554235969,0.0
555236011,0.0
556236054,0.0
557233634,0.0
558236155,0.0
559236186,0.0
560233792,0.0
561236313,0.0
562236348,0.0
563236410,0.0
564233978,0.0
565236483,0.0
566236528,0.0
567234115,0.0
568234161,0.0
569236629,0.0
570236678,0.0
571234273,0.0
