timestamp,normalized_wheel_setpoint
388273396,0.009615483
388277762,0.009615483
388376245,0.009615483
388479981,0.009615483
388573287,0.009615483
388677048,0.009615483
388780236,0.009615483
388878751,0.009615483
388977269,0.009615483
389075799,0.009615483
389179510,0.009615483
389278777,0.009615483
389376578,0.009615483
389479753,0.009615483
389578276,0.009615483
389676799,0.009615483
389775324,0.009615483
389879101,0.009615483
389977565,0.009615483
390076095,0.009615483
390179298,0.009615483
390277814,0.0072116363
390376340,0.0072116363
390474868,0.00480779
390578611,0.009615483
390677107,0.009615483
390775632,0.009615483
390878825,0.009615483
390977355,0.009615483
391075922,0.009615483
391174429,0.009615483
391278334,0.009615483
391376706,0.009615483
391475229,0.009615483
391578371,0.009615483
391676913,0.009615483
391780671,0.009615483
391873952,0.009615483
391977661,0.009615483
392076218,0.009615483
392179374,0.009615483
392277939,0.009615483
392376434,0.009615483
392480164,0.009615483
392578672,0.009615483
392677194,0.009615483
392775736,0.009615483
392878922,0.009615483
392977500,0.009615483
393075972,0.009615483
393179684,0.009615483
393278259,0.009615483
393376767,0.009615483
393475293,0.009615483
393578460,0.009615483
393676993,0.009615483
393775517,0.009615483
393879229,0.009615483
393977751,0.009615483
394076315,0.009615483
394174852,0.009615483
394278007,0.009615483
394376476,0.009615483
394475060,0.009615483
394578805,0.009615483
394677315,0.009615483
394775850,0.009615483
394874348,0.009615483
394977541,0.009615483
395076067,0.009615483
395174598,0.009615483
395278299,0.009615483
395376869,0.009615483
395475381,0.009615483
395573897,0.009615483
395677082,0.009615483
395780800,0.009615483
395874133,0.009615483
395977952,0.009615483
396076457,0.009615483
396179566,0.009615483
396273435,0.009615483
396376610,0.009615483
396480345,0.009615483
396578916,0.009615483
396677433,0.009615483
396775977,0.009615483
396879095,0.009615483
396977632,0.009615483
397076148,0.009615483
397179904,0.009615483
397278427,0.009615483
397376963,0.009615483
397475445,0.009615483
397578698,0.009615483
397677160,0.009615483
397775727,0.009615483
397879472,0.009615483
397977956,0.009615483
398076449,0.009615483
398175006,0.009615483
398278180,0.009615483
398376767,0.009615483
398475252,0.009615483
398578972,0.009615483
398677483,0.009615483
398776029,0.009615483
398874526,0.009615483
398977741,0.009615483
399076227,0.009615483
399174906,0.009615483
399278471,0.009615483
399377001,0.009615483
399480207,0.009615483
399574114,0.009615483
