timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
394676892,394676643,0.42427883,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
394777863,394777632,0.43629804,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
394876401,394876159,0.44591343,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
394977379,394977149,0.44591343,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
395080846,395080602,0.44591343,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
395176903,395176668,0.44591343,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
395280352,395280118,0.4507211,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
395376413,395376182,0.45312497,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
395479868,395479635,0.4699519,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
395575937,395575698,0.4819711,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
395679386,395679151,0.5035971,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
395780372,395780141,0.5155875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
395878902,395878667,0.53477216,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
395979943,395979657,0.5467626,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
396075976,396075721,0.55755395,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
396179404,396179173,0.5683453,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
396275467,396275236,0.57913667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
396378919,396378689,0.58752996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
396479909,396479678,0.59592324,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
396578437,396578204,0.6091127,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
396679435,396679194,0.6127098,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
