timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
25429625,25241674,2490378,4.1631443e-05,0.00044946186,-0.006302975,0.15,1.8751523e-06,4.37257e-06,7.4102536e-07,2490378,-0.064280115,0.08608248,0.008267928,0.4,0.014591294,0.022431057,0.0006697632,527633,-0.001725732,-0.0032632628,-0.0076052076,0.5,0.0010882354,0.00042455064,0.00039616352,1,0,1,0,1,0
26326359,26138512,2490378,0.00014580671,0.0004126825,-0.006319763,0.15,1.7437098e-06,3.7100272e-06,7.31457e-07,2490378,-0.06850704,0.08380485,0.0081972815,0.4,0.013971691,0.021104343,0.0005965729,527633,-0.0022680738,-0.0040533952,-0.009132059,0.5,0.0010431458,0.00033617462,0.00033885884,1,0,1,0,1,0
27430149,27242315,2490378,0.00048296462,0.0005520884,-0.006406533,0.15,1.5103512e-06,2.8424217e-06,7.131805e-07,2490378,-0.072730444,0.07354408,0.012146748,0.4,0.013226294,0.019932149,0.000530428,527633,-0.0038505094,-0.0035689587,-0.008995473,0.5,0.001013474,0.0003202515,0.0003228482,1,0,1,0,1,0
28425577,28237712,2490378,0.00064716244,1.8648348e-05,-0.0063782674,0.15,1.2585772e-06,2.1293602e-06,6.9288825e-07,2490378,-0.13047667,0.11559511,0.0028929978,0.4,0.011922577,0.018410306,0.00043012842,527633,-0.004008341,-0.0039841514,-0.009725183,0.5,0.0006418352,0.00031601178,0.0002720735,1,0,1,0,1,0
29431319,29242964,2490378,0.00033090252,0.0003691124,-0.006310633,0.15,1.0487574e-06,1.6553015e-06,6.806192e-07,2490378,-0.13701251,0.12302492,0.00010552728,0.4,0.011284631,0.01754911,0.0003646728,527633,-0.0023555255,-0.003380997,-0.009334104,0.5,0.0004235669,0.00031300882,0.00021717665,1,0,1,0,1,0
30327682,30139808,2490378,0.0006816074,0.00025895934,-0.006323939,0.15,9.004454e-07,1.3457266e-06,6.7516993e-07,2490378,-0.16550243,0.1166295,0.004514612,0.4,0.010786462,0.017225852,0.00034075868,527633,-0.0031768947,-0.003203968,-0.00949299,0.5,0.00035065378,0.00030951903,0.00019379558,1,1,1,0,1,0
31431688,31243619,2490378,0.00069267617,0.0004589691,-0.006294106,0.15,7.582292e-07,1.0916566e-06,6.714073e-07,2490378,-0.16237023,0.11688238,0.0037630524,0.4,0.010062948,0.017100397,0.00032603226,527633,-0.0026403505,-0.002626612,-0.009969967,0.5,0.00031655823,0.00030751017,0.00018147784,1,1,1,0,1,0
32328330,32140466,2490378,0.0007507907,0.00050228345,-0.00626824,0.15,6.602175e-07,9.1905946e-07,6.694324e-07,2490378,-0.16463548,0.11599691,0.00433225,0.4,0.009487112,0.017018985,0.00031756834,527633,-0.0021536404,-0.0025924982,-0.010186668,0.5,0.00031419776,0.00030681267,0.0001801283,1,1,1,0,1,0
33333587,33145725,2490378,0.0007631627,0.0005953819,-0.0062312256,0.15,5.8184503e-07,7.840498e-07,6.6638256e-07,2490378,-0.15598828,0.12358116,0.00236596,0.4,0.009274589,0.01682274,0.00030618804,527633,-0.002281782,-0.0017527306,-0.010370466,0.5,0.00030552255,0.00030480663,0.00017733975,1,1,1,0,1,0
34181681,33993298,2490378,0.00082684867,0.00065621064,-0.0061740866,0.15,5.2620334e-07,6.8616913e-07,6.642892e-07,2490378,-0.16050278,0.119765714,0.0028354193,0.4,0.008992993,0.016639808,0.0002995823,527633,-0.0027461993,-0.0016637266,-0.010375351,0.5,0.0002839942,0.00030309966,0.00017002648,1,1,1,0,1,0
