timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
25372436,25372257,2490378,-0.3728969,0.32701802,9.689005,24.95471,0,0,0,0,20
26372754,26372578,2490378,0.99164844,0.798167,9.524045,25.08756,0,0,0,0,20
27373073,27372899,2490378,-1.7345093,-1.1981184,8.961408,25.13285,0,0,0,0,20
28375861,28375687,2490378,2.1901858,-0.43143514,8.526321,25.241547,0,0,0,0,20
29373723,29373548,2490378,4.212448,0.00092775316,8.208371,25.256643,0,0,0,0,20
30374048,30373875,2490378,1.2984953,0.46674964,10.1226845,25.332125,0,0,0,0,20
31374375,31374203,2490378,0.5987899,-0.23834278,10.26921,25.413647,0,0,0,0,20
32372244,32372070,2490378,0.0114622405,-0.88441813,9.714204,25.507246,0,0,0,0,20
33372577,33372401,2490378,3.3548152,-0.32821512,8.850257,25.594807,0,0,0,0,20
34375398,34375199,2490378,2.2209811,3.4529178,9.425493,25.655193,0,0,0,0,20
35375705,35375533,2490378,0.88408893,-0.4722563,9.737757,25.76087,0,0,0,0,20
36373590,36373406,2490378,1.8061858,0.19560628,9.404783,25.772947,0,0,0,0,20
37373921,37373744,2490378,1.8218678,-1.352724,9.016563,25.71558,0,0,0,0,20
38374258,38374083,2490378,0.46363717,-1.0164584,7.7568545,25.845411,0,0,0,0,20
39372132,39371959,2490378,0.6278794,3.4292152,6.8908715,25.857489,0,0,0,0,20
40372474,40372301,2490378,5.8454437,-6.221333,7.5132446,25.954105,0,0,0,0,20
41375283,41375106,2490378,-2.9322987,-0.39492357,16.391184,26.056763,0,0,0,0,20
42375627,42375449,2490378,10.52539,1.4535198,3.0984561,26.053743,0,0,0,0,20
43373503,43373328,2490378,-2.722327,-2.4764426,20.634308,25.97826,0,0,0,0,20
44373845,44373670,2490378,-0.3311181,-3.4517207,7.4703884,26.014492,0,0,0,0,20
45374188,45374011,2490378,-12.958258,5.3008823,1.6485276,25.929953,0,0,0,0,20
46372065,46371889,2490378,3.7549462,4.708916,18.880795,25.815218,0,0,0,0,20
47372406,47372230,2490378,10.196666,-0.16364369,38.41832,25.926933,0,0,0,0,20
48375213,48375035,2490378,9.709925,-3.8186321,21.631372,25.954105,0,0,0,0,20
49375549,49375376,2490378,-5.1611805,0.8288726,-1.9098548,25.869566,0,0,0,0,20
50373427,50373252,2490378,1.6219519,-4.8573565,-11.70214,25.836353,0,0,0,0,20
51373771,51373594,2490378,3.2534807,-2.583583,3.5127728,25.857489,0,0,0,0,20
52374110,52373932,2490378,2.5758018,-4.565862,9.529042,25.917875,0,0,0,0,20
53371984,53371808,2490378,4.958631,2.9388826,5.303037,25.778986,0,0,0,0,20
54372341,54372147,2490378,-7.308061,-2.3754072,26.983131,25.676329,0,0,0,0,20
55375125,55374947,2490378,27.732996,-0.4414908,32.741787,25.688406,0,0,0,0,20
56375457,56375282,2490378,3.6032736,7.2336016,5.9742517,25.625,0,0,0,0,20
57373324,57373151,2490378,3.060508,1.8175583,46.458168,25.540459,0,0,0,0,20
58373656,58373482,2490378,1.9055451,-0.6810307,6.4206505,25.49215,0,0,0,0,20
59373989,59373814,2490378,9.257421,0.10402807,-17.59008,25.519323,0,0,0,0,20
60371859,60371682,2490378,15.781021,3.8787265,24.899818,25.452898,0,0,0,0,20
61372189,61372013,2490378,-7.3079414,3.9885006,11.392689,25.567633,0,0,0,0,20
62374982,62374808,2490378,-0.6440403,-1.5996859,18.471148,25.48913,0,0,0,0,20
63375312,63375140,2490378,8.280826,-0.75153995,11.9834585,25.40157,0,0,0,0,20
64373180,64373006,2490378,-7.153875,-7.282324,-11.913069,25.495169,0,0,0,0,20
65373512,65373335,2490378,-3.1432278,-5.620149,3.8697484,25.467995,0,0,0,0,20
66373839,66373663,2490378,12.685917,-2.2680273,35.91925,25.386473,0,0,0,0,20
67371701,67371526,2490378,15.647425,-0.10115502,22.636938,25.280798,0,0,0,0,20
68374492,68374315,2490378,-1.6135722,-6.9298973,6.7485366,25.35024,0,0,0,0,20
69374813,69374638,2490378,2.6512194,-1.15616,7.978079,25.13587,0,0,0,0,20
70375139,70374960,2490378,-1.9618089,-6.0295577,5.120838,25.072464,0,0,0,0,20
71372990,71372816,2490378,6.561549,-4.5196543,32.701324,25.039251,0,0,0,0,20
72373378,72373136,2490378,15.258607,4.0603266,8.020336,24.915459,0,0,0,0,20
73373626,73373451,2490378,2.5121162,-0.6089652,10.065943,24.86413,0,0,0,0,20
74371537,74371302,2490378,-0.7315483,3.848799,-6.693829,24.785627,0,0,0,0,20
75374255,75374080,2490378,1.1370064,2.8343756,3.6849158,24.788647,0,0,0,0,20
76374568,76374391,2490378,4.3801923,-0.009097966,19.271288,24.77657,0,0,0,0,20
77374876,77374702,2490378,8.475235,2.9372067,19.907068,24.652779,0,0,0,0,20
78372722,78372547,2490378,19.71278,-6.4244814,31.79081,24.59843,0,0,0,0,20
79373032,79372856,2490378,-1.1501745,-1.4597448,0.10857705,24.631643,0,0,0,0,20
80375805,80375630,2490378,5.7257333,-2.7876887,-8.567532,24.625605,0,0,0,0,20
81371183,81371009,2490378,-3.9856277,-7.4130473,6.721841,24.580315,0,0,0,0,20
82373957,82373781,2490378,0.079008654,-2.719813,3.55108,24.51087,0,0,0,0,20
83374266,83374089,2490378,1.2474989,-0.54037136,23.95722,24.595411,0,0,0,0,20
84374576,84374396,2490378,13.127289,-8.6017685,46.763428,24.411232,0,0,0,0,20
85372417,85372240,2490378,14.644613,-4.394198,16.715359,24.471619,0,0,0,0,20
86372720,86372546,2490378,-1.6178818,-1.8331206,13.9897995,24.474638,0,0,0,0,20
87375490,87375316,2490378,2.1902158,5.568913,-10.8864355,24.477657,0,0,0,0,20
88373330,88373157,2490378,4.1978736,1.0480618,-15.53382,24.381039,0,0,0,0,20
89373634,89373460,2490378,-1.548809,-0.35051113,10.392871,24.453503,0,0,0,0,20
90373941,90373764,2490378,1.971266,3.9422925,23.06526,24.32971,0,0,0,0,20
91374240,91374066,2490378,3.7708678,0.7937976,28.568333,24.338768,0,0,0,0,20
92372082,92371904,2490378,-4.400902,4.325245,12.308112,24.2814,0,0,0,0,20
93374844,93374668,2490378,-4.37277,-3.1614237,13.279559,24.248188,0,0,0,0,20
94375141,94374966,2490378,-3.6226666,4.4935575,-2.962705,24.10628,0,0,0,0,20
95372974,95372799,2490378,2.1657948,4.556525,1.2331336,24.142511,0,0,0,0,20
96373269,96373095,2490378,2.8980615,0.472376,-2.4206576,24.14553,0,0,0,0,20
97373567,97373391,2490378,-5.3518786,5.602552,15.475881,24.036837,0,0,0,0,20
98376324,98376148,2490378,9.479722,3.522589,5.1228733,23.955315,0,0,0,0,20
99371686,99371512,2490378,10.838073,0.32118216,31.26971,23.93116,0,0,0,0,20
100374447,100374268,2490378,15.962981,0.6145916,12.489353,24.006643,0,0,0,0,20
101374738,101374561,2490378,6.0345855,-1.4063541,15.003863,23.907005,0,0,0,0,20
102372562,102372389,2490378,2.9096735,-2.9757533,15.984409,23.83756,0,0,0,0,20
103372852,103372678,2490378,-5.1378374,-9.956886,3.2995691,23.722826,0,0,0,0,20
104373140,104372967,2490378,-0.14449008,-0.11611878,1.1307815,23.777174,0,0,0,0,20
105375896,105375719,2490378,5.8114457,-3.6029146,-6.0902505,23.725845,0,0,0,0,20
106373720,106373543,2490378,-3.0378828,1.3753492,-1.0353725,23.75302,0,0,0,0,20
107374002,107373830,2490378,7.9802337,2.5198972,16.769587,23.677536,0,0,0,0,20
108374291,108374116,2490378,0.80876136,3.315251,4.7205276,23.734903,0,0,0,0,20
109372115,109371938,2490378,0.19381063,-6.23917,2.9565997,23.647343,0,0,0,0,20
110372420,110372226,2490378,-0.23546974,-4.8288655,13.846746,23.620169,0,0,0,0,20
111375145,111374972,2490378,0.8718486,-4.1189847,28.592276,23.61413,0,0,0,0,20
112375434,112375257,2490378,1.3928269,-7.2952523,29.852345,23.629227,0,0,0,0,20
113373305,113373079,2490378,2.425087,2.0087352,23.639988,23.683575,0,0,0,0,20
114373541,114373363,2490378,-4.625598,-9.614037,31.314003,23.692633,0,0,0,0,20
115373822,115373648,2490378,3.6499605,-9.287827,38.016453,23.592995,0,0,0,0,20
116371646,116371467,2490378,19.128834,8.5571165,24.513634,23.583937,0,0,0,0,20
117374389,117374213,2490378,-0.7643489,5.2589836,33.52876,23.602053,0,0,0,0,20
118374669,118374493,2490378,20.729118,-5.192305,28.71809,23.490337,0,0,0,0,20
119374949,119374775,2490378,14.779048,-7.21373,18.620903,23.641304,0,0,0,0,20
120372765,120372592,2490378,9.584109,-0.75920135,29.964752,23.574879,0,0,0,0,20
121373047,121372873,2490378,19.433735,6.2512608,2.5592818,23.402779,0,0,0,0,20
122375797,122375616,2490378,7.414723,1.0971429,5.209424,23.535627,0,0,0,0,20
123371141,123370968,2490378,14.491265,-0.6622362,10.893378,23.375605,0,0,0,0,20
124373885,124373711,2490378,7.3529525,8.429147,10.244909,23.35145,0,0,0,0,20
125374164,125373989,2490378,12.902114,1.9932927,20.781551,23.451086,0,0,0,0,20
126374440,126374267,2490378,18.199644,-2.8008568,27.836426,23.378624,0,0,0,0,20
127372257,127372081,2490378,39.955276,5.9888563,13.754929,23.417873,0,0,0,0,20
128375042,128374822,2490378,17.675314,-3.8302438,23.532969,23.336353,0,0,0,0,20
129375272,129375100,2490378,9.309614,5.962161,29.090628,23.405798,0,0,0,0,20
130373089,130372914,2490378,9.994715,-3.057276,10.82658,23.448067,0,0,0,0,20
131373368,131373192,2490378,-5.1917067,7.11449,14.73703,23.43297,0,0,0,0,20
132373650,132373472,2490378,-4.1373005,-1.8247409,8.382699,23.381643,0,0,0,0,20
133376386,133376212,2490378,-1.333331,0.15562311,16.066051,23.321257,0,0,0,0,20
134371736,134371563,2490378,-5.191587,-0.06344634,5.2513223,23.390701,0,0,0,0,20
135374481,135374304,2490378,-4.155855,6.0919266,-15.9528055,23.34843,0,0,0,0,20
136374756,136374581,2490378,0.236188,-2.6007016,10.531854,23.357489,0,0,0,0,20
137372567,137372394,2490378,24.087944,1.7255012,19.905394,23.357489,0,0,0,0,20
138372843,138372670,2490378,-6.3424797,-0.69000894,5.7892995,23.278986,0,0,0,0,20
139373119,139372946,2490378,-0.1744176,0.33303347,-8.86106,23.312199,0,0,0,0,20
140375861,140375686,2490378,-6.3764772,-5.111501,9.3421755,23.188406,0,0,0,0,20
141373671,141373498,2490378,17.684172,5.011064,19.364424,23.224638,0,0,0,0,20
142373946,142373773,2490378,-5.449802,-2.6099193,13.460561,23.315218,0,0,0,0,20
143374220,143374048,2490378,2.570415,-0.54515976,-5.961921,23.221619,0,0,0,0,20
144372035,144371858,2490378,4.1908107,2.98952,10.385569,23.2186,0,0,0,0,20
145372310,145372134,2490378,1.853591,1.4535198,7.511688,23.239735,0,0,0,0,20
146375041,146374868,2490378,10.683407,-4.353736,18.599596,23.188406,0,0,0,0,20
147375316,147375141,2490378,-3.0663738,1.6903064,-10.336128,23.194445,0,0,0,0,20
148373126,148372949,2490378,10.82694,-0.40665516,22.86271,23.209541,0,0,0,0,20
149373397,149373221,2490378,2.42796,6.1137137,-5.562449,23.115942,0,0,0,0,20
150373670,150373493,2490378,1.1377246,5.898954,23.914364,23.200483,0,0,0,0,20
151371473,151371302,2490378,1.0432734,2.9401994,3.2476149,23.085749,0,0,0,0,20
152374216,152374038,2490378,3.7028723,-3.5017595,10.839988,23.200483,0,0,0,0,20
153374488,153374310,2490378,-10.204806,0.49691656,10.382695,23.12802,0,0,0,0,20
154374758,154374582,2490378,-4.4386106,-8.1273575,7.0420656,23.26389,0,0,0,0,20
155372565,155372390,2490378,4.1398144,3.9149988,18.697039,23.254831,0,0,0,0,20
156372834,156372661,2490378,-0.27952304,1.5253459,15.4347,23.230677,0,0,0,0,20
157375571,157375396,2490378,3.2084696,-0.8066066,28.088535,23.091787,0,0,0,0,20
158373376,158373204,2490378,-0.3632004,1.8253394,8.82,23.028381,0,0,0,0,20
159373648,159373472,2490378,6.4916387,2.771887,21.31031,23.007246,0,0,0,0,20
160373914,160373741,2490378,-6.7925897,-3.1674092,-8.800487,23.022343,0,0,0,0,20
161376649,161376473,2490378,-2.3476346,-0.8821436,-0.6206968,22.964975,0,0,0,0,20
162371990,162371814,2490378,1.7915812,-0.8603564,-1.07775,22.934782,0,0,0,0,20
163374758,163374546,2490378,-6.664979,-0.0033518823,4.702811,22.961956,0,0,0,0,20
164374988,164374813,2490378,-4.8807,0.20602106,8.560827,22.892511,0,0,0,0,20
165372793,165372617,2490378,-7.7134,-2.6674998,19.471684,23.004227,0,0,0,0,20
166373059,166372883,2490378,3.1167717,-9.785821,31.684029,22.880434,0,0,0,0,20
167373326,167373150,2490378,23.325272,1.655351,21.807825,22.928743,0,0,0,0,20
168376051,168375880,2490378,9.750985,9.084918,10.827059,22.919685,0,0,0,0,20
169373858,169373682,2490378,6.186378,-0.9482236,27.621906,22.916666,0,0,0,0,20
170374125,170373948,2490378,0.75201875,-1.7678785,15.598344,22.949879,0,0,0,0,20
171374390,171374214,2490378,-2.6750417,2.355296,20.760721,22.838163,0,0,0,0,20
172372189,172372016,2490378,8.912536,2.30406,20.698233,22.90157,0,0,0,0,20
173372454,173372282,2490378,1.9406202,-1.1438298,18.369753,22.877415,0,0,0,0,20
174375187,174375010,2490378,6.1866174,11.540052,30.691751,22.85628,0,0,0,0,20
175375451,175375275,2490378,8.026681,2.9425936,16.79317,22.916666,0,0,0,0,20
176373251,176373076,2490378,5.5538297,2.3624785,10.460866,22.85326,0,0,0,0,20
177373514,177373341,2490378,-2.0887015,-7.9202585,3.2208,22.865337,0,0,0,0,20
178376244,178376069,2490378,7.321708,6.9488115,-11.863868,22.928743,0,0,0,0,20
179371585,179371405,2490378,-3.1634588,5.718431,7.468114,22.832125,0,0,0,0,20
180374305,180374133,2490378,-5.568075,-2.2992716,15.322292,22.89855,0,0,0,0,20
181374570,181374396,2490378,2.2774844,-13.997341,25.05125,22.865337,0,0,0,0,20
182374836,182374660,2490378,3.7825992,-6.0556545,26.9884,22.765701,0,0,0,0,20
183372636,183372460,2490378,3.7943308,1.0431536,5.6401405,22.85628,0,0,0,0,20
184372899,184372723,2490378,0.72448546,0.66618663,-11.753735,22.841183,0,0,0,0,20
185375630,185375453,2490378,0.3000234,1.0684724,-9.70738,22.928743,0,0,0,0,20
186373445,186373256,2490378,0.21963808,1.08182,-9.785012,22.971014,0,0,0,0,20
