timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
25289058,25288117,527633,-0.016416667,-0.30583334,-0.435,nan,0
26289058,26288117,527633,-0.11083333,-0.26166666,-0.47541666,nan,0
27269082,27268142,527633,0.016416667,-0.29083332,-0.44833332,nan,0
28289083,28288141,527633,-0.01,-0.24208333,-0.49558333,nan,0
29289058,29288118,527633,-0.07083333,-0.0875,-0.57225,nan,0
30289059,30288118,527633,-0.016833333,-0.25125,-0.49433333,nan,0
31289091,31288150,527633,-0.021416666,-0.24875,-0.49933332,nan,0
32289061,32288120,527633,-0.0054166666,-0.29874998,-0.45641667,nan,0
33289059,33288118,527633,-0.041833334,-0.15291667,-0.54583335,nan,0
34289059,34288118,527633,-0.1625,-0.21541667,-0.5154167,nan,0
35289059,35288118,527633,0.011,-0.25458333,-0.48641667,nan,0
36269087,36268146,527633,-0.018083334,-0.24583334,-0.496,nan,0
37289059,37288118,527633,0.01225,-0.24333332,-0.49641666,nan,0
38269101,38268160,527633,-0.00625,-0.22041667,-0.5083333,nan,0
39289057,39288116,527633,0.021416666,-0.24333332,-0.49516666,nan,0
40289079,40288138,527633,-0.005,-0.2375,-0.501,nan,0
41289059,41288118,527633,0.013083333,-0.24374999,-0.49766666,nan,0
42289077,42288118,527633,0.060583334,-0.13374999,-0.5420833,nan,0
43289060,43288119,527633,0.021416666,-0.039583333,-0.59041667,nan,0
44289072,44288131,527633,-0.042666666,0.015833333,-0.59291667,nan,0
45289066,45288125,527633,-0.11541667,-0.13166666,-0.55125,nan,0
46289072,46288130,527633,-0.094166666,-0.15541667,-0.54333335,nan,0
47289060,47288118,527633,-0.09458333,-0.023333333,-0.58708334,nan,0
48289059,48288118,527633,-0.094166666,0.07375,-0.59725,nan,0
49289059,49288118,527633,-0.19583333,-0.020416666,-0.56516665,nan,0
50289059,50288118,527633,-0.23224999,-0.07625,-0.54083335,nan,0
51289059,51288118,527633,-0.26375,-0.014583333,-0.5385,nan,0
52289059,52288117,527633,-0.30058333,-0.01375,-0.5179167,nan,0
53289059,53288118,527633,-0.25349998,-0.19375,-0.45891666,nan,0
54289059,54288118,527633,-0.09166667,-0.10916667,-0.561,nan,0
55269069,55268124,527633,-0.016416667,0.28125,-0.54875,nan,0
56289066,56288124,527633,-0.07766666,0.48666665,-0.33333334,nan,0
57289059,57288118,527633,-0.17058334,0.5416667,-0.17725,nan,0
58289059,58288118,527633,-0.24041666,0.5204167,-0.16975,nan,0
59289060,59288118,527633,-0.29125,0.46208334,-0.24308333,nan,0
60289075,60288134,527633,-0.30058333,0.43833333,-0.3375,nan,0
61289066,61288125,527633,-0.17916666,0.48125,-0.33458334,nan,0
62289058,62288117,527633,-0.018083334,0.5225,-0.29166666,nan,0
63289059,63288117,527633,0.16308333,0.5045833,-0.23641667,nan,0
64289059,64288118,527633,0.37166667,0.30375,-0.22083333,nan,0
65289060,65288119,527633,0.36933333,-0.00625,-0.36375,nan,0
66289060,66288119,527633,0.29933333,0.05875,-0.46391666,nan,0
67289058,67288117,527633,0.20083334,-0.07125,-0.5158333,nan,0
68289059,68288118,527633,-0.12225,0.22583333,-0.5718333,nan,0
69289058,69288117,527633,-0.20725,0.46,-0.35391667,nan,0
70229077,70228136,527633,-0.0020833332,0.575,-0.12291667,nan,0
71289063,71288117,527633,0.42249998,0.125,0.02225,nan,0
72289085,72288144,527633,0.31849998,-0.1725,-0.33958334,nan,0
73289059,73288118,527633,0.14766666,-0.038333334,-0.55041665,nan,0
74289059,74288118,527633,-0.058083333,0.07958333,-0.6030833,nan,0
75289060,75288119,527633,-0.051666666,0.24,-0.57058334,nan,0
76289059,76288118,527633,0.022499999,0.4475,-0.43625,nan,0
77289059,77288118,527633,0.025416667,0.55,-0.22916667,nan,0
78289062,78288116,527633,0.14891666,0.5183333,-0.21433333,nan,0
79289059,79288118,527633,0.31599998,0.31416667,-0.32958332,nan,0
80289058,80288117,527633,0.29808334,0.20791666,-0.42975,nan,0
81269079,81268137,527633,0.2735,0.25166667,-0.43625,nan,0
