timestamp,normalized_setpoint
25658053,0.0
26661144,0.0
27661468,0.0
28661915,0.0
29659877,0.0
30660328,0.0
31660795,0.0
32658762,0.0
33659229,0.0
34662177,0.0
35662649,0.0
36660613,0.0
37661078,0.0
38661545,0.0
39659526,0.0
40660021,0.0
41660462,0.0
42660938,0.0
43658909,0.0
44659378,0.0
45662355,0.0
46657837,0.0
47660809,0.0
48661294,0.0
49661732,0.0
50659707,0.0
51660192,0.0
52660647,0.0
53658623,0.0
54659085,0.0
55662050,0.0
56662516,0.0
57660479,0.0
58660947,0.0
59661409,0.0
60659380,0.0
61659845,0.0
62660307,0.0
63663293,0.0
64658744,0.0
65661740,0.0
66662238,0.0
67660126,0.0
68660587,0.0
69661042,0.0
70661507,0.0
71659463,0.0
72659920,0.0
73660362,0.0
74658337,0.0
75661269,0.0
76661713,0.0
77662163,0.0
78660113,0.0
79660564,0.0
80661046,0.0
81658955,0.0
82659403,0.0
83659849,0.0
84662798,0.0
85660815,0.0
86661184,0.0
87661635,0.0
88659572,0.0
89660012,0.0
90660475,0.0
91660901,0.0
92658846,0.0
93661774,0.0
94662218,0.0
95660158,0.0
96660589,0.0
97661025,0.0
98661458,0.0
99659403,0.0
100659834,0.0
101662770,0.0
102658220,0.0
103661247,0.0
104661570,0.0
105661997,0.0
106659932,0.0
107660370,0.0
108660792,0.0
109658773,0.0
110659156,0.0
111662085,0.0
112662518,0.0
113660437,0.0
114660866,0.0
115661293,0.0
116659260,0.0
117659710,0.0
118660091,0.0
119662997,0.0
120658450,0.0
121661443,0.0
122661776,0.0
123659704,0.0
124660133,0.0
125660549,0.0
126660972,0.0
127658905,0.0
128659326,0.0
129662237,0.0
130660180,0.0
131660592,0.0
132661009,0.0
133661440,0.0
134659360,0.0
135659785,0.0
136662733,0.0
137658154,0.0
138661063,0.0
139661506,0.0
140661889,0.0
141659814,0.0
142660234,0.0
143660658,0.0
144658587,0.0
145659005,0.0
146661911,0.0
147662331,0.0
148660270,0.0
149660683,0.0
150661120,0.0
151659019,0.0
152659443,0.0
153659857,0.0
154662773,0.0
155660708,0.0
156661222,0.0
157661528,0.0
158659452,0.0
159659871,0.0
160660282,0.0
161663198,0.0
162658623,0.0
163661527,0.0
164661949,0.0
165659870,0.0
166660285,0.0
167660701,0.0
168661107,0.0
169659030,0.0
170659440,0.0
171662346,0.0
172660283,0.0
173660888,0.0
174661106,0.0
175661508,0.0
176659425,0.0
177659833,0.0
178662747,0.0
179658208,0.0
180661070,0.0
181661488,0.0
182661908,0.0
183659807,0.0
184660227,0.0
185660692,0.0
186658573,0.0
