timestamp,timestamp_sample,indicated_airspeed_m_s,true_airspeed_m_s,confidence
25643145,25611511,-6.0219293,-6.1994033,1.0
26631116,26611489,-6.654306,-6.850384,1.0
27619100,27604919,-6.162903,-6.344525,1.0
28656981,28631504,-6.886871,-7.0898466,1.0
29605045,29558169,-6.9076247,-7.111291,1.0
30603008,30539501,-6.7737007,-6.9721594,1.0
31630909,31604795,-6.4021435,-6.5897183,1.0
32588979,32534788,-6.468873,-6.6584435,1.0
33592047,33544786,-6.7610087,-6.959165,1.0
34644778,34618200,-5.729584,-5.897467,1.0
35642745,35618204,-6.0928245,-6.2713666,1.0
36615769,36563507,-5.8482766,-6.0186157,1.0
37643685,37579497,-6.7227907,-6.9186134,1.0
38616704,38591498,-6.6003075,-6.792587,1.0
39629648,39598136,-6.7990127,-6.998148,1.0
40602672,40574788,-6.0928245,-6.2704363,1.0
41605637,41558211,-6.0928235,-6.270187,1.0
42643531,42614795,-5.986167,-6.1603,1.0
43641501,43608210,-5.804052,-5.973341,1.0
44604546,44591512,-9.773737,-10.059428,1.0
45632463,45604675,-7.0714655,-7.278214,1.0
46645426,46600866,-3.0204666,-3.1085527,1.0
47618438,47604907,-3.49502,-3.597406,1.0
48631394,48606941,-5.3148355,-5.4708686,1.0
49644386,49598214,-3.104601,-3.195875,1.0
50592406,50566947,3.980124,4.0964456,1.0
51645268,51624827,-7.0714645,-7.279462,1.0
52628286,52594805,-6.567695,-6.761086,1.0
53591460,53564793,-6.8242297,-7.0249434,1.0
54619229,54571490,-9.20815,-9.476394,1.0
55632168,55604792,-4.319342,-4.444987,1.0
56605190,56598321,3.4399576,3.539918,1.0
57618151,57591510,5.0994835,5.2483225,1.0
58606159,58578203,-3.8460095,-3.9587703,1.0
59619061,59591492,-4.063192,-4.181875,1.0
60656948,60631496,-5.421497,-5.5802374,1.0
61605018,61584827,2.3526363,2.4217377,1.0
62642909,62618212,-5.6541367,-5.820967,1.0
63606017,63578248,-3.5559242,-3.6612716,1.0
64603910,64574786,-5.219719,-5.374531,1.0
65641802,65588200,-3.1046,-3.1968155,1.0
66654944,66631501,-6.632759,-6.8308606,1.0
67587873,67536770,-5.7594857,-5.9316487,1.0
68630716,68604786,-0.7876294,-0.8110715,1.0
69563799,69534796,-3.0346503,-3.125221,1.0
70641604,70590226,-5.6389265,-5.808437,1.0
71654544,71620429,-5.2606926,-5.4180818,1.0
72657539,72638172,5.27879,5.4361825,1.0
73605546,73558214,-2.8896768,-2.9763515,1.0
74618506,74591520,-1.3815482,-1.4231976,1.0
75631385,75606943,2.9950624,3.0854676,1.0
76644308,76615891,17.692139,18.22583,1.0
77632280,77606938,-3.2399707,-3.3382187,1.0
78605283,78578328,-8.143969,-8.392192,1.0
79643162,79611518,-5.3577547,-5.5214877,1.0
80631134,80598137,-3.8236115,-3.9406471,1.0
81644053,81598197,-3.4330337,-3.5387182,1.0
82632016,82618080,-7.2513604,-7.4753957,1.0
83605022,83558208,-6.567696,-6.771004,1.0
84602975,84574785,-3.7326815,-3.848353,1.0
85645839,85600872,-5.12842,-5.287365,1.0
86618827,86589241,-5.260694,-5.423366,1.0
87656714,87631499,-4.561129,-4.7017994,1.0
88604789,88584840,-6.479927,-6.678721,1.0
89657591,89614149,-5.1949778,-5.3556128,1.0
90645555,90624828,-4.56113,-4.701788,1.0
91618547,91571501,-5.3013515,-5.465241,1.0
92641442,92590232,-9.515486,-9.809317,1.0
93619426,93591490,-4.4176445,-4.5520544,1.0
94617374,94591504,-7.682694,-7.917098,1.0
95630280,95598125,-6.0219283,-6.2064867,1.0
96658188,96644903,-2.3117461,-2.382024,1.0
97646167,97588217,-4.8795447,-5.0258026,1.0
98659025,98633764,-6.0219293,-6.2012186,1.0
99656967,99611502,-6.0574794,-6.2389536,1.0
100629955,100598139,-6.671493,-6.8717337,1.0
101642873,101608211,-2.4028332,-2.47422,1.0
102655793,102603497,-3.0768108,-3.1671853,1.0
103658855,103631494,-6.53492,-6.7271605,1.0
104631708,104604664,-7.0714655,-7.279218,1.0
105629638,105598140,-4.329272,-4.4564614,1.0
106617592,106604906,4.613125,4.748034,1.0
107645459,107589382,-0.436953,-0.44972482,1.0
108618447,108591500,-3.0346491,-3.1235116,1.0
109656335,109624862,-4.561129,-4.695014,1.0
110644246,110615891,-3.4950182,-3.5974405,1.0
111657152,111631495,13.644952,14.043869,1.0
112605189,112584901,10.678919,10.991058,1.0
113578185,113571528,11.56691,11.907461,1.0
114606048,114568210,9.554012,9.83515,1.0
115603977,115584830,3.7581425,3.8672812,1.0
116631846,116611489,-4.684983,-4.8197427,1.0
117644765,117598215,-6.162903,-6.340672,1.0
118602764,118574789,-7.957271,-8.187836,1.0
119645591,119598160,-4.864855,-5.005625,1.0
120578667,120564923,-9.861221,-10.144936,1.0
121631472,121584797,6.236011,6.4152737,1.0
122619428,122591494,-7.5983863,-7.8181376,1.0
123642350,123598197,-5.729584,-5.895597,1.0
124605320,124584833,-5.6793976,-5.8432837,1.0
125643148,125615900,2.0951695,2.1553419,1.0
126646068,126618205,-7.738389,-7.9613643,1.0
127643998,127615899,-4.4338174,-4.5617976,1.0
