timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
31563481,31563360,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
31665769,31665652,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
31763072,31762953,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
31865365,31865245,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
31965159,31965041,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
32064957,32064838,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
32164755,32164634,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
32264553,32264431,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
32364346,32364228,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
32464142,32464024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
32563941,32563821,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
32663740,32663618,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
32763536,32763414,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
32865822,32865706,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
32963128,32963008,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
33065415,33065299,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
33162726,33162601,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
33265011,33264893,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
33367306,33367184,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
33464603,33464486,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
33564401,33564283,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
33664197,33664080,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
33763994,33763877,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
33863789,33863673,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
33963592,33963470,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
34065879,34065762,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
34163183,34163064,0.035714325,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
34265494,34265356,0.051724162,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
34362778,34362658,0.056650277,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
34465067,34464949,0.0578818,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
34562367,34562251,0.056650277,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
34664697,34664543,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
34766952,34766835,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
34864262,34864137,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
34966580,34966429,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
35063851,35063731,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
35166147,35166022,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
35263446,35263325,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
35365753,35365617,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
35465533,35465413,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
35565335,35565211,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
35665123,35665007,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
35762488,35762310,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
35864723,35864601,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
35962034,35961904,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
36064311,36064196,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
36166794,36166489,0.04187196,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
36263909,36263790,0.05911332,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
36366302,36366082,0.08251234,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
36463503,36463384,0.086206906,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
36565883,36565676,0.08743846,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
36663099,36662978,0.08743846,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
36765454,36765270,0.10098525,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
36865184,36865067,0.12684731,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
