timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
24956260,24768617,-0.0131373,-0.06071718,-0.026364196,-0.09198917,-0.08301868,0.1975441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22258759,0.0,0.0,0.0,0.0,0.0018861741,0.0013039534,0.0018861741,-0.00049084425,-0.0020650215,-0.010934889,-0.0031759143,0.0,0.0,6.919316,0.0,0.0,0.0
25449120,25261385,0.042100683,-0.11880624,-0.060158897,-0.0853895,-0.09158778,0.19335938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09872818,0.0,0.0,0.0,0.0,0.000469774,-0.002035403,-0.00016789511,0.000469774,0.0041790344,-0.020165928,-0.0004708171,0.0,0.0,6.621401,0.0,0.0,0.0
25951698,25764008,0.023717169,-0.011770532,-0.00074598193,-0.10296921,-0.089179605,0.22266388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1540451,0.0,0.0,0.0,0.0,0.004658133,-0.0069412235,0.00042279065,0.004658133,0.012169528,-0.011035681,0.004209578,0.0,0.0,6.224253,0.0,0.0,0.0
26454526,26266632,-0.00718987,0.19114643,-0.17430662,-0.12942243,-0.055754736,0.2036171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059196472,0.0,0.0,0.0,0.0,0.0012365878,-0.004186923,-0.0065458715,0.0012365878,0.011716448,0.016051441,-0.002690494,0.0,0.0,6.3907704,0.0,0.0,0.0
26947253,26759401,-0.008467283,0.12600085,0.19271287,-0.112069,-0.04776813,0.2516327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15779877,0.0,0.0,0.0,0.0,-0.00071363803,-0.00071363803,-0.0067292377,-0.0012249947,0.00684778,0.012042686,0.0019480586,0.0,0.0,6.7429953,0.0,0.0,0.0
27449841,27262026,-0.047622234,-0.01391953,0.61329085,-0.102069624,-0.047401734,0.23331833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13368988,0.0,0.0,0.0,0.0,0.012120347,0.012120347,0.0010994151,-0.009562701,-0.056577682,-0.0036269948,-0.0011345744,0.0,0.0,6.852378,0.0,0.0,0.0
27952300,27764651,0.26782227,-0.04963304,-0.03016067,-0.06932941,-0.04194053,0.3398552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19298935,0.0,0.0,0.0,0.0,0.009527688,-7.015979e-05,0.009527688,0.0018856972,0.012451172,-0.0024093427,-0.005856693,0.0,0.0,6.682085,0.0,0.0,0.0
28455212,28267277,-0.11698949,-0.031008404,-0.44578496,-0.08661964,-0.02291266,0.21930695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10796356,0.0,0.0,0.0,0.0,0.0013067722,-0.007735986,-0.006240744,0.0013067722,0.0035301894,0.011543438,0.0004708767,0.0,0.0,6.9859815,0.0,0.0,0.0
28947939,28760048,-0.019206526,-0.016760837,-0.05688799,-0.06451493,-0.03185857,0.13192368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22203064,0.0,0.0,0.0,0.0,0.0021514893,-0.0013659685,-0.011507014,0.0021514893,-0.02831772,-0.03019952,-0.013162732,0.0,0.0,7.156043,0.0,0.0,0.0
29450762,29262675,0.058593545,-0.12769459,0.19361961,-0.030296084,-0.047381714,0.13282776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10772705,0.0,0.0,0.0,0.0,-0.00050685764,-0.00050685764,-0.012315068,-0.0005977452,-0.005313039,-0.0042649806,-0.002542913,0.0,0.0,7.306185,0.0,0.0,0.0
29952946,29765301,0.15193045,0.18001711,0.40644366,0.007058688,-0.02840992,0.14041138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07822418,0.0,0.0,0.0,0.0,0.0032989979,-0.007607981,-0.0077698063,0.0032989979,0.014990181,-0.008131541,0.006397426,0.0,0.0,7.497054,0.0,0.0,0.0
30445872,30258073,-0.11090545,0.17149925,-0.17636085,0.0030632974,-0.009647994,0.20404434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042877197,0.0,0.0,0.0,0.0,-0.002866894,-0.010608705,-0.003283373,-0.002866894,0.051157482,0.033261452,0.0034579635,0.0,0.0,6.5709324,0.0,0.0,0.0
30948388,30760701,-0.10567509,-0.08682602,-0.20018658,0.010415615,0.0015671961,0.076049805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32894516,0.0,0.0,0.0,0.0,0.001804101,0.001804101,-0.011693592,0.00037431717,-0.073935896,-0.035726245,-0.037894845,0.0,0.0,7.551616,0.0,0.0,0.0
31451400,31263330,-0.003923975,0.084739745,0.2683894,0.022456363,0.016949542,0.09741211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037612915,0.0,0.0,0.0,0.0,-0.0010348856,-0.0068071624,-0.005871728,-0.0010348856,0.009661093,0.007837426,0.001014471,0.0,0.0,6.857068,0.0,0.0,0.0
31953646,31765958,0.015094798,-0.028281445,-0.08463875,0.023991523,0.022960288,0.10393524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22246552,0.0,0.0,0.0,0.0,-0.003109306,-0.007807797,-0.00804157,-0.003109306,0.0023897812,-0.0020110551,3.9875507e-05,0.0,0.0,6.515136,0.0,0.0,0.0
32446378,32258732,-0.028899908,0.0030742623,-0.05124664,0.040797256,0.030683756,0.14236832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1270523,0.0,0.0,0.0,0.0,-0.0019884706,-0.01021301,-0.0058879666,-0.0019884706,0.0026771575,-0.00871744,-0.00032436848,0.0,0.0,6.7414722,0.0,0.0,0.0
32949011,32761361,0.028439477,0.039583392,-0.26684391,0.059113048,0.034212906,0.14570236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37125015,0.0,0.0,0.0,0.0,0.0022431314,-0.011086707,-0.0051037883,0.0022431314,0.033940233,0.0325861,0.002665639,0.0,0.0,6.956456,0.0,0.0,0.0
33451893,33263991,-0.042251825,-0.007639006,-0.072016776,0.049811423,0.048386607,0.06638336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32832718,0.0,0.0,0.0,0.0,0.002499938,0.000344062,-0.013483068,0.002499938,-0.032449096,-0.0047114156,-0.012421727,0.0,0.0,6.99481,0.0,0.0,0.0
33954309,33766621,0.025514605,0.05151525,0.074273095,0.041497182,0.059606228,0.029598236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14400864,0.0,0.0,0.0,0.0,0.0019426942,-0.0008342888,-0.010703999,0.0019426942,0.0023109615,-0.005367811,0.0007098317,0.0,0.0,7.071761,0.0,0.0,0.0
