timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
155427749,155427649,4259850,4325386,-0.0052237036,-0.0012941462,-0.0003901748,-0.016645053,-0.0017297263,0.005032817,4988,4900,0,0,2,1
155926530,155926429,4259850,4325386,-0.0046811127,0.0014059455,0.0031102255,-0.0058147227,0.02436227,0.013765989,4988,4901,0,0,2,1
156425476,156425209,4259850,4325386,-0.0005543055,0.00574055,0.0014932575,-0.009124481,0.0050760214,-0.045874458,4988,4900,0,0,2,1
156924086,156923988,4259850,4325386,-0.0022511135,0.0065963534,0.00010450669,0.004683237,0.0057819462,-0.03622709,4988,4900,0,0,2,1
157427865,157427755,4259850,4325386,-0.0017386435,0.0016118196,0.0037252922,0.01982161,0.00077869813,-0.01925561,4988,4901,0,0,2,1
157926635,157926534,4259850,4325386,-0.003923177,0.0029475794,-0.00020438599,0.03262113,0.0021966936,-0.03979865,4987,4900,0,0,2,1
158425408,158425313,4259850,4325386,-0.0040249033,0.0016449352,-0.0016562205,0.03367908,-0.0045991424,-0.04444175,4988,4901,0,0,2,1
158929176,158929079,4259850,4325386,-0.0029413924,0.0010736487,-0.00026222327,0.039646804,0.007933993,-0.046505205,4988,4901,0,0,2,1
159427954,159427858,4259850,4325386,0.00020126752,0.003251673,0.00046402725,0.041788317,0.010528565,-0.06851952,4988,4899,0,0,2,1
159926732,159926636,4259850,4325386,0.0007450151,-0.0018211001,-0.0010746127,0.05911724,-0.005883962,-0.09174532,4988,4899,0,0,2,1
160425517,160425413,4259850,4325386,-0.0008646132,-0.0011949737,-0.00031650648,0.054071285,-0.013083259,-0.09100316,4987,4902,0,0,2,1
160924290,160924191,4259850,4325386,0.0055491407,-0.00025147537,0.0031505458,0.033898737,0.006475071,-0.09897581,4988,4900,0,0,2,1
161428055,161427956,4259850,4325386,-5.555704e-05,-0.0014242738,0.00029992854,0.084052615,-0.01592068,-0.17093197,4988,7351,0,0,2,1
161926830,161926733,4259850,4325386,0.006673302,-0.0013930257,0.002095011,0.034362845,-0.002683308,-0.13141757,4988,4901,0,0,2,1
162425621,162425509,4259850,4325386,0.0038499287,-7.577731e-05,-0.0008516858,0.022980591,-0.009179952,-0.08864636,4987,4899,0,0,2,1
162929376,162929273,4259850,4325386,0.011035273,0.00041453194,0.0027186745,0.01818952,-0.0032949203,-0.09354818,4987,4900,0,0,2,1
163423159,163423062,4259850,4325386,0.010290198,0.0043961727,0.00029615682,0.009489194,-0.011171624,-0.09849827,4988,4898,0,0,2,1
163927024,163926825,4259850,4325386,0.007478516,0.001081828,0.002597677,0.005447872,-0.007679522,-0.102984965,4987,4900,0,0,2,1
164425696,164425601,4259850,4325386,0.008295497,0.001075472,0.0027880738,-0.013685487,-0.018502649,-0.055653837,4988,4900,0,0,2,1
164924474,164924377,4259850,4325386,0.0071443617,0.00027346524,0.00097456615,0.0019472004,-0.010730202,-0.05250725,4989,4899,0,0,2,1
165428234,165428139,4259850,4325386,0.011182246,0.0013922342,0.0010466318,-0.0055581094,-0.018586896,-0.033342183,4988,4900,0,0,2,1
165927014,165926914,4259850,4325386,0.0066228746,-0.00016659629,0.0023237595,0.010829509,-0.010633487,-0.06061273,4988,4899,0,0,2,1
166425787,166425689,4259850,4325386,0.0027945212,-0.0004632694,0.00037616192,0.0023924285,-0.042414684,-0.08393714,4988,4899,0,0,2,1
166924559,166924463,4259850,4325386,0.001579915,-0.001635754,0.0011059683,0.003554017,-0.0087353615,-0.0255991,4986,4900,0,0,2,1
167423334,167423236,4259850,4325386,-0.0067282887,0.00060360954,0.003645229,0.010702931,0.0019461861,-0.03455099,4987,4898,0,0,2,1
167927103,167926998,4259850,4325386,-0.013344664,-0.00018941858,-0.00033790004,0.026346998,0.009516856,0.014002218,4987,4899,0,0,2,1
168425871,168425772,4259850,4325386,-0.008848624,-0.0009381751,0.0014366885,0.004123538,0.02225497,0.017445885,4988,4899,0,0,2,1
168924647,168924545,4259850,4325386,-0.007642686,-0.0003718394,0.0027365957,-0.008765603,-0.0028530324,0.052868184,4988,4900,0,0,2,1
169428401,169428306,4259850,4325386,-0.005336772,-0.00087030383,0.001920241,-0.018183328,0.017747568,0.004311079,4988,4899,0,0,2,1
169922195,169922091,4259850,4325386,-0.002503654,0.0020863994,0.004549472,-0.014382851,0.05231145,0.010825053,4988,4900,0,0,2,1
170425955,170425852,4259850,4325386,-0.0003713791,0.0023405591,-0.00015302465,-0.008506289,0.01205536,0.0027926327,4988,4898,0,0,2,1
170924725,170924624,4259850,4325386,-0.0018286792,0.0038853872,-7.9664984e-05,0.0165636,0.015591483,-0.028419474,4987,4899,0,0,2,1
171423584,171423397,4259850,4325386,-0.0046901386,0.0021987136,-0.00050281646,0.005963515,0.017796407,-0.026863782,4988,4899,0,0,2,1
171927256,171927156,4259850,4325386,-0.0005846557,0.0045154463,-0.0014201091,0.0225662,-0.007921641,-0.06964589,4987,7348,0,0,2,1
172426025,172425928,4259850,4325386,0.0038144113,0.0022237173,-0.0010374382,0.010468067,-0.004155137,-0.03195087,4988,4899,0,0,2,1
172924797,172924699,4259850,4325386,-0.0010004847,0.0037249709,1.8620069e-05,-0.015378128,0.0032318975,-0.02137363,4987,4898,0,0,2,1
173428556,173428458,4259850,4325386,0.0002569081,0.0015848979,0.001661994,0.020238303,0.013207393,-0.0185147,4987,4896,0,0,2,1
