timestamp,previous.timestamp,previous.lat,previous.lon,previous.vx,previous.vy,previous.vz,previous.alt,previous.yaw,previous.loiter_radius,previous.loiter_minor_radius,previous.loiter_orientation,previous.acceptance_radius,previous.alt_acceptance_radius,previous.cruising_speed,previous.cruising_throttle,previous.valid,previous.type,previous.loiter_direction_counter_clockwise,previous.loiter_pattern,previous.gliding_enabled,previous._padding0[0],previous._padding0[1],previous._padding0[2],current.timestamp,current.lat,current.lon,current.vx,current.vy,current.vz,current.alt,current.yaw,current.loiter_radius,current.loiter_minor_radius,current.loiter_orientation,current.acceptance_radius,current.alt_acceptance_radius,current.cruising_speed,current.cruising_throttle,current.valid,current.type,current.loiter_direction_counter_clockwise,current.loiter_pattern,current.gliding_enabled,current._padding0[0],current._padding0[1],current._padding0[2],next.timestamp,next.lat,next.lon,next.vx,next.vy,next.vz,next.alt,next.yaw,next.loiter_radius,next.loiter_minor_radius,next.loiter_orientation,next.acceptance_radius,next.alt_acceptance_radius,next.cruising_speed,next.cruising_throttle,next.valid,next.type,next.loiter_direction_counter_clockwise,next.loiter_pattern,next.gliding_enabled,next._padding0[0],next._padding0[1],next._padding0[2]
119819979,119819978,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,10.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,119819978,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,10.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,119819979,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,10.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0
134562765,134557827,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,10.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,134562677,31.185659952875703,117.19756896910373,0.0,0.0,0.0,68.91075,nan,35.0,0.0,0.0,10.0,nan,-1.0,nan,1,3,0,0,0,0,0,0,134562678,31.1858632,117.19745599999999,0.0,0.0,0.0,68.91075,0.017453292,35.0,0.0,0.0,10.0,nan,-1.0,nan,1,0,0,0,0,0,0,0
134614035,134557827,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,10.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,134562677,31.185659952875703,117.19756896910373,0.0,0.0,0.0,68.91075,nan,35.0,0.0,0.0,10.0,nan,-1.0,nan,1,3,0,0,0,0,0,0,134562678,31.1858632,117.19745599999999,0.0,0.0,0.0,68.91075,0.017453292,35.0,0.0,0.0,10.0,nan,-1.0,nan,1,0,0,0,0,0,0,0
135107888,135107887,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,10.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,135107888,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,10.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,135107888,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,10.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0
149030585,149023834,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,10.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,149030573,31.185871997255543,117.19734882265406,0.0,0.0,0.0,35.550934,nan,35.0,0.0,0.0,10.0,nan,-1.0,nan,1,2,0,0,0,0,0,0,149030574,31.1858632,117.19745599999999,0.0,0.0,0.0,68.41792,0.017453292,35.0,0.0,0.0,10.0,nan,-1.0,nan,1,0,0,0,0,0,0,0
149082011,149023834,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,10.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,149030573,31.185871997255543,117.19734882265406,0.0,0.0,0.0,68.41792,nan,35.0,0.0,0.0,10.0,nan,-1.0,nan,1,2,0,0,0,0,0,0,149030574,31.1858632,117.19745599999999,0.0,0.0,0.0,101.28491,0.017453292,35.0,0.0,0.0,10.0,nan,-1.0,nan,1,0,0,0,0,0,0,0
167046888,167046887,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,10.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,167046887,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,10.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,167046888,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,10.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0
226957313,226952024,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,10.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,226957300,31.18636313805432,117.19675123197604,0.0,0.0,0.0,49.980766,nan,35.0,0.0,0.0,10.0,nan,-1.0,nan,1,2,0,0,0,0,0,0,226957301,31.1858632,117.19745599999999,0.0,0.0,0.0,68.41792,0.017453292,35.0,0.0,0.0,10.0,nan,-1.0,nan,1,0,0,0,0,0,0,0
227010916,226952024,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,10.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,226957300,31.18636313805432,117.19675123197604,0.0,0.0,0.0,68.41792,nan,35.0,0.0,0.0,10.0,nan,-1.0,nan,1,2,0,0,0,0,0,0,226957301,31.1858632,117.19745599999999,0.0,0.0,0.0,68.41792,0.017453292,35.0,0.0,0.0,10.0,nan,-1.0,nan,1,0,0,0,0,0,0,0
272574879,272574877,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,10.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,272574878,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,10.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,272574878,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,10.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0
