timestamp,indicated_airspeed_m_s,calibrated_airspeed_m_s,true_airspeed_m_s,calibrated_ground_minus_wind_m_s,true_ground_minus_wind_m_s,airspeed_derivative_filtered,throttle_filtered,pitch_filtered,airspeed_sensor_measurement_valid,selected_airspeed_index
134198794,-1.2092339,-1.2135097,-1.198458,nan,nan,0.0,0.0,0.0,1,1
134298792,-1.6584817,-1.6643461,-1.6437024,nan,nan,0.0,0.0,0.0,1,1
134398793,-1.2092339,-1.2135097,-1.1984625,nan,nan,0.0,0.0,0.0,1,1
134598793,-1.734425,-1.7405579,-1.7189624,nan,nan,0.0,0.0,0.0,1,1
134798792,1.0556377,1.0593704,1.0462319,nan,nan,0.0,0.0,0.0,1,1
134998792,3.7793875,3.7927513,3.7457693,nan,nan,0.0,0.0,0.0,1,1
135198793,-5.1351323,-5.1532903,-5.0893717,nan,nan,0.0,0.0,0.0,1,1
135398792,-1.2092313,-1.213507,-1.1984705,nan,nan,0.0,0.0,0.0,1,1
135598792,-1.5235213,-1.5289085,-1.5099409,nan,nan,0.0,0.0,0.0,1,1
135798792,-1.0844114,-1.0882459,-1.0747559,nan,nan,0.0,0.0,0.0,1,1
135998792,1.2988285,1.3034211,1.2872736,nan,nan,0.0,0.0,0.0,1,1
136198792,-0.77676487,-0.7795115,-0.7698467,nan,nan,0.0,0.0,0.0,1,1
136398792,-0.41705096,-0.41852564,-0.413335,nan,nan,0.0,0.0,0.0,1,1
136598792,-0.17547539,-0.17609587,-0.17391254,nan,nan,0.0,0.0,0.0,1,1
136798793,-1.8617964,-1.8683797,-1.8451868,nan,nan,0.0,0.0,0.0,1,1
136998792,-1.5235213,-1.5289085,-1.5099447,nan,nan,0.0,0.0,0.0,1,1
137198792,-1.5235233,-1.5289105,-1.509962,nan,nan,0.0,0.0,0.0,1,1
137398792,-1.3223209,-1.3269967,-1.3105308,nan,nan,0.0,0.0,0.0,1,1
137598792,-1.7344213,-1.7405541,-1.7189608,nan,nan,0.0,0.0,0.0,1,1
137798792,-1.6584817,-1.6643461,-1.6437045,nan,nan,0.0,0.0,0.0,1,1
137998793,-1.5235213,-1.5289085,-1.5099409,nan,nan,0.0,0.0,0.0,1,1
138198793,-1.0844114,-1.0882459,-1.074745,nan,nan,0.0,0.0,0.0,1,1
138398792,0.50547683,0.5072642,0.50097233,nan,nan,0.0,0.0,0.0,1,1
138598804,0.28936183,0.290385,0.28678215,nan,nan,0.0,0.0,0.0,1,1
138798792,-1.5235233,-1.5289105,-1.5099752,nan,nan,0.0,0.0,0.0,1,1
138998792,1.9211979,1.9279913,1.9041015,nan,nan,0.0,0.0,0.0,1,1
139198793,-3.2373478,-3.248795,-3.2085268,nan,nan,0.0,0.0,0.0,1,1
139398793,-4.543541,-4.559607,-4.503143,nan,nan,0.0,0.0,0.0,1,1
139598822,0.50547683,0.5072642,0.50097483,nan,nan,0.0,0.0,0.0,1,1
139798795,-3.6332068,-3.6460538,-3.6008708,nan,nan,0.0,0.0,0.0,1,1
139998793,-5.0508137,-5.068673,-5.0058794,nan,nan,0.0,0.0,0.0,1,1
140198793,2.416234,2.4247777,2.3947322,nan,nan,0.0,0.0,0.0,1,1
140398793,0.7360616,0.73866427,0.7294876,nan,nan,0.0,0.0,0.0,1,1
