timestamp,load,ram_usage
133863543,0.22914857,0.28933173
134363824,0.30161715,0.35866114
134863552,0.26713902,0.3590644
135363592,0.26370722,0.3590644
135863542,0.24712372,0.3590644
136363650,0.25291276,0.3590644
136863543,0.25211746,0.3590644
137363518,0.2546267,0.3590644
137863517,0.25282365,0.3590644
138363567,0.25300676,0.3590644
138863696,0.25198448,0.3590644
139363518,0.25524157,0.35924923
139863558,0.2529518,0.35924923
140363518,0.25501084,0.35924923
140863518,0.25309408,0.35924923
141363543,0.25313205,0.35924923
141863550,0.2536739,0.35924923
142363518,0.25386167,0.35924923
142863874,0.25300682,0.35924923
143363517,0.25964355,0.3596189
143863518,0.25607193,0.3596189
144363543,0.25841528,0.3596189
144863588,0.25591582,0.3596189
145363519,0.25881082,0.3596189
145863576,0.25529045,0.3596189
146363517,0.25854135,0.3596189
146863517,0.25642002,0.3596189
147363543,0.25801414,0.3596189
147863517,0.25667846,0.3596189
148363517,0.2572084,0.3596189
148863546,0.25666052,0.3596189
149363518,0.25768387,0.35983735
149863518,0.2560345,0.35983735
150363543,0.26020414,0.35983735
150863518,0.2551828,0.35983735
151363519,0.25831544,0.35983735
151863544,0.25717813,0.35983735
152363518,0.25886142,0.35983735
152863518,0.25457048,0.35983735
153363544,0.25917727,0.35983735
153863518,0.25800854,0.35983735
154363518,0.25836188,0.35983735
154863544,0.25700265,0.35983735
155363519,0.25856918,0.35983735
155863518,0.25779366,0.35983735
156363543,0.25954962,0.35983735
156863518,0.2559287,0.35983735
157363540,0.25923252,0.35983735
157863544,0.25782657,0.35983735
158363518,0.25748092,0.35983735
158864125,0.2574559,0.35983735
159363655,0.25870878,0.35983735
159863662,0.2562669,0.35983735
160363518,0.25883025,0.35983735
160863775,0.25602955,0.35983735
161363519,0.25879353,0.35983735
161863519,0.2566604,0.35983735
162363543,0.25629723,0.35983735
162863561,0.2564152,0.35983735
163363594,0.2589146,0.35983735
163863544,0.25889826,0.35983735
164363518,0.25821292,0.35983735
164863518,0.25944418,0.35983735
165363559,0.25816995,0.35983735
165863518,0.25852042,0.35983735
166363522,0.2585131,0.35983735
166863543,0.2567448,0.35983735
167363817,0.25857252,0.35983735
167863518,0.25639904,0.35983735
168363557,0.2593574,0.35983735
168863539,0.256339,0.35983735
169363608,0.2578764,0.35983735
169863545,0.2569071,0.35983735
170363538,0.25657308,0.35983735
170863518,0.25619644,0.35983735
171363564,0.25803864,0.35983735
171863531,0.2569694,0.35983735
172363518,0.2585987,0.35983735
172863544,0.25628293,0.35983735
173363518,0.25871754,0.35983735
173863521,0.255266,0.35983735
174363544,0.25851268,0.35983735
174863518,0.2547325,0.35983735
175363519,0.2575177,0.35983735
175863559,0.25668943,0.35983735
176363532,0.255673,0.35983735
176863518,0.25648212,0.35983735
177364185,0.25721598,0.35983735
177863577,0.2561115,0.35983735
178363653,0.25844175,0.35983735
178863545,0.2570452,0.35983735
179363753,0.2579338,0.35983735
179863533,0.2570219,0.35983735
180363560,0.25945616,0.35983735
180863518,0.25766397,0.35983735
181363519,0.260063,0.35983735
181863542,0.25647515,0.35983735
182363519,0.26070833,0.35983735
182863518,0.25699252,0.35983735
183363543,0.25968623,0.35983735
183863518,0.258614,0.35983735
184363517,0.25889713,0.35983735
184863544,0.2568665,0.35983735
185363517,0.2609229,0.35983735
185863519,0.25593567,0.35983735
186363545,0.26019007,0.35983735
186863539,0.2553811,0.35983735
187363519,0.2592702,0.35983735
187863545,0.25728863,0.35983735
188363519,0.25973296,0.35983735
188863532,0.25641596,0.35983735
189363543,0.25943798,0.35983735
189863518,0.25529218,0.35983735
190363518,0.25841457,0.35983735
190863559,0.25707597,0.35983735
191363518,0.25786018,0.35983735
191863533,0.25609255,0.35983735
192363547,0.2593227,0.35983735
192863770,0.25641382,0.35983735
193363624,0.25896692,0.35983735
193863889,0.2566946,0.35983735
194363522,0.2597866,0.35983735
194863519,0.2585079,0.35983735
195363570,0.25793433,0.35983735
195864080,0.2562436,0.35983735
196363518,0.2590493,0.35983735
196863543,0.25840855,0.35983735
197363517,0.25885916,0.35983735
