timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
134961102,134961033,4259850,-5.8226986,0.27581203,-4.6351748,9.0,0,0,0,0,5
135958891,135958816,4259850,2.4976313,1.2105083,10.381259,8.5,0,0,0,0,5
136959529,136959459,4259850,3.800077,0.30645782,9.346964,8.5,0,0,0,0,5
137959674,137959604,4259850,4.4129925,-0.9270349,8.626788,9.0,0,0,0,0,5
138956831,138956764,4259850,3.6698325,-0.55162406,9.844957,9.0,0,0,0,0,5
139959474,139959403,4259850,4.8573565,0.88872766,4.673482,8.5,0,0,0,0,5
140959692,140959622,4259850,12.426865,2.6431987,0.58226985,8.5,0,0,0,0,5
141959880,141959810,4259850,2.1758506,0.107260235,5.378335,9.0,0,0,0,0,5
142957610,142957539,4259850,-1.0419565,3.8613687,12.288959,9.0,0,0,0,0,5
143960221,143960152,4259850,11.285309,0.52863973,15.491443,8.5,0,0,0,0,5
144960365,144960297,4259850,-3.4323275,-2.819412,-8.121132,8.5,0,0,0,0,5
145957523,145957451,4259850,-8.2667,-12.273636,-11.622413,8.5,0,0,0,0,5
146957624,146957555,4259850,5.77673,4.1525035,2.6968288,8.5,0,0,0,0,5
147960266,147960198,4259850,19.069338,-2.6355371,15.920484,8.5,0,0,0,0,5
148960432,148960362,4259850,17.468096,5.5085793,21.30648,8.5,0,0,0,0,5
149958191,149958102,4259850,12.204682,2.3060951,27.734432,8.5,0,0,0,0,5
150958346,150958276,4259850,-4.2521024,-3.3403902,7.79169,8.5,0,0,0,0,5
151960909,151960840,4259850,7.431602,-0.48267108,17.552372,8.0,0,0,0,0,5
152958124,152958055,4259850,-0.39839518,-0.62823856,9.025183,8.0,0,0,0,0,5
153958251,153958181,4259850,-3.3097444,-4.573883,3.6162024,8.0,0,0,0,0,5
154958420,154958352,4259850,-0.8580819,-2.4593241,1.3637373,8.0,0,0,0,0,5
155961009,155960941,4259850,-4.765419,1.5399506,-0.3371036,8.0,0,0,0,0,5
156956804,156956736,4259850,-8.412267,-4.7500963,2.9343336,8.0,0,0,0,0,5
157959491,157959423,4259850,5.4932566,6.7880406,0.24516626,8.0,0,0,0,0,5
158959651,158959572,4259850,1.976653,-0.5975928,6.8876395,8.0,0,0,0,0,5
159957336,159957266,4259850,-0.8963891,0.3371036,8.0445175,7.5,0,0,0,0,5
160959492,160959419,4259850,4.3287168,-1.9153614,10.289321,7.5,0,0,0,0,5
161959639,161959569,4259850,11.522814,6.757395,19.329826,7.5,0,0,0,0,5
162959755,162959686,4259850,15.935806,14.357549,17.560034,7.5,0,0,0,0,5
163957325,163957255,4259850,7.3166804,8.672756,30.714735,7.5,0,0,0,0,5
164959798,164959727,4259850,0.8580819,2.6585217,16.135004,7.5,0,0,0,0,5
165959785,165959718,4259850,2.5052927,3.9992745,20.854454,7.5,0,0,0,0,5
166957283,166957217,4259850,-5.5239024,7.04853,15.659995,7.5,0,0,0,0,5
167959129,167959061,4259850,-0.980665,2.352064,-2.2294807,7.5,0,0,0,0,5
