timestamp,timestamp_sample,roll,pitch,yaw,throttle,flaps,aux1,aux2,aux3,aux4,aux5,aux6,buttons,valid,data_source,sticks_moving
70391890,70390929,-0.16296297,0.0,0.0,-0.9704433,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
70447109,70446135,-0.14814816,0.0,0.0,-0.9704433,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
70619667,70618667,-0.16296297,0.19458127,0.0,-0.9704433,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,1
70796344,70795381,-0.16296297,0.0,0.0,-0.9704433,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,1
70996041,70994982,-0.16296297,0.0,0.0,-0.9704433,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
71218326,71217361,-0.16296297,0.0,0.0,-0.9704433,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
71412713,71411752,-0.16049384,0.0,0.0,-0.9704433,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
71612612,71611421,-0.16049384,0.0,0.0,-0.9704433,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
71787467,71786385,-0.16296297,0.0,0.0,-0.9704433,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
72006730,72005717,-0.16296297,0.0,0.0,-0.9704433,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
72158584,72157573,-0.16296297,0.0,0.0,-0.9704433,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
72423090,72422061,-0.16296297,0.0,0.0,-0.9532019,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
72622599,72621638,-0.16296297,0.0,0.0,-0.84482753,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,1
72797354,72796376,-0.16049384,0.0,0.0,-0.8251231,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
72994820,72993852,-0.16296297,0.0,0.0,-0.72660094,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,1
73216435,73215475,-0.16296297,0.0,0.0,-0.72413784,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
73413893,73412918,-0.16049384,0.0,0.0,-0.6724137,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
73603542,73602577,-0.16296297,0.0,0.0,-0.6453201,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
73823168,73822193,-0.16049384,0.0,0.0,-0.5763546,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
74017409,74016447,-0.16296297,0.0,0.0,-0.54926103,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
74172513,74171552,-0.16049384,0.0,0.0,-0.5541871,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
74419007,74417984,-0.16296297,0.0,0.0,-0.49999994,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,1
74611528,74610537,-0.16296297,0.0,0.0,-0.49999994,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
74785964,74784832,-0.16049384,0.0,0.0,-0.4334975,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
75010677,75009642,-0.16296297,0.0,0.0,-0.4334975,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
75205168,75204206,-0.16049384,0.0,0.0,-0.40886694,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
75390124,75389058,-0.16049384,0.0,0.0,-0.34482753,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
75601588,75600580,-0.16049384,0.0,0.0,-0.275862,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,1
75756217,75755233,-0.16049384,0.0,0.0,-0.21674871,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,1
75993343,75992381,-0.16049384,0.0,0.0,-0.20935956,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
76212960,76212000,-0.16049384,0.0,0.0,-0.13300487,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
76347957,76234565,-0.16049384,0.0,0.0,-0.13546793,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
76607661,76606627,-0.16049384,0.0,0.0,-0.08128074,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
76719274,76718307,-0.16049384,0.0,0.0,-0.061576307,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
77004031,77003029,-0.16049384,0.0,0.0,-0.019704385,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
77161125,77160147,-0.16049384,0.0,0.0,-0.014778277,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
77380563,77379600,-0.16049384,0.0,0.0,0.0,0.0,-0.9704433,-0.9711539,0.0,0.0,0.0,0.0,0,1,1,0
