timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
70420215,70420107,0.014778346,0.0,0.0
70422715,70422602,0.014778346,0.0,0.0
70442684,70442562,0.014778346,0.0,0.0
70462628,70462521,0.014778346,0.0,0.0
70480102,70479985,0.014778346,0.0,0.0
70502549,70502439,0.014778346,0.0,0.0
70522505,70522399,0.014778346,0.0,0.0
70542506,70542358,0.014778346,0.0,0.0
70559931,70559822,0.014778346,0.0,0.0
70582457,70582277,0.014778346,0.0,0.0
70602341,70602236,0.014778346,0.0,0.0
70619806,70619700,0.014778346,0.0,0.0
70642262,70642155,0.014778346,0.0,0.0
70662220,70662114,0.014778346,0.0,0.0
70682181,70682073,0.014778346,0.0,0.0
70699646,70699538,0.014778346,0.0,0.0
70722096,70721992,0.014778346,0.0,0.0
70742211,70741951,0.014778346,0.0,0.0
70759522,70759415,0.014778346,0.0,0.0
70781975,70781870,0.014778346,0.0,0.0
70801949,70801830,0.014778346,0.0,0.0
70824391,70824283,0.014778346,0.0,0.0
70841856,70841748,0.014778346,0.0,0.0
70861812,70861707,0.014778346,0.0,0.0
70881773,70881667,0.014778346,0.0,0.0
70899239,70899131,0.014778346,0.0,0.0
70921690,70921585,0.014778346,0.0,0.0
70941791,70941546,0.014778346,0.0,0.0
70964103,70963999,0.014778346,0.0,0.0
70981571,70981463,0.014778346,0.0,0.0
71001533,71001423,0.014778346,0.0,0.0
71023981,71023876,0.014778346,0.0,0.0
71041450,71041341,0.014778346,0.0,0.0
71061411,71061301,0.014778346,0.0,0.0
71081365,71081259,0.014778346,0.0,0.0
71103823,71103717,0.014778346,0.0,0.0
71121284,71121178,0.014778346,0.0,0.0
71141381,71141137,0.014778346,0.0,0.0
71163700,71163591,0.014778346,0.0,0.0
71181161,71181056,0.014778346,0.0,0.0
71201122,71201015,0.014778346,0.0,0.0
71223578,71223469,0.014778346,0.0,0.0
71243536,71243429,0.014778346,0.0,0.0
71261001,71260893,0.014778346,0.0,0.0
71280975,71280853,0.014778346,0.0,0.0
71300927,71300812,0.014778346,0.0,0.0
71320874,71320771,0.014778346,0.0,0.0
71340922,71340730,0.014778346,0.0,0.0
71363298,71363185,0.014778346,0.0,0.0
