timestamp,load,ram_usage
70360650,0.23056895,0.287517
70860523,0.31815374,0.3568464
71360491,0.25683892,0.3568464
71860560,0.24365163,0.3568464
72360521,0.24365216,0.3568464
72860491,0.24418992,0.3568464
73360491,0.24427891,0.3568464
73860524,0.24480927,0.3568464
74360505,0.24454874,0.3568464
74860491,0.24464792,0.3568464
75360625,0.24481148,0.3568464
75860506,0.245547,0.3568464
76360491,0.24174601,0.3568464
76860530,0.2452842,0.3568464
77360491,0.24420309,0.3568464
77860582,0.24453378,0.3568464
78360528,0.24546546,0.35721606
78861333,0.24617529,0.35721606
79360491,0.24682897,0.35721606
79860521,0.24583006,0.35721606
80360491,0.24634153,0.35721606
80860492,0.24557221,0.35721606
81360682,0.24582791,0.35721606
81860503,0.24619377,0.35721606
82360543,0.24718761,0.35721606
82860521,0.24763703,0.35721606
83360491,0.24501371,0.35721606
83860936,0.24740857,0.35721606
84360522,0.24722326,0.35721606
84860491,0.24579912,0.35721606
85360506,0.24699491,0.35721606
85860589,0.24595886,0.35721606
86360541,0.24635649,0.35721606
86860507,0.24537301,0.35721606
87360524,0.24371725,0.35721606
87860491,0.24513417,0.35721606
88360491,0.24404603,0.35721606
88860610,0.24568129,0.35721606
89360543,0.2465986,0.35721606
89860593,0.24670196,0.35721606
90360524,0.24972302,0.35780418
90860491,0.24589223,0.35780418
91360491,0.24599397,0.35780418
91860525,0.24814117,0.35780418
92360548,0.24619335,0.35780418
92860551,0.24581933,0.35780418
93360523,0.24502122,0.35780418
93860531,0.2476626,0.35780418
94360492,0.24507761,0.35780418
94860756,0.24632567,0.35780418
95360492,0.24553323,0.35780418
95860494,0.24694937,0.35780418
96360627,0.24565339,0.35780418
96860528,0.24526852,0.35780418
97360506,0.24661571,0.35780418
97860536,0.24643779,0.35780418
98360927,0.24734086,0.35780418
98860506,0.24696326,0.35780418
99360523,0.24664801,0.35780418
99860591,0.2449665,0.35780418
100360492,0.24662513,0.35780418
100860574,0.24524486,0.35780418
101360492,0.24862969,0.35780418
101860492,0.24543828,0.35780418
102360568,0.24594712,0.35780418
102860492,0.24672914,0.35780418
103360851,0.24650705,0.35780418
103860522,0.24646759,0.35780418
104360849,0.24615723,0.35780418
104860492,0.2460056,0.35780418
105360537,0.24667567,0.35780418
105860507,0.24633199,0.35780418
106360492,0.24539858,0.35780418
106860592,0.24609017,0.35780418
107360492,0.24562937,0.35780418
107860492,0.24604541,0.35780418
108360540,0.24991655,0.35780418
108860506,0.24643862,0.35780418
109360492,0.248196,0.35780418
109860536,0.24674058,0.35780418
110360575,0.24718463,0.35780418
110860491,0.24726367,0.35780418
111360522,0.24644077,0.35780418
111860493,0.24676245,0.35780418
112360492,0.24592876,0.35780418
112860913,0.2464875,0.35780418
113360492,0.24913651,0.35780418
113860968,0.24581474,0.35780418
114360522,0.24886882,0.35780418
114860505,0.24493808,0.35780418
115360492,0.24754268,0.35780418
115860541,0.24576622,0.35780418
116360491,0.24634254,0.35780418
116860491,0.24637353,0.35780418
117360604,0.24696201,0.35780418
117860511,0.2458815,0.35780418
118360491,0.24682194,0.35780418
118860594,0.24690717,0.35780418
119360507,0.24801993,0.35780418
119860506,0.24435645,0.35780418
120360537,0.24807423,0.35780418
120860569,0.24690193,0.35780418
121360507,0.2477122,0.35780418
121860522,0.24607354,0.35780418
122360492,0.2472536,0.35780418
122860505,0.24809289,0.35780418
123360846,0.24690282,0.35780418
123860496,0.24708533,0.35780418
124360601,0.24552387,0.35780418
124860768,0.24813294,0.35780418
125360491,0.24622047,0.35780418
125860492,0.24749696,0.35780418
126360522,0.24721688,0.35780418
126860493,0.24597228,0.35780418
127360736,0.24675238,0.35780418
127860626,0.24879718,0.35780418
128360492,0.24626356,0.35780418
128860532,0.24757111,0.35780418
129360525,0.24652743,0.35780418
129860539,0.2482748,0.35780418
130360492,0.24710798,0.35780418
130860586,0.248003,0.35780418
131360558,0.24482608,0.35780418
131860507,0.24783838,0.35780418
132360532,0.24889201,0.35780418
132860905,0.24775642,0.35780418
133360539,0.2476458,0.35780418
133860536,0.24839622,0.35780418
134360491,0.24732035,0.35780418
134860557,0.2477358,0.35780418
135360522,0.2474733,0.35780418
135860491,0.24755538,0.35780418
136360492,0.24776214,0.35780418
136860880,0.24776846,0.35780418
137360491,0.24746394,0.35780418
137860491,0.24793136,0.35780418
138360590,0.24923968,0.35780418
138860492,0.24685788,0.35780418
139360492,0.2476663,0.35780418
139860522,0.24881417,0.35780418
140360513,0.24799436,0.35780418
140860491,0.24749023,0.35780418
141360522,0.247006,0.35780418
141860587,0.24710023,0.35780418
142360587,0.24586779,0.35780418
142860640,0.24742645,0.35780418
143360597,0.2456441,0.35780418
143860507,0.2473486,0.35780418
144360522,0.24825716,0.35780418
144860491,0.24765092,0.35780418
