timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
191289863,2490378,4259850,2490378,0,0,0.12269262,0.12269264,0.0,0.0,2490378,4325386,2490378,0,0,0.0034375906,0.0034375915,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
191294782,2490378,4259850,2490378,0,0,0.122998774,0.122998774,0.0,0.0,2490378,4325386,2490378,0,0,0.0034581264,0.0034581274,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
191492140,2490378,4259850,2490378,0,0,0.12384817,0.12384815,0.0,0.0,2490378,4325386,2490378,0,0,0.0033536863,0.0033536863,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
191693774,2490378,4259850,2490378,0,0,0.13001266,0.13001268,0.0,0.0,2490378,4325386,2490378,0,0,0.0039612786,0.0039612795,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
191891101,2490378,4259850,2490378,0,0,0.12464634,0.12464637,0.0,0.0,2490378,4325386,2490378,0,0,0.0036922721,0.0036922742,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
192092778,2490378,4259850,2490378,0,0,0.13037257,0.13037254,0.0,0.0,2490378,4325386,2490378,0,0,0.001978128,0.0019781264,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
192289810,2490378,4259850,2490378,0,0,0.1296652,0.12966521,0.0,0.0,2490378,4325386,2490378,0,0,0.0024045918,0.0024045908,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
192491726,2490378,4259850,2490378,0,0,0.12630738,0.12630738,0.0,0.0,2490378,4325386,2490378,0,0,0.0017940698,0.0017940702,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
192693708,2490378,4259850,2490378,0,0,0.12665929,0.12665933,0.0,0.0,2490378,4325386,2490378,0,0,0.002699295,0.0026992948,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
192890737,2490378,4259850,2490378,0,0,0.12829666,0.12829664,0.0,0.0,2490378,4325386,2490378,0,0,0.002881535,0.002881535,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
193092713,2490378,4259850,2490378,0,0,0.12566204,0.12566207,0.0,0.0,2490378,4325386,2490378,0,0,0.002556345,0.0025563452,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
193289629,2490378,4259850,2490378,0,0,0.12271896,0.12271896,0.0,0.0,2490378,4325386,2490378,0,0,0.0028401366,0.0028401362,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
193491674,2490378,4259850,2490378,0,0,0.11917683,0.11917685,0.0,0.0,2490378,4325386,2490378,0,0,0.0025836902,0.0025836902,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
193688736,2490378,4259850,2490378,0,0,0.11991852,0.11991851,0.0,0.0,2490378,4325386,2490378,0,0,0.0028461649,0.0028461653,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
193895607,2490378,4259850,2490378,0,0,0.118504435,0.11850446,0.0,0.0,2490378,4325386,2490378,0,0,0.0034305968,0.0034305952,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
194092639,2490378,4259850,2490378,0,0,0.122336745,0.12233678,0.0,0.0,2490378,4325386,2490378,0,0,0.0026759095,0.0026759098,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
194294598,2490378,4259850,2490378,0,0,0.12321675,0.12321675,0.0,0.0,2490378,4325386,2490378,0,0,0.0033418299,0.00334183,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
194491685,2490378,4259850,2490378,0,0,0.1286538,0.12865381,0.0,0.0,2490378,4325386,2490378,0,0,0.00280294,0.0028029408,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
194693613,2490378,4259850,2490378,0,0,0.120664105,0.12066411,0.0,0.0,2490378,4325386,2490378,0,0,0.00520369,0.005203695,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
194890627,2490378,4259850,2490378,0,0,0.12900527,0.12900521,0.0,0.0,2490378,4325386,2490378,0,0,0.011333502,0.011333505,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
195092601,2490378,4259850,2490378,0,0,0.12225383,0.12225381,0.0,0.0,2490378,4325386,2490378,0,0,0.0121822925,0.0121822925,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
195294547,2490378,4259850,2490378,0,0,0.120334476,0.12033453,0.0,0.0,2490378,4325386,2490378,0,0,0.20414037,0.20414038,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
195491598,2490378,4259850,2490378,0,0,0.11205838,0.112058416,0.0,0.0,2490378,4325386,2490378,0,0,0.027199602,0.027199604,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
195693578,2490378,4259850,2490378,0,0,0.09504162,0.095041595,0.0,0.0,2490378,4325386,2490378,0,0,0.004454816,0.0044548134,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
195890627,2490378,4259850,2490378,0,0,0.08969158,0.08969153,0.0,0.0,2490378,4325386,2490378,0,0,0.002237809,0.0022378094,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
196092554,2490378,4259850,2490378,0,0,0.09008153,0.09008152,0.0,0.0,2490378,4325386,2490378,0,0,0.004099737,0.004099736,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
196289594,2490378,4259850,2490378,0,0,0.074766405,0.0747664,0.0,0.0,2490378,4325386,2490378,0,0,0.0040212437,0.0040212446,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
196491604,2490378,4259850,2490378,0,0,0.079255216,0.07925519,0.0,0.0,2490378,4325386,2490378,0,0,0.004555304,0.004555304,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
196693502,2490378,4259850,2490378,0,0,0.096077554,0.096077524,0.0,0.0,2490378,4325386,2490378,0,0,0.0047613815,0.004761385,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
196895482,2490378,4259850,2490378,0,0,0.088063955,0.088063985,0.0,0.0,2490378,4325386,2490378,0,0,0.0034684765,0.0034684767,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
197092534,2490378,4259850,2490378,0,0,0.08268634,0.08268636,0.0,0.0,2490378,4325386,2490378,0,0,0.004407728,0.0044077244,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
197294474,2490378,4259850,2490378,0,0,0.09390515,0.093905166,0.0,0.0,2490378,4325386,2490378,0,0,0.0076676635,0.00766766,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
197491501,2490378,4259850,2490378,0,0,0.094479725,0.094479755,0.0,0.0,2490378,4325386,2490378,0,0,0.013260066,0.013260065,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
197693502,2490378,4259850,2490378,0,0,0.08660664,0.08660663,0.0,0.0,2490378,4325386,2490378,0,0,0.014611473,0.01461147,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
197890499,2490378,4259850,2490378,0,0,0.06007952,0.060079556,0.0,0.0,2490378,4325386,2490378,0,0,0.011985576,0.011985576,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
198092451,2490378,4259850,2490378,0,0,0.06718292,0.067182854,0.0,0.0,2490378,4325386,2490378,0,0,0.0068579433,0.00685794,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
198294424,2490378,4259850,2490378,0,0,0.067762084,0.06776205,0.0,0.0,2490378,4325386,2490378,0,0,0.0045576566,0.0045576566,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
198491480,2490378,4259850,2490378,0,0,0.064995885,0.06499587,0.0,0.0,2490378,4325386,2490378,0,0,0.002671999,0.0026719978,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
198693437,2490378,4259850,2490378,0,0,0.07377864,0.07377866,0.0,0.0,2490378,4325386,2490378,0,0,0.004541225,0.0045412215,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
198890498,2490378,4259850,2490378,0,0,0.08309366,0.08309366,0.0,0.0,2490378,4325386,2490378,0,0,0.0043381476,0.0043381467,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
199092430,2490378,4259850,2490378,0,0,0.07444612,0.07444608,0.0,0.0,2490378,4325386,2490378,0,0,0.003654134,0.003654133,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
199289472,2490378,4259850,2490378,0,0,0.068635516,0.068635516,0.0,0.0,2490378,4325386,2490378,0,0,0.0026536866,0.0026536882,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
