timestamp,course_setpoint,lateral_acceleration_ff,bearing_feas,bearing_feas_on_track,signed_track_error,track_error_bound,adapted_period,wind_est_valid
191285179,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
191304869,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
191383645,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
191482467,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
191580716,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
191679249,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
191777745,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
191886198,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
191984608,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
192083161,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
192181697,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
192280400,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
192378650,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
192487063,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
192585570,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
192684156,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
192782615,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
192881122,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
192979619,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
193078689,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
193186574,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
193285095,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
193383558,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
193482173,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
193580569,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
193679114,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
193777605,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
193886352,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
193984531,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
194083118,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
194181520,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
194280145,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
194378570,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
194487044,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
