timestamp,defer_failsafes_timeout_s,disable_auto_disarm,defer_failsafes,disable_auto_set_home,source_type,source_id
189564682,0,0,0,0,0,0
190070682,0,0,0,0,0,0
190576683,0,0,0,0,0,0
191082683,0,0,0,0,0,0
191590737,0,0,0,0,0,0
192096682,0,0,0,0,0,0
192602684,0,0,0,0,0,0
193108682,0,0,0,0,0,0
193614988,0,0,0,0,0,0
194121699,0,0,0,0,0,0
194627700,0,0,0,0,0,0
195133682,0,0,0,0,0,0
195639863,0,0,0,0,0,0
196145712,0,0,0,0,0,0
196651682,0,0,0,0,0,0
197158013,0,0,0,0,0,0
197663682,0,0,0,0,0,0
198169682,0,0,0,0,0,0
198676683,0,0,0,0,0,0
199182881,0,0,0,0,0,0
