timestamp,param5,param6,param1,param2,param3,param4,param7,command,source_component,target_system,target_component,source_system,confirmation,from_external
2565061,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
8223683,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
15766002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
27326170,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
46689400,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
213350645,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
224649968,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
227562819,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
231123645,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
257442384,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
265648451,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,0,1,0,0
265648478,2.0,0.0,nan,nan,nan,nan,0.0,1000,1,1,0,1,0,0
265648479,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
268664918,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
288391114,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
