timestamp,timestamp_sample,position[0],position[1],position[2],q[0],q[1],q[2],q[3],velocity[0],velocity[1],velocity[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],position_variance[0],position_variance[1],position_variance[2],orientation_variance[0],orientation_variance[1],orientation_variance[2],velocity_variance[0],velocity_variance[1],velocity_variance[2],pose_frame,velocity_frame,reset_counter,quality
24798097,24797675,0.052318834,0.06653401,-0.17381668,-0.95299023,-0.08240202,0.074750654,-0.28183672,-0.121318296,0.15907396,-0.062033813,0.05036119,0.06945644,0.24673015,0.03738084,0.037656482,0.07205698,0.000101399746,6.32768e-05,0.0014109211,0.011125741,0.011481759,0.008028883,1,1,10,0
25300507,25300060,0.04644985,0.07600553,-0.24644852,-0.9389592,-0.102428116,0.050104108,-0.32458225,-0.08947113,0.0039885053,-0.020544656,0.14020938,0.26633307,0.09902591,0.03379985,0.033995036,0.06583572,7.939227e-05,5.627342e-05,0.0014286572,0.009847693,0.009958151,0.0075364453,1,1,10,0
25793004,25792588,0.028539868,0.033444196,-0.3623314,-0.9078095,-0.058530934,-0.040086374,-0.4133391,-0.10510769,-0.09656901,-0.17995837,-0.016416816,0.3844142,0.21822216,0.032876983,0.033055585,0.06327564,3.906433e-05,5.7312947e-05,0.0014659913,0.009810105,0.009752722,0.00744378,1,1,10,0
26295355,26294970,0.08296609,-0.07010552,-0.38897324,-0.8962746,-0.013404819,-0.06748402,-0.43813014,0.00035649,-0.07856182,0.09811112,0.101443775,-0.15587193,-0.0556943,0.030513296,0.030643892,0.059714723,4.8232345e-05,3.5281155e-05,0.0014716829,0.008772928,0.008658395,0.0071826978,1,1,10,0
26797786,26797352,0.15022597,-0.08635628,-0.3901062,-0.8953189,-0.008685642,-0.043429133,-0.44321844,0.067897946,-0.083308704,0.016093591,0.14837898,0.053916465,-0.08664849,0.030410843,0.030530958,0.05881051,3.9823317e-05,3.8408387e-05,0.0014736349,0.008806214,0.008720031,0.0072424808,1,1,10,0
27300112,27299734,0.20376945,-0.0890161,-0.45656586,-0.8956926,0.016215727,-0.021485284,-0.44385827,0.041543674,-0.06375282,0.025922852,0.0792263,-0.17080893,0.008743749,0.02858409,0.028674472,0.056071606,3.7940245e-05,2.9166094e-05,0.0014794718,0.008204823,0.008096259,0.0070237573,1,1,10,0
27802959,27802117,0.23830584,-0.077792935,-0.51047325,-0.88956416,0.06542427,0.01947372,-0.45168155,0.03469774,-0.04626748,-0.04591095,-0.34701535,-0.02097649,0.05528943,0.028754514,0.028837271,0.05588227,2.9461084e-05,3.078495e-05,0.0014866462,0.008305306,0.008236387,0.0070914445,1,1,10,0
28295026,28294649,0.279966,-0.07895091,-0.57790375,-0.8905339,0.061187882,0.025779005,-0.4500454,-0.009134544,-0.0356606,-0.011121941,0.46030852,-0.035623502,-0.06581995,0.027062578,0.027127083,0.053723685,2.8331257e-05,7.323939e-05,0.0014436353,0.0077332403,0.007714522,0.0068480084,1,1,10,0
28797509,28797031,0.27093926,-0.060096897,-0.64616585,-0.8980651,-0.042507187,-0.028666172,-0.43686432,-0.047892623,-0.066683985,-0.09010455,-0.0021499046,0.18461023,-0.014388271,0.027371418,0.027434418,0.05388271,2.7516506e-05,3.3909688e-05,0.0014878733,0.007940268,0.0079528,0.006899604,1,1,10,0
29299825,29299414,0.26834896,-0.060620904,-0.73431396,-0.8897213,0.030520666,-0.02527589,-0.4547811,-0.08264907,-0.060326654,-0.10147724,-0.3215675,0.045028787,0.062450532,0.026003797,0.026056094,0.051971577,3.121254e-05,2.6826068e-05,0.0014944867,0.0075767078,0.0075908774,0.006676439,1,1,10,0
29792379,29791946,0.3028112,-0.08188538,-0.7711277,-0.8882337,0.048630495,0.011006774,-0.4566779,-0.05146331,-0.051636662,-0.023191426,0.08018314,-0.099614955,-0.072513804,0.026254287,0.026309498,0.05231946,3.0396333e-05,4.632488e-05,0.0014790196,0.007685399,0.007732123,0.0067063044,1,1,10,0
30294998,30294331,0.3180735,-0.07443377,-0.8264103,-0.8902333,0.007726379,-0.006431345,-0.45539385,-0.13209842,-0.04511857,-0.051042493,0.37302583,-0.032106258,-0.040005155,0.025005305,0.025055919,0.050540417,2.6909942e-05,3.0541887e-05,0.0014992238,0.007349118,0.0074059,0.0064736498,1,1,10,0
30797093,30796713,0.28679818,-0.06788362,-0.88217926,-0.8848681,-0.025008501,-0.032650664,-0.46402258,-0.17230372,-0.057526283,-0.078577444,0.19400114,0.0914695,0.09714033,0.025463361,0.02552158,0.0511745,2.6211383e-05,2.7344422e-05,0.0015096123,0.0076043517,0.0076593747,0.006504488,1,1,10,0
31299794,31299097,0.3014552,-0.07782407,-0.9410324,-0.88178545,-0.016522132,-0.032702006,-0.47022548,-0.15750204,-0.059888855,-0.049845133,0.1239126,-0.06784696,-0.017999178,0.024290664,0.024342883,0.049444877,2.716296e-05,2.6708134e-05,0.0015140929,0.0072752554,0.007309514,0.006262338,1,1,10,0
31801864,31801480,0.31503654,-0.09256497,-0.98503876,-0.8786947,-0.009427909,-0.030289661,-0.47632906,-0.14606261,-0.09646837,-0.0869128,-0.050526053,-0.000887792,0.05578317,0.024759203,0.024819274,0.049866933,2.5922236e-05,2.7638183e-05,0.0015205591,0.007492771,0.0075206496,0.006265033,1,1,10,0
32294443,32294014,0.32911003,-0.09814364,-1.0326138,-0.881852,-0.04297898,-0.024286712,-0.46893516,-0.16426307,-0.09173471,-0.06838136,-0.042064898,-0.18374164,0.007757143,0.023496203,0.02354885,0.0481363,2.495445e-05,3.2238535e-05,0.0015210054,0.0070803626,0.007095624,0.0060165254,1,1,10,0
32796820,32796398,0.31680772,-0.107674845,-1.1230183,-0.8835022,-0.0071632015,-0.064814016,-0.46386597,-0.21886802,-0.13320391,-0.21876535,0.06091536,0.42437008,-0.021220965,0.024013774,0.024073493,0.048569817,2.4323865e-05,2.7006663e-05,0.0015330558,0.0073754317,0.0073757423,0.006016007,1,1,10,0
33299325,33298782,0.31039596,-0.14229168,-1.1824055,-0.8745404,0.057192024,-0.10153134,-0.4707436,-0.1916168,-0.122605726,-0.07532865,-0.2115038,-0.008890016,0.017755652,0.022970071,0.023022953,0.046916854,8.321495e-05,2.2727949e-05,0.0014815652,0.007029597,0.007015827,0.005801781,1,1,10,0
33801588,33801167,0.3103162,-0.15379718,-1.1900673,-0.8761965,0.037539862,-0.087568656,-0.4724429,-0.21404664,-0.089636385,-0.050325714,0.042209413,-0.03902629,-0.06807153,0.023507006,0.023564488,0.047330283,7.4398435e-05,2.09849e-05,0.0014970289,0.007199392,0.0071790977,0.0058188625,1,1,10,0
34294272,34293702,0.31592402,-0.13990827,-1.2291336,-0.8775692,0.010717089,-0.088011384,-0.47118086,-0.21083689,-0.07610076,-0.03588314,0.18484649,-0.09427809,-0.049721047,0.022305913,0.022357065,0.04564109,6.2396175e-05,2.0589496e-05,0.0015075696,0.006813904,0.0067946375,0.005605745,1,1,10,0
34796511,34796086,0.30642146,-0.14045684,-1.2721634,-0.87930804,-0.000514768,-0.072719134,-0.47066888,-0.24824554,-0.11252074,-0.07692549,-0.06872199,0.022462005,0.027244763,0.022814704,0.022870703,0.046017595,4.0818584e-05,2.6398899e-05,0.0015267308,0.007016579,0.0069938134,0.0056145457,1,1,10,0
35299105,35298471,0.32360289,-0.1471827,-1.3219852,-0.8775086,0.01740633,-0.06251612,-0.47514987,-0.21786194,-0.10119413,-0.058868643,0.09022255,0.028414765,-0.025685672,0.02181608,0.021865582,0.044416927,3.817287e-05,1.9403882e-05,0.0015389549,0.0067176153,0.0066917087,0.0054247715,1,1,10,0
35801234,35800857,0.32724708,-0.14784849,-1.3618908,-0.8796697,0.00066486007,-0.057468254,-0.47209972,-0.20767182,-0.09171616,-0.07690877,-0.08902311,-0.03638885,0.06431409,0.022362098,0.022416383,0.044975735,3.262019e-05,2.2225979e-05,0.0015447065,0.0069257435,0.0068998327,0.0054509975,1,1,10,0
36293884,36293391,0.34378058,-0.14632615,-1.4148064,-0.8817432,-0.011961469,-0.06367593,-0.46725956,-0.24165836,-0.110208005,-0.07515627,-0.08859546,-0.049721405,0.035007935,0.02124953,0.02129577,0.043215144,3.1929954e-05,2.4421577e-05,0.0015467805,0.006590083,0.0065574995,0.0052519045,1,1,10,0
36796235,36795777,0.33438772,-0.16062124,-1.448986,-0.877099,-0.005749617,-0.050768483,-0.47758457,-0.21777482,-0.09788121,-0.06421162,0.09447047,-0.06410064,-0.07291632,0.021800086,0.021851445,0.04360966,2.9042158e-05,2.0787247e-05,0.0015534632,0.006781478,0.0067492216,0.0052703954,1,1,10,0
37298540,37298163,0.35090685,-0.15682752,-1.4869347,-0.88496524,-0.041749377,-0.06345847,-0.4594199,-0.2344413,-0.0779259,-0.051806476,0.14158238,-0.15204293,-0.041540258,0.020834826,0.02088062,0.042231962,2.6636631e-05,2.9151297e-05,0.0015478234,0.0064962357,0.006467948,0.0051089083,1,1,10,0
