timestamp,lat,lon,alt,x,y,z,yaw,update_count,valid_alt,valid_hpos,valid_lpos,manual_home
24290938,31.189943662224113,117.2010299759926,29.390434,0.0,0.0,0.0,0.0,760,1,1,0,0
78669733,31.18995514025106,117.20102712852179,31.902945,1.400857,-0.26373094,-2.9993763,1.614439,761,1,1,1,0
79670621,31.18995514025106,117.20102712852179,31.902945,1.400857,-0.26373094,-2.9993763,1.692003,761,1,1,1,0
433041769,31.19000117009846,117.20136733111184,34.276646,6.5191913,32.097095,-5.3730774,1.1312399,762,1,1,1,0
486430622,31.19000117009846,117.20136733111184,34.276646,6.5191913,32.097095,-5.3730774,1.1354952,762,1,1,1,0
