timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
32131775,32131504,1.0,-0.42699707,0.2580404,nan,nan,nan,nan,nan
32228881,32228761,1.0,-0.37064397,0.26472184,nan,nan,nan,nan,nan
32331283,32331006,1.0,-0.31131685,0.25078604,nan,nan,nan,nan,nan
32428381,32428264,1.0,-0.28694415,0.237504,nan,nan,nan,nan,nan
32530734,32530509,1.0,-0.3052294,0.21430185,nan,nan,nan,nan,nan
32627880,32627766,1.0,-0.40379807,0.19263847,nan,nan,nan,nan,nan
32730262,32730011,0.95511705,-0.5555994,0.20375483,nan,nan,nan,nan,nan
32829882,32829762,0.9090114,-0.6537759,0.20698227,nan,nan,nan,nan,nan
32929683,32929513,0.821583,-0.6974836,0.19506112,nan,nan,nan,nan,nan
33029391,33029265,0.7118161,-0.71653867,0.17748289,nan,nan,nan,nan,nan
33129161,33129016,0.5499079,-0.62480855,0.12690294,nan,nan,nan,nan,nan
33228885,33228767,0.39957064,-0.48314077,0.036768727,nan,nan,nan,nan,nan
33328641,33328518,0.34053984,-0.37720165,-0.040849194,nan,nan,nan,nan,nan
33428387,33428270,0.3780242,-0.34369114,-0.07002906,nan,nan,nan,nan,nan
33528139,33528021,0.45647225,-0.363193,-0.06353362,nan,nan,nan,nan,nan
33627890,33627772,0.5362334,-0.43496406,-0.009201431,nan,nan,nan,nan,nan
33730149,33730017,0.61037546,-0.48343936,0.048677076,nan,nan,nan,nan,nan
33827441,33827275,0.6077782,-0.47255278,0.058994647,nan,nan,nan,nan,nan
33929652,33929520,0.6190875,-0.4860769,0.047538545,nan,nan,nan,nan,nan
34026896,34026777,0.65215504,-0.50427556,0.047680575,nan,nan,nan,nan,nan
34129164,34129025,0.76344943,-0.55907726,0.09979301,nan,nan,nan,nan,nan
34231389,34231268,0.8619712,-0.6157245,0.15027648,nan,nan,nan,nan,nan
34328655,34328525,0.95927113,-0.6547131,0.21085325,nan,nan,nan,nan,nan
34430886,34430770,1.0,-0.6425286,0.23632476,nan,nan,nan,nan,nan
34528142,34528027,1.0,-0.6017603,0.22913235,nan,nan,nan,nan,nan
34630391,34630273,0.9921317,-0.57288396,0.20693491,nan,nan,nan,nan,nan
34727652,34727531,0.9543237,-0.54672176,0.18899083,nan,nan,nan,nan,nan
34829893,34829775,0.9099213,-0.5194013,0.17833723,nan,nan,nan,nan,nan
34932155,34932021,0.8594877,-0.47256503,0.14746502,nan,nan,nan,nan,nan
35029397,35029278,0.7836706,-0.37801912,0.109994605,nan,nan,nan,nan,nan
35131648,35131528,0.7434705,-0.32885596,0.06613837,nan,nan,nan,nan,nan
35228897,35228781,0.75890243,-0.3628064,0.06654797,nan,nan,nan,nan,nan
35331144,35331028,0.8117077,-0.42101398,0.08674642,nan,nan,nan,nan,nan
35428401,35428284,0.87020606,-0.43071502,0.11776765,nan,nan,nan,nan,nan
35530649,35530529,0.963219,-0.448291,0.15367764,nan,nan,nan,nan,nan
35627904,35627787,0.9708329,-0.45425805,0.1647908,nan,nan,nan,nan,nan
35730159,35730032,0.9314327,-0.4135771,0.14199193,nan,nan,nan,nan,nan
35829900,35829783,0.9055717,-0.36505795,0.11462583,nan,nan,nan,nan,nan
35929657,35929535,0.95712465,-0.42604765,0.13232899,nan,nan,nan,nan,nan
36029401,36029286,1.0,-0.51843756,0.19123401,nan,nan,nan,nan,nan
36129168,36129038,1.0,-0.54994357,0.23885238,nan,nan,nan,nan,nan
36228905,36228789,1.0,-0.51659054,0.23222426,nan,nan,nan,nan,nan
36328668,36328540,1.0,-0.44659618,0.18869282,nan,nan,nan,nan,nan
36428410,36428292,0.9671802,-0.419123,0.14285055,nan,nan,nan,nan,nan
36530659,36530537,0.95745534,-0.3991824,0.13040932,nan,nan,nan,nan,nan
36627911,36627795,0.9580259,-0.37799364,0.14298916,nan,nan,nan,nan,nan
36730166,36730040,0.9855847,-0.37128216,0.15546851,nan,nan,nan,nan,nan
36827415,36827298,1.0,-0.39945376,0.17788783,nan,nan,nan,nan,nan
36929664,36929543,1.0,-0.4460752,0.19565025,nan,nan,nan,nan,nan
37031905,37031788,1.0,-0.54591835,0.23916474,nan,nan,nan,nan,nan
37129175,37129046,1.0,-0.61540663,0.30377123,nan,nan,nan,nan,nan
37231410,37231291,1.0,-0.6334236,0.34813574,nan,nan,nan,nan,nan
37328682,37328549,1.0,-0.59638107,0.35631546,nan,nan,nan,nan,nan
37430910,37430794,1.0,-0.5684686,0.3462169,nan,nan,nan,nan,nan
37528181,37528052,1.0,-0.5901969,0.3468191,nan,nan,nan,nan,nan
37630421,37630297,1.0,-0.62874997,0.33286768,nan,nan,nan,nan,nan
37727674,37727555,1.0,-0.6296643,0.3269498,nan,nan,nan,nan,nan
37829916,37829800,1.0,-0.61499965,0.33731648,nan,nan,nan,nan,nan
37929675,37929552,1.0,-0.5983903,0.34539878,nan,nan,nan,nan,nan
38029423,38029303,1.0,-0.5720998,0.3456787,nan,nan,nan,nan,nan
38129180,38129055,1.0,-0.552302,0.35171172,nan,nan,nan,nan,nan
38228922,38228807,1.0,-0.5522048,0.3512262,nan,nan,nan,nan,nan
38328693,38328563,1.0,-0.592563,0.3465089,nan,nan,nan,nan,nan
38430921,38430804,1.0,-0.60474044,0.3484019,nan,nan,nan,nan,nan
38528176,38528061,1.0,-0.5657819,0.33840114,nan,nan,nan,nan,nan
38630424,38630307,1.0,-0.5017803,0.31054354,nan,nan,nan,nan,nan
38727685,38727565,1.0,-0.52965677,0.3075056,nan,nan,nan,nan,nan
38829929,38829810,1.0,-0.5792366,0.37345877,nan,nan,nan,nan,nan
38927182,38927068,1.0,-0.5660478,0.36836648,nan,nan,nan,nan,nan
39029435,39029314,1.0,-0.5805748,0.35548934,nan,nan,nan,nan,nan
39131680,39131559,1.0,-0.59634554,0.3266645,nan,nan,nan,nan,nan
39228950,39228818,1.0,-0.58145624,0.2920564,nan,nan,nan,nan,nan
39331188,39331062,1.0,-0.53110844,0.25380692,nan,nan,nan,nan,nan
39428450,39428320,1.0,-0.5198615,0.2403091,nan,nan,nan,nan,nan
39530684,39530566,1.0,-0.548864,0.24404289,nan,nan,nan,nan,nan
39627949,39627824,1.0,-0.5399664,0.23971327,nan,nan,nan,nan,nan
39730186,39730069,1.0,-0.524589,0.28325963,nan,nan,nan,nan,nan
39830091,39829821,1.0,-0.52135456,0.35359928,nan,nan,nan,nan,nan
