timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
24528075,24527988,-0.088714965,0.13075781,-0.020169253,-1.2007822,-0.07460884,0.25381175
24530566,24530482,-0.09071976,0.13095401,-0.01921011,-1.0458087,-0.023272248,0.3215341
24550511,24550432,-0.088074945,0.12935528,-0.011208571,0.33480033,-0.062749766,0.34191948
24567969,24567888,-0.09401972,0.124842145,0.00021694624,-0.7467988,-0.033709306,0.5163016
24587922,24587838,-0.10821664,0.12033877,0.0075736633,-0.37812778,-0.23603958,0.5957082
24610365,24610282,-0.08297799,0.09979475,0.020471409,1.4509315,-0.7534757,0.46665406
24630470,24630232,-0.06871757,0.08980557,0.03135847,0.28021988,-0.5289537,0.7363904
24647769,24647689,-0.073725685,0.07707748,0.037773255,-0.28935912,-0.8507464,0.16021082
24667720,24667639,-0.07846668,0.06294709,0.05662382,0.014425608,-1.1899041,0.87753326
24690169,24690086,-0.0733814,0.0570726,0.07948683,0.58116,-0.2565987,1.0802209
24707619,24707539,-0.03165671,0.048826456,0.10424925,2.6526186,-0.12739772,1.6949819
24727569,24727489,0.0035779432,0.03828027,0.13494332,1.339242,-0.22872801,1.6012673
24750014,24749933,-0.0065505225,0.0372656,0.17552751,-0.20868345,-0.018624352,1.7490909
24769964,24769883,-0.027363248,0.037295617,0.19971655,-2.700248,0.022712693,1.3494658
24787421,24787340,-0.051112812,0.049085006,0.2234202,-1.9122231,0.7307394,1.5841328
24809866,24809784,0.041427977,0.06803137,0.2574374,3.2022312,-0.29804543,1.0595739
24829944,24829734,0.09685996,0.0830763,0.28969932,0.29313287,0.79557157,1.2052232
24847273,24847191,0.07250748,0.0973995,0.31818104,-1.6179153,0.84683925,1.4167491
24867224,24867141,0.09699329,0.12922281,0.3481208,1.0292803,1.8687762,1.5015627
24889669,24889585,0.14824359,0.15726835,0.3752588,3.1880417,0.88084596,1.3857611
24909620,24909535,0.19203365,0.1556054,0.39563495,2.3687265,-0.19578083,0.8676458
24927074,24926991,0.19789241,0.1526207,0.40101096,-0.047334325,0.08745021,0.24243367
24949520,24949435,0.11027147,0.14870875,0.39543244,-3.6139724,-0.5327932,-0.7126359
24969471,24969385,0.087826975,0.13942431,0.38232628,-0.105695896,-0.31947875,-0.48327866
24986922,24986841,0.071407236,0.12246592,0.35415015,-0.95212275,-1.3168479,-1.5745453
25009366,25009285,0.05060914,0.09615779,0.30388695,-1.6770967,-0.8308639,-2.6415007
