timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ
115822557,0.0,0.0,0.0
115825049,0.0,0.0,0.0
116024551,0.0,0.0,0.0
116224058,0.0,0.0,0.0
116423565,0.0,0.0,0.0
116623070,0.0,0.0,0.0
116825067,0.0,0.0,0.0
117024578,0.0,0.0,0.0
117224080,0.0,0.0,0.0
117423588,0.0,0.0,0.0
117623094,0.0,0.0,0.0
117822603,0.0,0.0,0.0
118022104,0.0,0.0,0.0
118226603,0.0,0.0,0.0
118426109,0.0,0.0,0.0
118625627,0.0,0.0,0.0
118825118,0.0,0.0,0.0
119024628,0.0,0.0,0.0
119224130,0.0,0.0,0.0
119423648,0.0,0.0,0.0
119625639,0.0,0.0,0.0
119825158,0.0,0.0,0.0
120024651,0.0,0.0,0.0
120224159,0.0,0.0,0.0
120423663,0.0,0.0,0.0
120623171,0.0,0.0,0.0
120822680,0.0,0.0,0.0
121024712,0.0,0.0,0.0
121224184,0.0,0.0,0.0
121423695,0.0,0.0,0.0
121623198,0.0,0.0,0.0
121822709,0.0,0.0,0.0
122022210,0.0,0.0,0.0
122221724,0.0,0.0,0.0
122426211,0.0,0.0,0.0
122625718,0.0,0.0,0.0
122825222,0.0,0.0,0.0
123024732,0.0,0.0,0.0
123224239,0.0,0.0,0.0
123423743,0.0,0.0,0.0
123623249,0.0,0.0,0.0
123825251,0.0,0.0,0.0
124024769,0.0,0.0,0.0
124224262,0.0,0.0,0.0
124423772,0.0,0.0,0.0
124623273,0.0,0.0,0.0
124822783,0.0,0.0,0.0
125022287,0.0,0.0,0.0
125226785,0.0,0.0,0.0
125426294,0.0,0.0,0.0
125625801,0.0,0.0,0.0
125825301,0.0,0.0,0.0
126024820,0.0,0.0,0.0
126224314,0.0,0.0,0.0
126423834,0.0,0.0,0.0
126625822,0.0,0.0,0.0
126825328,0.0,0.0,0.0
127024836,0.0,0.0,0.0
127224342,0.0,0.0,0.0
127423851,0.0,0.0,0.0
127623355,0.0,0.0,0.0
127822865,0.0,0.0,0.0
128024862,0.0,0.0,0.0
128224367,0.0,0.0,0.0
128423878,0.0,0.0,0.0
128623382,0.0,0.0,0.0
128822914,0.0,0.0,0.0
129022395,0.0024339836,-0.0044143777,-0.0065605356
129221903,0.017803567,-0.028483335,-0.022534862
129426394,0.020930141,-0.036755454,-0.03758829
129625905,0.00036009628,-0.03889427,-0.037373595
129825476,-0.03607336,-0.04299996,-0.04274118
130024916,-0.05870679,-0.05614988,-0.016098164
130224423,-0.085448116,-0.06814423,-0.0010260865
130423934,-0.09673908,-0.07693397,-0.0051043564
130623435,-0.12408542,-0.09251924,-0.014931019
130825436,-0.14584659,-0.11577915,-0.017828
131024942,-0.16736227,-0.13140784,-0.016446266
131224448,-0.18705478,-0.14059196,-0.018719243
131423955,-0.19947241,-0.15475617,-0.027012309
131623462,-0.2,-0.1635711,-0.037481237
131822966,-0.2,-0.17028946,-0.054501787
132022473,-0.2,-0.17170888,-0.07152831
132224488,-0.19866402,-0.17630573,-0.094519354
132423976,-0.2,-0.18101144,-0.12273933
132623483,-0.2,-0.1899069,-0.1533733
132822993,-0.2,-0.18886662,-0.18371578
133022499,-0.2,-0.18634303,-0.2
133222000,-0.2,-0.19206636,-0.2
133421505,-0.2,-0.2022452,-0.2
133626012,-0.19836544,-0.21398619,-0.2
133825516,-0.19923745,-0.22267592,-0.2
134025008,-0.2,-0.1993101,-0.2
