timestamp,defer_failsafes_timeout_s,disable_auto_disarm,defer_failsafes,disable_auto_set_home,source_type,source_id
114183706,0,0,0,0,0,0
114690911,0,0,0,0,0,0
115196753,0,0,0,0,0,0
115702686,0,0,0,0,0,0
116209687,0,0,0,0,0,0
116715871,0,0,0,0,0,0
117221685,0,0,0,0,0,0
117727686,0,0,0,0,0,0
118233686,0,0,0,0,0,0
118740946,0,0,0,0,0,0
119246687,0,0,0,0,0,0
119752685,0,0,0,0,0,0
120258685,0,0,0,0,0,0
120764701,0,0,0,0,0,0
121270695,0,0,0,0,0,0
121776687,0,0,0,0,0,0
122282764,0,0,0,0,0,0
122789689,0,0,0,0,0,0
123295685,0,0,0,0,0,0
123801686,0,0,0,0,0,0
124307685,0,0,0,0,0,0
124813685,0,0,0,0,0,0
125319744,0,0,0,0,0,0
125825688,0,0,0,0,0,0
126332132,0,0,0,0,0,0
126837685,0,0,0,0,0,0
127343685,0,0,0,0,0,0
127849704,0,0,0,0,0,0
128355705,0,0,0,0,0,0
128861687,0,0,0,0,0,0
129367687,0,0,0,0,0,0
129873687,0,0,0,0,0,0
130379686,0,0,0,0,0,0
130885697,0,0,0,0,0,0
131392688,0,0,0,0,0,0
131898686,0,0,0,0,0,0
132404686,0,0,0,0,0,0
132910694,0,0,0,0,0,0
133418687,0,0,0,0,0,0
133924685,0,0,0,0,0,0
