timestamp,imbalanced_prop_metric,motor_failure_mask,motor_stop_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
115758815,-0.031810615,0,0,0,0,0,0,0,0,0,0
116264696,-0.027273957,0,0,0,0,0,0,0,0,0,0
116770994,-0.02907375,0,0,0,0,0,0,0,0,0,0
117276696,-0.03968464,0,0,0,0,0,0,0,0,0,0
117783598,-0.045474153,0,0,0,0,0,0,0,0,0,0
118288696,-0.023166124,0,0,0,0,0,0,0,0,0,0
118795713,0.0048479815,0,0,0,0,0,0,0,0,0,0
119301695,0.015103055,0,0,0,0,0,0,0,0,0,0
119808205,0.018850792,0,0,0,0,0,0,0,0,0,0
120313695,0.009920403,0,0,0,0,0,0,0,0,0,0
120819696,-0.0016574368,0,0,0,0,0,0,0,0,0,0
121325705,-0.004915959,0,0,0,0,0,0,0,0,0,0
121831695,-0.0039518853,0,0,0,0,0,0,0,0,0,0
122337694,0.0015160592,0,0,0,0,0,0,0,0,0,0
122844694,0.0028369199,0,0,0,0,0,0,0,0,0,0
123350703,0.005080897,0,0,0,0,0,0,0,0,0,0
123856695,0.0049100565,0,0,0,0,0,0,0,0,0,0
124362694,0.00045620685,0,0,0,0,0,0,0,0,0,0
124868695,0.00765216,0,0,0,0,0,0,0,0,0,0
125374695,0.038655996,0,0,0,0,0,0,0,0,0,0
125880706,0.028218228,0,0,0,0,0,0,0,0,0,0
126386731,0.0035009165,0,0,0,0,0,0,0,0,0,0
126892836,-0.022162864,0,0,0,0,0,0,0,0,0,0
127398696,-0.03260213,0,0,0,0,0,0,0,0,0,0
127904713,-0.02603556,0,0,0,0,0,0,0,0,0,0
128410725,-0.12667017,0,0,0,0,0,0,0,0,0,0
128532143,-0.16005725,0,0,0,0,0,0,0,0,0,0
128542841,-0.1371811,0,0,0,0,0,0,0,0,0,0
128553894,-0.1371811,0,0,0,0,0,0,0,0,0,0
129059694,-0.2207307,0,0,0,0,0,0,0,0,0,0
129565945,-0.29183814,0,0,0,0,0,0,0,0,0,0
130071695,-0.27961308,0,0,0,0,0,0,0,0,0,0
130577693,-0.4249666,0,0,0,0,0,0,0,0,0,0
131083870,-0.6712098,0,0,0,0,0,0,0,0,0,0
131590705,-0.9126484,0,0,0,0,0,0,0,0,0,0
132096695,-1.0872703,0,0,0,0,0,0,0,0,0,0
132602695,-1.28801,0,0,0,0,0,0,0,0,0,0
133109718,-1.5140301,0,0,0,0,0,0,0,0,0,0
133276176,-1.6853026,0,0,0,0,0,0,0,0,0,0
133286979,-1.6853026,0,0,0,0,0,0,0,0,0,0
133297911,-1.6853026,0,0,0,0,0,0,0,0,0,0
133803733,-1.7626331,0,0,0,0,0,0,0,0,0,0
