timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch,payload_power_switch,engage_main_motor_switch
69339130,69315324,12,1,1,0,0,0,0,0,0,0,0,0,0
70359380,70336136,12,1,1,0,0,0,0,0,0,0,0,0,0
70533699,70510502,13,4,1,0,0,0,0,0,0,0,0,0,0
71541967,71518227,13,4,1,0,0,0,0,0,0,0,0,0,0
72547411,72526356,13,4,1,0,0,0,0,0,0,0,0,0,0
73552415,73531417,13,4,1,0,0,0,0,0,0,0,0,0,0
74560200,74537287,13,4,1,0,0,0,0,0,0,0,0,0,0
75562994,75539622,13,4,1,0,0,0,0,0,0,0,0,0,0
76576098,76552695,13,4,1,0,0,0,0,0,0,0,0,0,0
77588643,77567652,13,4,1,0,0,0,0,0,0,0,0,0,0
78601474,78578348,13,4,1,0,0,0,0,0,0,0,0,0,0
79614276,79591302,13,4,1,0,0,0,0,0,0,0,0,0,0
80619803,80598893,13,4,1,0,0,0,0,0,0,0,0,0,0
81633109,81612019,13,4,1,0,0,0,0,0,0,0,0,0,0
82652894,82630018,13,4,1,0,0,0,0,0,0,0,0,0,0
83658395,83642889,13,4,1,0,0,0,0,0,0,0,0,0,0
84669364,84637663,13,4,1,0,0,0,0,0,0,0,0,0,0
85681805,85650423,13,4,1,0,0,0,0,0,0,0,0,0,0
86700059,86668253,13,4,1,0,0,0,0,0,0,0,0,0,0
87708379,87676083,13,4,1,0,0,0,0,0,0,0,0,0,0
88732787,88701499,13,4,1,0,0,0,0,0,0,0,0,0,0
89753579,89724548,13,4,1,0,0,0,0,0,0,0,0,0,0
90766791,90737210,13,4,1,0,0,0,0,0,0,0,0,0,0
91793975,91762649,13,4,1,0,0,0,0,0,0,0,0,0,0
92806537,92775123,13,4,1,0,0,0,0,0,0,0,0,0,0
92930758,92907866,14,4,3,0,0,0,0,0,0,0,0,0,0
93951280,93927775,14,4,3,0,0,0,0,0,0,0,0,0,0
94961473,94938090,14,4,3,0,0,0,0,0,0,0,0,0,0
95972189,95948349,14,4,3,0,0,0,0,0,0,0,0,0,0
96982082,96959190,14,4,3,0,0,0,0,0,0,0,0,0,0
97992535,97971584,14,4,3,0,0,0,0,0,0,0,0,0,0
98996036,98971861,14,4,3,0,0,0,0,0,0,0,0,0,0
99235401,99211687,15,1,3,0,0,0,0,0,0,0,0,0,0
100248289,100224140,15,1,3,0,0,0,0,0,0,0,0,0,0
101253340,101230367,15,1,3,0,0,0,0,0,0,0,0,0,0
102253438,102229958,15,1,3,0,0,0,0,0,0,0,0,0,0
103266794,103243051,15,1,3,0,0,0,0,0,0,0,0,0,0
104274515,104250568,15,1,3,0,0,0,0,0,0,0,0,0,0
105296945,105273438,15,1,3,0,0,0,0,0,0,0,0,0,0
