timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
87583028,87582793,2490378,2490378,0.004919714,0.0028541212,0.00010956413,0.00022000934,0.001806844,-0.03817871,4928,4928,0,0,1,1
88085564,88085364,2490378,2490378,-0.0006563469,0.0026513273,0.0022075092,9.919396e-05,-0.00091634964,-0.039031338,4927,4927,0,0,1,1
88583223,88583009,2490378,2490378,0.004365788,-0.0017221149,-0.004721267,0.0030562025,-0.0007755172,-0.042360496,4927,4927,0,0,1,1
89085783,89085581,2490378,2490378,0.0065174173,0.008440799,0.018424941,0.036024492,-0.0035011398,0.055154614,4927,4927,0,0,1,1
89583446,89583226,2490378,2490378,0.007519373,0.0065457155,0.0046137883,-0.00076791574,0.008418676,-0.023961553,4927,4927,0,0,1,1
90081073,90080871,2490378,2490378,0.0006302831,-0.0100043025,0.012518203,0.057118125,-0.014574934,-0.024807261,4927,4927,0,0,1,1
90583653,90583443,2490378,2490378,0.005436357,0.007688599,-0.0041062417,-0.06725598,-0.119847625,-0.015802475,4927,4927,0,0,1,1
91086217,91086016,2490378,2490378,-0.00018281602,0.00063718064,-0.0003466075,-0.0127569465,-0.00054469553,-0.046478044,4927,4927,0,0,1,1
91583868,91583662,2490378,2490378,-0.00015904925,0.00011595746,0.000152697,-0.0228753,-0.0041529746,-0.041246127,4927,4927,0,0,1,1
92086437,92086235,2490378,2490378,0.0002885501,-0.00027964648,-0.00020833683,-0.021547155,-0.0026574326,-0.043401882,4927,4927,0,0,1,1
92584098,92583882,2490378,2490378,-0.00016399677,0.00011672424,3.5492e-05,-0.021078354,-0.0030491962,-0.043247312,4927,4927,0,0,1,1
93086685,93086456,2490378,2490378,-2.2737882e-05,4.403362e-05,1.2607027e-05,-0.021640327,-0.0034427987,-0.042997893,4927,4927,0,0,1,1
93584304,93584103,2490378,2490378,0.000100759455,-8.933934e-05,-9.410315e-05,-0.021265846,-0.003177387,-0.043087114,4927,4927,0,0,1,1
94081965,94081750,2490378,2490378,0.00013644143,-4.500231e-05,-6.0221966e-05,-0.021085575,-0.0029672307,-0.043325108,4927,4927,0,0,1,1
94584525,94584325,2490378,2490378,-2.9662375e-05,4.563905e-05,1.6131817e-05,-0.021256926,-0.0032830162,-0.043138597,4927,4927,0,0,1,1
95082299,95081973,2490378,2490378,-2.1412543e-05,6.210405e-05,1.7330542e-05,-0.021425962,-0.0028468214,-0.043536488,4927,4927,0,0,1,1
95584749,95584548,2490378,2490378,-1.1665661e-05,-5.213438e-05,-2.6927379e-05,-0.021432728,-0.0040302803,-0.043362092,4927,4927,0,0,1,1
96087324,96087124,2490378,2490378,-4.4250875e-05,-0.00012225004,-0.00018366787,-0.021012835,-0.0034503923,-0.043021746,4928,4928,0,0,1,1
96584980,96584772,2490378,2490378,-0.00042653017,0.00015107637,-4.873443e-05,-0.021193428,-0.0036296807,-0.04321595,4927,4927,0,0,1,1
97082673,97082421,2490378,2490378,-0.0001852355,0.000115014205,6.475971e-05,-0.021837069,-0.004233581,-0.042211913,4927,4927,0,0,1,1
97585200,97584997,2490378,2490378,2.00168e-05,-0.00019982338,-0.00015263396,-0.021086382,-0.0029857631,-0.04342813,4927,4927,0,0,1,1
98082860,98082647,2490378,2490378,7.006772e-06,5.7909824e-06,2.2245591e-05,-0.02112981,-0.0028020951,-0.043331634,4928,4928,0,0,1,1
98585425,98585224,2490378,2490378,2.5262212e-05,1.8876897e-05,2.8559776e-05,-0.021261096,-0.0035557917,-0.043132026,4928,4928,0,0,1,1
99083094,99082873,2490378,2490378,0.00010315869,-3.582383e-05,-2.060607e-05,-0.02106695,-0.0031077343,-0.04320114,4927,4927,0,0,1,1
99585655,99585451,2490378,2490378,0.00023562594,-0.00021666019,-7.351522e-05,-0.020798642,-0.0037491424,-0.042711083,4928,4928,0,0,1,1
100088229,100088028,2490378,2490378,7.5793454e-05,0.0001498905,3.288886e-05,-0.021305045,-0.0034543278,-0.043287337,4927,4927,0,0,1,1
100580952,100580751,2490378,2490378,8.715376e-05,-8.392462e-05,-8.9679685e-05,-0.020569658,-0.0030582123,-0.043345835,4927,4927,0,0,1,1
101083530,101083329,2490378,2490378,-0.0002417298,0.00023855534,0.000164972,-0.021569757,-0.0013705507,-0.04351216,4927,4927,0,0,1,1
101586124,101585908,2490378,2490378,3.2930813e-05,0.00012608545,0.00021810067,-0.02171572,-0.0028394898,-0.043279987,4928,4928,0,0,1,1
102083776,102083559,2490378,2490378,0.00020372932,-5.869349e-05,-0.00012756824,-0.021230033,-0.0035205013,-0.04298594,4927,4927,0,0,1,1
102586506,102586137,2490378,2490378,-0.00042404264,0.00015241941,2.5630316e-05,-0.021246696,-0.0033400457,-0.043229528,4927,4927,0,0,1,1
103083991,103083789,2490378,2490378,0.00067614415,-0.0003300199,-8.637443e-05,-0.020378627,-0.0030966033,-0.043027222,4927,4927,0,0,1,1
103586569,103586368,2490378,2490378,-3.158897e-05,-6.189257e-06,-4.965911e-05,-0.021111663,-0.0040992936,-0.043245427,4927,4927,0,0,1,1
104084233,104084020,2490378,2490378,-0.00010427657,0.00033342064,0.00024211357,-0.021761654,-0.0038873265,-0.042998176,4927,4927,0,0,1,1
104582020,104581675,2490378,2490378,6.256921e-05,-0.00053705845,3.2916978e-05,-0.021996647,-0.0063507524,-0.042068012,4930,4930,0,0,1,2
105084459,105084252,2490378,2490378,9.096867e-05,-0.00047540743,0.00013020815,-0.023190357,-0.0026220924,-0.043203857,4927,4927,0,0,1,2
