timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,hdg_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_height,pre_flt_fail_innov_pos_horiz,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
72600272,72410168,52076610131,0.002162455,0.033284277,0.5178617,0,39.17891,0.56019884,2.0,nan,nan,0.04747735,nan,nan,nan,0.0,4259850,4325386,4028193,396321,63.14953,nan,0.52385896,nan,0,37,1,1,1,1,1,1,0,0,0,0,0,0,0
72799971,72609742,52076610131,0.0027490645,0.06292151,0.6821389,0,39.74898,0.5546134,2.0,nan,nan,0.058457118,nan,nan,nan,0.0,4259850,4325386,4028193,396321,63.094315,nan,0.51949227,nan,0,37,1,1,1,1,1,1,0,0,0,0,0,0,0
72999425,72809315,52076610131,0.0022004044,0.025361972,0.46403778,0,40.355362,0.5565814,2.0,nan,nan,0.05877265,nan,nan,nan,0.0,4259850,4325386,4028193,396321,63.71673,nan,0.5222321,nan,0,37,1,1,1,1,1,1,0,0,0,0,0,0,0
73198892,73008888,52076610131,0.0024513009,0.05410131,0.5799232,0,40.937828,0.551639,2.0,nan,nan,0.06104363,nan,nan,nan,0.0,4259850,4325386,4028193,396321,63.514484,nan,0.52232563,nan,0,37,1,1,1,1,1,1,0,0,0,0,0,0,0
73398424,73208461,34896740947,0.002508042,0.052161686,0.5601206,0,41.537483,0.55392903,2.0,nan,nan,0.06659344,nan,nan,nan,0.0,4259850,4325386,4028193,396321,65.84611,nan,0.49502516,nan,0,37,1,1,1,1,1,1,0,0,0,0,0,0,0
73598173,73408034,52076610131,0.0024255044,0.0445048,0.52701354,0,42.149403,0.5497678,2.0,nan,nan,0.06811665,nan,nan,nan,0.0,4259850,4325386,4028193,396321,67.961815,nan,0.480489,nan,0,37,1,1,1,1,1,1,0,0,0,0,0,0,0
73797574,73607608,34896740947,0.0024165611,0.04393096,0.50134104,0,42.75457,0.55252004,2.0,nan,nan,0.07297375,nan,nan,nan,0.0,4259850,4325386,4028193,396321,67.16186,nan,0.49532914,nan,0,37,1,1,1,1,1,1,0,0,0,0,0,0,0
73997182,73807181,34896740947,0.002646436,0.06682617,0.70366544,0,43.372375,0.5488218,2.0,nan,nan,0.078443445,nan,nan,nan,0.0,4259850,4325386,4028193,396321,66.39695,nan,0.5071009,nan,0,37,1,1,1,1,1,1,0,0,0,0,0,0,0
74196722,74006754,34896740947,0.0026634887,0.062492315,0.66508204,0,43.988483,0.5519921,2.0,nan,nan,0.08309707,nan,nan,nan,0.0,4259850,4325386,4028193,396321,59.313347,nan,0.49373746,nan,0,37,1,1,1,1,1,1,0,0,0,0,0,0,0
74396333,74206328,34896740947,0.0028708577,0.082194366,0.8423234,0,44.603077,0.5485639,2.0,nan,nan,0.084171884,nan,nan,nan,0.0,4259850,4325386,4028193,396321,68.22102,nan,0.4701018,nan,0,37,1,1,1,1,1,1,0,0,0,0,0,0,0
74596057,74405901,52076610131,0.0028261926,0.08678644,0.9394332,0,45.226677,0.55195147,2.0,nan,nan,0.08788509,nan,nan,nan,0.0,4259850,4325386,4028193,396321,65.160965,nan,0.5096021,nan,0,37,1,1,1,1,1,1,0,0,0,0,0,0,0
74795450,74605474,34896740947,0.0029265492,0.0739918,0.8297155,0,45.855995,0.5556324,2.0,nan,nan,0.09236697,nan,nan,nan,0.0,4259850,4325386,4028193,396321,61.88841,nan,0.49338612,nan,0,37,1,1,1,1,1,1,0,0,0,0,0,0,0
74995140,74805048,52076610131,0.003309423,0.12154571,1.2971549,0,46.469837,0.55252683,2.0,nan,nan,0.09592363,nan,nan,nan,0.0,4259850,4325386,4028193,396321,69.380875,nan,0.47624958,nan,0,37,1,1,1,1,1,1,0,0,0,0,0,0,0
75194606,75004621,34896740947,0.0034790412,0.12189466,1.325622,0,47.096924,0.5565799,2.0,nan,nan,0.10316276,nan,nan,nan,0.0,4259850,4325386,4028193,396321,67.666504,nan,0.48534396,nan,0,37,1,1,1,1,1,1,0,0,0,0,0,0,0
75394207,75204195,34896740947,0.003916644,0.17173326,1.8197883,0,47.713936,0.55383,1.9869552,nan,nan,0.10868035,nan,nan,nan,0.0,4259850,4325386,4028193,396321,79.43921,nan,0.5464012,nan,0,37,1,1,1,1,1,1,0,0,0,0,0,0,0
75593786,75403768,172335694419,0.0032910178,0.17377314,1.2373543,0,48.345516,0.5579262,2.0,nan,nan,0.1060224,nan,nan,nan,0.0,4259850,4325386,4028193,396321,70.15508,nan,0.52724344,nan,0,37,1,1,1,1,2,1,0,0,0,0,0,0,0
75793310,75603341,172335694419,0.038710482,0.18078266,1.9046295,0,48.928772,0.55498934,1.6178684,nan,nan,0.105851315,nan,nan,nan,0.0,4259850,4325386,4028193,396321,68.47721,nan,0.49819508,nan,0,37,1,1,1,1,2,1,0,0,0,0,0,0,0
75993040,75802915,189515563603,0.015557482,0.0706004,1.1612526,0,49.55382,0.5591518,1.3091601,nan,nan,0.10179924,nan,nan,nan,0.0,4259850,4325386,4028193,396321,62.273026,nan,0.5162207,nan,0,37,1,1,1,1,2,1,0,0,0,0,0,0,0
76192463,76002488,172335694419,0.019165132,0.13751552,1.7011834,0,50.162407,0.55646557,1.1344877,nan,nan,0.10171766,nan,nan,nan,0.0,4259850,4325386,4028193,396321,67.962555,nan,0.5023356,nan,0,37,1,1,1,1,2,1,0,0,0,0,0,0,0
76392169,76202062,172335727571,0.016779687,0.15807103,1.311918,0,50.791862,0.5620011,0.9175375,nan,nan,0.101024926,nan,nan,0.18888995,0.0,4259850,4325386,4028193,396321,69.47384,nan,0.48388338,nan,0,37,1,1,1,1,2,1,0,0,0,0,0,0,0
76601584,76411614,172335727571,0.039472885,0.15597048,0.23093995,0,51.433563,0.5646899,0.74293536,nan,nan,0.08973373,nan,nan,0.18325767,0.0,4259850,4325386,4028193,396321,73.6837,nan,0.53648436,nan,0,37,1,1,1,1,2,1,0,0,0,0,0,0,0
76801153,76611187,172335727571,0.011953968,0.11019084,0.49900207,0,52.051525,0.5721445,0.66583997,nan,nan,0.07801311,nan,nan,0.16228259,0.0,4259850,4325386,4028193,396321,59.450344,nan,0.5250358,nan,0,37,1,1,1,1,2,1,0,0,0,0,0,0,0
77000762,76810761,172335727571,0.05195406,0.13810395,0.4247048,0,52.636467,0.57056147,0.52571326,nan,nan,0.070431545,nan,nan,0.144842,0.0,4259850,4325386,4028193,396321,66.35526,nan,0.4955406,nan,0,37,1,1,1,1,2,1,0,0,0,0,0,0,0
77200302,77010334,172335727571,0.030751787,0.078247674,0.40320197,0,53.251537,0.5763672,0.4201725,nan,nan,0.06658187,nan,nan,0.13375407,0.0,4259850,4325386,4028193,396321,73.96704,nan,0.45408583,nan,0,37,1,1,1,1,2,0,0,0,0,0,0,0,0
77399914,77209907,172335727571,0.007894691,0.021366386,0.37435603,0,53.8271,0.5738782,0.3738011,nan,nan,0.058981474,nan,nan,0.1522636,0.0,4259850,4325386,4028193,396321,61.517803,nan,0.50719565,nan,0,37,1,1,1,1,2,0,0,0,0,0,0,0,0
