timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
69217454,0,0,0,1,0,0,0,0,0,0,0,0
70225410,0,0,0,1,0,0,0,0,0,0,0,0
71233280,0,0,0,1,0,0,0,0,0,0,0,0
72240959,0,0,0,1,0,0,0,0,0,0,0,0
73248826,0,0,0,1,0,0,0,0,0,0,0,0
74256780,0,0,0,1,0,0,0,0,0,0,0,0
75264586,0,0,0,1,0,0,0,0,0,0,0,0
76032853,0,0,0,0,0,0,0,0,0,0,0,0
77041005,0,0,0,0,0,0,0,0,0,0,0,0
78048565,0,0,0,0,0,0,0,0,0,0,0,0
79056389,0,0,0,0,0,0,0,0,0,0,0,0
80064623,0,0,0,0,0,0,0,0,0,0,0,0
81072108,0,0,0,0,0,0,0,0,0,0,0,0
82079912,0,0,0,0,0,0,0,0,0,0,0,0
83088028,0,0,0,0,0,0,0,0,0,0,0,0
84095587,0,0,0,0,0,0,0,0,0,0,0,0
85103424,0,0,0,0,0,0,0,0,0,0,0,0
86111531,0,0,0,0,0,0,0,0,0,0,0,0
87119101,0,0,0,0,0,0,0,0,0,0,0,0
88087056,0,0,0,1,0,0,0,0,0,0,0,0
88715684,0,0,0,0,0,0,0,0,0,0,0,0
89723576,0,0,0,0,0,0,0,0,0,0,0,0
90731390,0,0,0,0,0,0,0,0,0,0,0,0
91739440,0,0,0,0,0,0,0,0,0,0,0,0
92747236,0,0,0,0,0,0,0,0,0,0,0,0
93755079,0,0,0,0,0,0,0,0,0,0,0,0
94762907,0,0,0,0,0,0,0,0,0,0,0,0
95770845,0,0,0,0,0,0,0,0,0,0,0,0
96778555,0,0,0,0,0,0,0,0,0,0,0,0
97786443,0,0,0,0,0,0,0,0,0,0,0,0
98794265,0,0,0,0,0,0,0,0,0,0,0,0
99802114,0,0,0,0,0,0,0,0,0,0,0,0
100809948,0,0,0,0,0,0,0,0,0,0,0,0
101817921,0,0,0,0,0,0,0,0,0,0,0,0
102376574,0,0,0,1,0,0,0,0,0,0,0,0
103384471,0,0,0,1,0,0,0,0,0,0,0,0
104392896,0,0,0,1,0,0,0,0,0,0,0,0
