timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
69741067,69740105,396321,0.061326884,-0.28580913,0.47194907,3
70345898,70344935,396321,0.049036134,-0.3762826,0.3963208,3
70799507,70798542,396321,0.09904787,-0.32542625,0.43227002,3
71253125,71252162,396321,0.022033809,-0.31600145,0.44320965,3
71857904,71856943,396321,0.015518191,-0.34212133,0.41483712,3
72311492,72310526,396321,0.0019808514,-0.30291387,0.43430325,3
72765097,72764135,396321,-0.011786093,-0.2963168,0.4298649,3
73348404,73293375,396321,-0.03282252,-0.26519412,0.42442092,3
73823521,73822558,396321,-0.032174043,-0.16306545,0.41319847,3
74277171,74276209,396321,0.0059740273,-0.21044743,0.43767142,3
74860422,74805407,396321,0.010925564,-0.1368292,0.45603952,3
75335685,75334723,396321,-0.12124376,-0.10310822,0.5026473,3
75789270,75788308,396321,-0.054482196,-0.1908281,0.47655022,3
76242856,76241882,396321,0.0023783352,-0.16176596,0.4842717,3
76847631,76846667,396321,-0.0381061,-0.18748893,0.4645584,3
77301309,77300347,396321,-0.09257359,-0.19004764,0.47012356,3
77754819,77753857,396321,-0.2480107,-0.030328104,0.44169393,3
78359628,78358665,396321,-0.18955025,-0.18133013,0.4491257,3
78813381,78812420,396321,-0.303852,-0.07259981,0.3126071,3
79267047,79266086,396321,-0.2757562,-0.21861608,0.35939366,3
79850277,79795309,396321,-0.14128572,-0.19051826,0.3380921,3
80325470,80324509,396321,-0.30463398,-0.10097383,0.25629523,3
80779122,80778160,396321,-0.15525931,-0.24798888,0.13846299,3
81362314,81307295,396321,-0.06815927,-0.13323948,0.40287468,3
81837756,81836794,396321,-0.07902363,-0.0951966,0.48656738,3
82291258,82290296,396321,-0.13786845,0.042415354,0.49013603,3
82744871,82743909,396321,-0.078544095,0.07297941,0.5079596,3
83349736,83348775,396321,-0.16494046,-0.054158125,0.46841604,3
83803298,83802336,396321,-0.096184395,-0.1974114,0.45196152,3
84256878,84255902,396321,-0.1868693,0.015216418,0.43065602,3
84861757,84860792,396321,0.003078715,-0.061833657,0.476964,3
85315275,85314314,396321,0.1274905,-0.14845349,0.4560425,3
85768862,85767901,396321,0.071700506,-0.08237436,0.40843084,3
86352140,86297143,396321,0.10534784,-0.1558542,0.4083875,3
86827274,86826313,396321,0.1293954,-0.09844344,0.482146,3
87281055,87280094,396321,0.18624963,-0.10027085,0.48811573,3
87864426,87809487,396321,0.18500137,-0.07308127,0.5015359,3
88339678,88338717,396321,0.124936044,-0.1585115,0.49019417,3
88793467,88792487,396321,-0.1367306,-0.26995233,0.40893874,3
89247103,89246142,396321,-0.09177437,0.35949987,-0.3619884,3
89852061,89851088,396321,0.5331639,-0.06806148,-0.06721733,3
90305637,90304673,396321,0.352064,-0.39811328,-0.032370478,3
90759219,90758257,396321,0.49890682,-0.14522563,0.22664933,3
91364038,91363077,396321,0.44508845,-0.18881053,0.29309294,3
91817608,91816647,396321,0.44564506,-0.18795708,0.2945208,3
92271255,92270293,396321,0.45165157,-0.18110053,0.2873175,3
92854485,92799500,396321,0.44802508,-0.18815309,0.2924282,3
93329663,93328700,396321,0.4506713,-0.18910554,0.29030153,3
93783247,93782285,396321,0.4562654,-0.18783653,0.26905593,3
94236996,94236032,396321,0.4481568,-0.18593295,0.29206508,3
94841821,94840859,396321,0.45064378,-0.18760371,0.29031774,3
95295527,95294566,396321,0.45007342,-0.18770626,0.28889796,3
95749011,95748049,396321,0.45023304,-0.18632363,0.28741655,3
96353846,96352867,396321,0.4513737,-0.18611853,0.29025605,3
96807436,96806474,396321,0.44957188,-0.19156334,0.28743774,3
97261014,97260052,396321,0.44577715,-0.18507263,0.29305556,3
97865883,97864912,396321,0.4477598,-0.18540373,0.2891558,3
98319487,98318526,396321,0.4479882,-0.1877756,0.28763396,3
98773032,98772071,396321,0.453431,-0.20347945,0.26994613,3
99356254,99301241,396321,0.43961376,-0.17691146,0.2924063,3
99831509,99830530,396321,0.4517955,-0.1829528,0.292457,3
100285022,100284061,396321,0.44863358,-0.18577081,0.29423365,3
100738703,100737741,396321,0.44814304,-0.18518205,0.2920732,3
101343449,101342475,396321,0.44775346,-0.19106048,0.28393537,3
101796968,101796007,396321,0.44884825,-0.18739179,0.29271984,3
102250658,102249696,396321,0.4510427,-0.18414709,0.2866142,3
102855373,102854399,396321,0.44809824,-0.1937828,0.28756917,3
103308834,103307872,396321,0.45238152,-0.17961533,0.28725585,3
103762477,103761516,396321,0.4550784,-0.18169618,0.28991535,3
104345537,104290591,396321,0.44799754,-0.18617098,0.29540336,3
104821008,104819971,396321,0.49430954,-0.18930268,0.2848942,5
105274487,105273525,396321,0.50472295,-0.19685061,0.23796062,5
