timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
64868253,64868017,0.93295413,-0.009528948,0.032603636,0.35838917,1.0,0.0,0.0,0.0,0
65366797,65365571,0.9329574,-0.009540469,0.0325697,0.3583836,1.0,0.0,0.0,0.0,0
65868599,65868051,0.93296164,-0.009533476,0.03258265,0.35837138,1.0,0.0,0.0,0.0,0
66371168,66370532,0.9329833,-0.00986849,0.032541238,0.35830986,1.0,0.0,0.0,0.0,0
66868319,66868086,0.93297565,-0.009922721,0.032506526,0.3583314,1.0,0.0,0.0,0.0,0
67370801,67370568,0.9329816,-0.009853514,0.032456737,0.35832214,1.0,0.0,0.0,0.0,0
67868670,67868123,0.93300825,-0.010235102,0.03222383,0.3582633,1.0,0.0,0.0,0.0,0
68365937,68365678,0.93299645,-0.010151373,0.032189872,0.35829926,1.0,0.0,0.0,0.0,0
68868395,68868160,0.93303126,-0.010169027,0.03211353,0.35821494,1.0,0.0,0.0,0.0,0
69370880,69370642,0.9329877,-0.010122463,0.032290712,0.35831404,1.0,0.0,0.0,0.0,0
69868707,69868198,0.93298906,-0.009997502,0.0323886,0.35830507,1.0,0.0,0.0,0.0,0
70371383,70370681,0.9329981,-0.009855984,0.032358486,0.358288,1.0,0.0,0.0,0.0,0
70868514,70868237,0.9329952,-0.009678519,0.032478254,0.35828978,1.0,0.0,0.0,0.0,0
71366596,71365794,0.93294287,-0.009626131,0.032613475,0.358415,1.0,0.0,0.0,0.0,0
71868814,71868277,0.932992,-0.009352274,0.032960847,0.3582628,1.0,0.0,0.0,0.0,0
72366064,72365834,0.9329549,-0.008987682,0.032948967,0.35836968,1.0,0.0,0.0,0.0,0
72868551,72868318,0.9328997,-0.009367142,0.032905705,0.35850748,1.0,0.0,0.0,0.0,0
73371036,73370802,0.932863,-0.009074921,0.032992538,0.35860246,1.0,0.0,0.0,0.0,0
73868867,73868360,0.9328501,-0.008974111,0.033126876,0.3586264,1.0,0.0,0.0,0.0,0
74366175,74365918,0.9328918,-0.009137341,0.033047777,0.3585211,1.0,0.0,0.0,0.0,0
74868641,74868403,0.93297905,-0.009282674,0.032889552,0.35830477,1.0,0.0,0.0,0.0,0
75366793,75365961,0.9329411,-0.00942362,0.033011947,0.35838875,1.0,0.0,0.0,0.0,0
75869015,75868446,0.93297213,-0.009452655,0.033106312,0.35829824,1.0,0.0,0.0,0.0,0
76366242,76366005,0.93303066,-0.009501954,0.033222582,0.35813367,1.0,0.0,0.0,0.0,0
76868725,76868490,0.9329959,-0.009641871,0.033208728,0.35822198,1.0,0.0,0.0,0.0,0
77371210,77370976,0.93297887,-0.009713985,0.032965984,0.35828683,1.0,0.0,0.0,0.0,0
77869069,77868535,0.932992,-0.009721737,0.032993786,0.35824978,1.0,0.0,0.0,0.0,0
78366390,78366095,0.9329773,-0.009697035,0.032994844,0.35828844,1.0,0.0,0.0,0.0,0
78868814,78868581,0.932972,-0.009810948,0.03313621,0.35828614,1.0,0.0,0.0,0.0,0
79366709,79366141,0.9330011,-0.0096937725,0.033174604,0.35820994,1.0,0.0,0.0,0.0,0
79869134,79868630,0.9329875,-0.009805357,0.03300259,0.35825846,1.0,0.0,0.0,0.0,0
80371631,80371115,0.93300027,-0.009787431,0.03303049,0.35822305,1.0,0.0,0.0,0.0,0
80868913,80868676,0.93300104,-0.009989199,0.033009723,0.35821748,1.0,0.0,0.0,0.0,0
81371395,81371163,0.93309647,-0.009686773,0.033208266,0.3579586,1.0,0.0,0.0,0.0,0
81869228,81868724,0.9330806,-0.009564096,0.03349511,0.35797656,1.0,0.0,0.0,0.0,0
82366523,82366285,0.93308145,-0.009330323,0.033663847,0.35796458,1.0,0.0,0.0,0.0,0
82869004,82868773,0.9330654,-0.009383623,0.033751864,0.3579969,1.0,0.0,0.0,0.0,0
83366839,83366335,0.9330508,-0.009371397,0.033873785,0.3580236,1.0,0.0,0.0,0.0,0
83869387,83868823,0.9330838,-0.009349229,0.03381823,0.35794386,1.0,0.0,0.0,0.0,0
84371814,84371312,0.93309873,-0.009359569,0.033469386,0.35793722,1.0,0.0,0.0,0.0,0
84869170,84868874,0.93306667,-0.009709233,0.033793576,0.35798076,1.0,0.0,0.0,0.0,0
