timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,is_logging,num_messages
64541092,63.987305,120958.984,0,19,59462,65536,0,3,1,207
65541934,165.70117,165.4743,0,20,1819,65536,0,3,1,207
66543743,204.20801,101.94191,0,20,3349,65536,0,3,1,207
67543955,244.81152,81.51165,0,20,2786,65536,0,3,1,207
68544890,284.71777,71.10252,0,20,2860,65536,0,3,1,207
69546485,324.19434,64.76216,0,21,3349,65536,0,3,1,207
70546895,364.77246,60.731308,0,21,2505,65536,0,3,1,207
71547933,404.39453,57.709877,0,21,3324,65536,0,3,1,207
72549258,448.0,55.9392,0,21,357,65536,0,3,1,207
73549886,484.6455,53.793777,0,21,3698,65536,0,3,1,207
74550917,528.4258,52.78792,0,21,53,65536,0,3,1,207
75551889,553.1406,50.233788,0,21,16524,65536,0,3,1,207
76552887,605.458,50.40307,0,23,1823,65536,0,3,1,207
77554077,644.2549,49.506607,0,23,106,65536,0,3,1,207
78554892,677.6572,48.35459,0,23,3501,65536,0,3,1,207
79555888,717.0039,47.751472,0,23,4065,65536,0,3,1,207
80556890,757.8955,47.32018,0,23,3374,65536,0,3,1,207
81557934,798.4404,46.91914,0,23,3673,65536,0,3,1,207
82559246,840.14355,46.626244,0,23,2356,65536,0,3,1,207
83559905,878.8174,46.20651,0,23,3988,65536,0,3,1,207
84560894,922.5205,46.07918,0,23,371,65536,0,3,1,207
85562032,960.0,45.667595,0,23,3576,65536,0,3,1,207
86562894,1001.0469,45.455986,0,23,2544,65536,0,3,1,207
87564187,1040.2861,45.183422,0,23,3693,65536,0,3,1,207
88564889,1081.709,45.02557,0,23,2290,65536,0,3,1,207
89565890,1120.4883,44.77417,0,23,3850,65536,0,3,1,207
90566892,1160.1895,44.57753,0,23,4134,65536,0,3,1,207
91567934,1197.0967,44.29201,0,23,7307,65536,0,3,1,207
92568896,1244.5117,44.40192,0,23,91,65536,0,3,1,207
