timestamp,course_setpoint,lateral_acceleration_ff,bearing_feas,bearing_feas_on_track,signed_track_error,track_error_bound,adapted_period,wind_est_valid
64538312,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
64558477,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
64638024,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
64737855,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
64837529,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
64937341,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
65037103,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
65136851,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
65226591,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
65326423,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
65426154,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
65525897,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
65625598,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
65725403,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
65825141,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
65944940,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
66024631,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
66144391,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
66224212,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
66344020,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
66423703,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
66543488,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
66643112,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
66723051,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
66842637,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
66922513,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
67042143,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
67122014,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
67241707,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
67341463,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
67441248,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
67540979,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
67640763,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
67740497,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
67840241,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
67940009,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
68039748,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
68139551,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
68239275,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
68339059,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
68438836,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
68538592,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
68638360,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
68738070,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
68837904,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
68937626,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
69037293,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
69137153,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
69236839,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
69336677,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
69426427,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
69526137,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
69625928,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
69725756,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
69825383,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
69925181,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
70024946,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
70144819,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
70224457,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
70344344,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
70423936,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
70543821,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
70623499,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
70743472,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
70842906,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
70942915,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
71042415,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
71142476,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
71242025,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
71341891,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
71441446,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
71541454,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
71640994,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
71740913,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
71840536,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
71940281,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
72040022,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
72139882,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
72239524,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
72339355,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
72439084,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
72538856,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
72638547,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
72738418,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
72838083,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
72937870,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
73037623,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
73137378,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
73237103,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
73336907,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
73416718,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
73526496,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
73626237,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
73725967,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
73825758,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
73925459,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
74025184,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
74125012,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
74224722,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
74344451,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
74424200,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
74543975,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
74623728,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
74743487,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
74823237,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
74943016,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
75042708,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
75142588,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
75242226,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
75342066,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
75441828,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
75541563,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
75641291,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
75741099,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
75840789,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
75940637,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
76040289,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
76140119,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
76239798,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
76339715,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
76439312,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
76539152,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
76638872,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
76738730,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
76838377,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
76938220,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
77037865,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
77137874,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
77237410,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
77337192,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
77436890,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
77536721,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
77626451,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
77726293,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
77825967,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
77925798,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
78025535,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
78125267,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
78224992,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
78324843,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
78424516,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
78544230,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
78624131,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
78743725,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
78823614,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
78943256,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
79023158,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
79142778,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
79242603,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
79342318,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
79442117,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
79541872,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
79641546,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
