timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,termination_switch,gear_switch,transition_switch,photo_switch,video_switch,engage_main_motor_switch,payload_power_switch
64405029,64381597,4,4,1,0,0,0,0,0,0,0,0,0,0,0
65407570,65384139,4,4,1,0,0,0,0,0,0,0,0,0,0,0
66427604,66404194,4,4,1,0,0,0,0,0,0,0,0,0,0,0
67442670,67419187,4,4,1,0,0,0,0,0,0,0,0,0,0,0
68462631,68439277,4,4,1,0,0,0,0,0,0,0,0,0,0,0
69480245,69456805,4,4,1,0,0,0,0,0,0,0,0,0,0,0
70480316,70456804,4,4,1,0,0,0,0,0,0,0,0,0,0,0
71497741,71474354,4,4,1,0,0,0,0,0,0,0,0,0,0,0
72500338,72476883,4,4,1,0,0,0,0,0,0,0,0,0,0,0
73520392,73496944,4,4,1,0,0,0,0,0,0,0,0,0,0,0
74538054,74516936,4,4,1,0,0,0,0,0,0,0,0,0,0,0
75557898,75534638,4,4,1,0,0,0,0,0,0,0,0,0,0,0
75934745,75911127,5,1,1,0,0,0,0,0,0,0,0,0,0,0
76954515,76931219,5,1,1,0,0,0,0,0,0,0,0,0,0,0
77974509,77951144,5,1,1,0,0,0,0,0,0,0,0,0,0,0
78685313,78661895,6,4,1,0,0,0,0,0,0,0,0,0,0,0
79705347,79681935,6,4,1,0,0,0,0,0,0,0,0,0,0,0
80723035,80701934,6,4,1,0,0,0,0,0,0,0,0,0,0,0
81742886,81719649,6,4,1,0,0,0,0,0,0,0,0,0,0,0
82762959,82739501,6,4,1,0,0,0,0,0,0,0,0,0,0,0
83783029,83759539,6,4,1,0,0,0,0,0,0,0,0,0,0,0
84802957,84779560,6,4,1,0,0,0,0,0,0,0,0,0,0,0
85820513,85797183,6,4,1,0,0,0,0,0,0,0,0,0,0,0
86823081,86799681,6,4,1,0,0,0,0,0,0,0,0,0,0,0
87823214,87799775,6,4,1,0,0,0,0,0,0,0,0,0,0,0
88843188,88819791,6,4,1,0,0,0,0,0,0,0,0,0,0,0
89860770,89837336,6,4,1,0,0,0,0,0,0,0,0,0,0,0
90880761,90857352,6,4,1,0,0,0,0,0,0,0,0,0,0,0
91898537,91874976,6,4,1,0,0,0,0,0,0,0,0,0,0,0
92456965,92431137,7,4,3,0,0,0,0,0,0,0,0,0,0,0
