timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
65240124,65239950,2490378,0.75306624,0.18875287,9.623763,14.375,0,0,0,0,20
66240159,66239985,2490378,0.5424064,0.5263652,9.78606,14.46558,0,0,0,0,20
67242658,67242484,2490378,0.8131008,-0.30603883,9.412953,14.435387,0,0,0,0,20
68240230,68240058,2490378,0.7612963,0.26297313,9.671408,14.471618,0,0,0,0,20
69240267,69240095,2490378,0.7248446,0.23822308,9.693644,14.510869,0,0,0,0,20
70240307,70240134,2490378,0.6309919,0.4950012,9.668625,14.525966,0,0,0,0,20
71237888,71237710,2490378,0.5371392,0.36260185,9.941443,14.68297,0,0,0,0,20
72240388,72240214,2490378,0.74878657,0.3180697,9.69927,14.704106,0,0,0,0,20
73240427,73240255,2490378,0.746153,0.23151931,9.572377,14.679952,0,0,0,0,20
74242936,74242760,2490378,0.9744401,0.08655039,9.427888,14.72826,0,0,0,0,20
75240516,75240340,2490378,0.656939,0.13533226,9.627324,14.68901,0,0,0,0,20
76240557,76240384,2490378,0.7699753,0.18082209,9.603532,14.767512,0,0,0,0,20
77240600,77240429,2490378,0.82635874,0.016759412,9.656893,14.809782,0,0,0,0,20
78238185,78238010,2490378,0.75507134,0.21625628,9.64989,14.855072,0,0,0,0,20
79240692,79240520,2490378,0.5729325,0.3537433,9.575131,14.90942,0,0,0,0,20
80240740,80240567,2490378,0.9761759,0.06449381,9.070642,14.942633,0,0,0,0,20
81240787,81240615,2490378,0.53606176,0.7625533,10.587878,14.90942,0,0,0,0,20
82238373,82238200,2490378,0.78452003,0.10013749,9.496093,14.969806,0,0,0,0,20
83240885,83240713,2490378,0.8118439,0.12596494,9.483014,15.096618,0,0,0,0,20
84240960,84240763,2490378,0.77308774,0.45190558,9.705615,14.984902,0,0,0,0,20
85238527,85238351,2490378,0.7711125,0.22032641,9.610026,15.105676,0,0,0,0,20
86241040,86240866,2490378,0.8169016,0.02669535,9.629479,15.057367,0,0,0,0,20
87241091,87240919,2490378,0.75429326,0.6793547,9.863872,15.087561,0,0,0,0,20
88243611,88243435,2490378,0.7688979,0.26994625,9.716149,15.211352,0,0,0,0,20
89241197,89241026,2490378,0.76689273,0.21691468,9.636542,15.244565,0,0,0,0,20
90241254,90241081,2490378,0.77724767,0.15358804,9.569205,15.271738,0,0,0,0,20
91241307,91241137,2490378,0.77069354,0.19731215,9.58381,15.338164,0,0,0,0,20
92238903,92238730,2490378,0.746123,0.20536265,9.625559,15.274758,0,0,0,0,20
93241423,93241250,2490378,0.721792,0.21894975,9.6444435,15.301931,0,0,0,0,20
