timestamp,armed,prearmed,ready_to_arm,lockdown,kill,termination,in_esc_calibration_mode
64414041,1,0,1,0,0,0,0
64917715,1,0,1,0,0,0,0
65423789,1,0,1,0,0,0,0
65929699,1,0,1,0,0,0,0
66435796,1,0,1,0,0,0,0
66941649,1,0,1,0,0,0,0
67447649,1,0,1,0,0,0,0
67953827,1,0,1,0,0,0,0
68459832,1,0,1,0,0,0,0
68965658,1,0,1,0,0,0,0
69471663,1,0,1,0,0,0,0
69977650,1,0,1,0,0,0,0
70484361,1,0,1,0,0,0,0
70989721,1,0,1,0,0,0,0
71495658,1,0,1,0,0,0,0
72001649,1,0,1,0,0,0,0
72507677,1,0,1,0,0,0,0
73013854,1,0,1,0,0,0,0
73519650,1,0,1,0,0,0,0
74025704,1,0,1,0,0,0,0
74531651,1,0,1,0,0,0,0
75037650,1,0,1,0,0,0,0
75544120,1,0,1,0,0,0,0
75951806,1,0,1,0,0,0,0
76457644,1,0,1,0,0,0,0
76963645,1,0,1,0,0,0,0
77469645,1,0,1,0,0,0,0
77975792,1,0,1,0,0,0,0
78481812,1,0,1,0,0,0,0
78702051,1,0,1,0,0,0,0
79207649,1,0,1,0,0,0,0
79713666,1,0,1,0,0,0,0
80220310,1,0,1,0,0,0,0
80725659,1,0,1,0,0,0,0
81231791,1,0,1,0,0,0,0
81737669,1,0,1,0,0,0,0
82243754,1,0,1,0,0,0,0
82749669,1,0,1,0,0,0,0
83255693,1,0,1,0,0,0,0
83761887,1,0,1,0,0,0,0
84267650,1,0,1,0,0,0,0
84773900,1,0,1,0,0,0,0
85279649,1,0,1,0,0,0,0
85785658,1,0,1,0,0,0,0
86291786,1,0,1,0,0,0,0
86797649,1,0,1,0,0,0,0
87304650,1,0,1,0,0,0,0
87812082,1,0,1,0,0,0,0
88317709,1,0,1,0,0,0,0
88823650,1,0,1,0,0,0,0
89330649,1,0,1,0,0,0,0
89837065,1,0,1,0,0,0,0
90343083,1,0,1,0,0,0,0
90848649,1,0,1,0,0,0,0
91354655,1,0,1,0,0,0,0
91860649,1,0,1,0,0,0,0
92366649,1,0,1,0,0,0,0
92465773,0,0,1,0,0,0,0
92971670,0,0,1,0,0,0,0
