timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
72330238,0,0,0,1,0,0,0,0,0,0,0,0
73337637,0,0,0,1,0,0,0,0,0,0,0,0
74345413,0,0,0,1,0,0,0,0,0,0,0,0
75353100,0,0,0,1,0,0,0,0,0,0,0,0
76360461,0,0,0,1,0,0,0,0,0,0,0,0
77368054,0,0,0,1,0,0,0,0,0,0,0,0
78375728,0,0,0,1,0,0,0,0,0,0,0,0
79383296,0,0,0,1,0,0,0,0,0,0,0,0
80391021,0,0,0,1,0,0,0,0,0,0,0,0
81398585,0,0,0,1,0,0,0,0,0,0,0,0
82406711,0,0,0,1,0,0,0,0,0,0,0,0
83413936,0,0,0,1,0,0,0,0,0,0,0,0
84421415,0,0,0,1,0,0,0,0,0,0,0,0
85429203,0,0,0,1,0,0,0,0,0,0,0,0
86436635,0,0,0,1,0,0,0,0,0,0,0,0
87444213,0,0,0,1,0,0,0,0,0,0,0,0
88451844,0,0,0,1,0,0,0,0,0,0,0,0
89459479,0,0,0,1,0,0,0,0,0,0,0,0
90467372,0,0,0,1,0,0,0,0,0,0,0,0
91474710,0,0,0,1,0,0,0,0,0,0,0,0
92482316,0,0,0,1,0,0,0,0,0,0,0,0
93489930,0,0,0,1,0,0,0,0,0,0,0,0
94497558,0,0,0,1,0,0,0,0,0,0,0,0
95505121,0,0,0,1,0,0,0,0,0,0,0,0
96512972,0,0,0,1,0,0,0,0,0,0,0,0
97520380,0,0,0,1,0,0,0,0,0,0,0,0
98527945,0,0,0,1,0,0,0,0,0,0,0,0
99535557,0,0,0,1,0,0,0,0,0,0,0,0
100543253,0,0,0,1,0,0,0,0,0,0,0,0
100782717,0,0,0,0,0,0,0,0,0,0,0,0
101785396,0,0,0,0,0,0,0,0,0,0,0,0
102790267,0,0,0,0,0,0,0,0,0,0,0,0
103795557,0,0,0,0,0,0,0,0,0,0,0,0
104800035,0,0,0,0,0,0,0,0,0,0,0,0
105804978,0,0,0,0,0,0,0,0,0,0,0,0
106810063,0,0,0,0,0,0,0,0,0,0,0,0
107814805,0,0,0,0,0,0,0,0,0,0,0,0
108819884,0,0,0,0,0,0,0,0,0,0,0,0
109824626,0,0,0,0,0,0,0,0,0,0,0,0
110829487,0,0,0,0,0,0,0,0,0,0,0,0
111834315,0,0,0,0,0,0,0,0,0,0,0,0
111873785,0,0,0,1,0,0,0,0,0,0,0,0
112494661,0,0,0,1,0,0,0,0,0,0,0,1
113499666,0,0,0,1,0,0,0,0,0,0,0,1
