timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
73217952,73027892,0.09622786,0.09623486,0.20643806,0.26642993,0.26646355,0.58842224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.385802,0.0,0.0,0.0,0.0,0.002968211,0.002968211,0.0027736947,0.0029619986,1.0000136,1.0000099,1.0000117,0.0,0.0,1.986971,0.0,0.0,0.0
73716941,73526710,0.09574632,0.0965342,0.20655923,0.26593614,0.26596254,0.58803546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.385503,0.0,0.0,0.0,0.0,0.0028219812,0.0028219812,0.0027852892,0.0026765247,1.0000157,1.0000075,1.0000107,0.0,0.0,2.933592,0.0,0.0,0.0
74215526,74025528,0.09605852,0.09690616,0.20683503,0.26608172,0.2661357,0.5881747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.385525,0.0,0.0,0.0,0.0,0.0027557393,0.0027557393,0.0026893592,0.0026230027,1.0000134,1.0000086,1.0000118,0.0,0.0,2.9309185,0.0,0.0,0.0
74714566,74524347,0.09629669,0.09664953,0.20711471,0.26593226,0.2659976,0.58821195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.385392,0.0,0.0,0.0,0.0,0.0027253192,0.002678646,0.0027253192,0.0025650575,1.0000154,1.0000073,1.0000087,0.0,0.0,2.8490605,0.0,0.0,0.0
75223187,75033141,0.09686843,0.09717795,0.20729385,0.26626432,0.26634225,0.5886322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.385186,0.0,0.0,0.0,0.0,0.002863865,0.0026551993,0.002863865,0.0025289552,1.0000145,1.0000124,1.0000026,0.0,0.0,2.8697543,0.0,0.0,0.0
75722228,75531960,0.097325936,0.09726932,0.20716895,0.26612538,0.26620886,0.58866173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.386032,0.0,0.0,0.0,0.0,0.0028114324,0.0026310766,0.0028114324,0.002505016,1.0000131,1.0000132,1.0000001,0.0,0.0,2.8739388,0.0,0.0,0.0
76220811,76030779,0.09708908,0.09710422,0.20693882,0.2662004,0.2662857,0.58878374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.385164,0.0,0.0,0.0,0.0,0.0027077554,0.0026044357,0.0027077554,0.0025046235,1.0000125,1.0000125,1.0000001,0.0,0.0,2.1288424,0.0,0.0,0.0
76719630,76529597,0.09715683,0.0969643,0.20676094,0.26611206,0.26617134,0.58864963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.386116,0.0,0.0,0.0,0.0,0.0025777419,0.0025716953,0.0025777419,0.002507359,1.0000113,1.0000103,1.0000018,0.0,0.0,2.8190691,0.0,0.0,0.0
77218504,77028416,0.09681471,0.09673918,0.20677567,0.26633224,0.2663692,0.58876544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.385698,0.0,0.0,0.0,0.0,0.0025479014,0.002546483,0.0025479014,0.0025087511,1.0000117,1.0000092,1.0000029,0.0,0.0,2.5464876,0.0,0.0,0.0
77717465,77527235,0.09640091,0.09639473,0.2067668,0.26629072,0.2663188,0.58881444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.385826,0.0,0.0,0.0,0.0,0.0025429314,0.0025413155,0.0025429314,0.0025075928,1.0000117,1.0000095,1.0000025,0.0,0.0,2.812028,0.0,0.0,0.0
78216164,78026053,0.09627773,0.0962546,0.20678002,0.26639006,0.26642755,0.5889343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.385415,0.0,0.0,0.0,0.0,0.0025356265,0.002534542,0.0025356265,0.002507315,1.000012,1.0000099,1.0000026,0.0,0.0,2.807858,0.0,0.0,0.0
78714911,78524872,0.09597363,0.095995106,0.20674695,0.26600236,0.26604378,0.58869964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.384933,0.0,0.0,0.0,0.0,0.0025339636,0.002532098,0.0025339636,0.0025084133,1.0000123,1.000009,1.0000038,0.0,0.0,2.7534359,0.0,0.0,0.0
79223791,79033667,0.09595308,0.09600353,0.20678525,0.26597866,0.26602647,0.5887041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.385477,0.0,0.0,0.0,0.0,0.0025342898,0.0025303771,0.0025342898,0.0025096075,1.0000131,1.0000085,1.0000049,0.0,0.0,2.7601652,0.0,0.0,0.0
79712716,79522509,0.095927395,0.0959467,0.20684607,0.266023,0.26607522,0.5888758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.386434,0.0,0.0,0.0,0.0,0.0025416194,0.0025295515,0.0025416194,0.0025147228,1.0000136,1.0000063,1.000007,0.0,0.0,2.7170165,0.0,0.0,0.0
80221404,80031304,0.09601101,0.0960456,0.2069574,0.26613405,0.26619065,0.58904636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.385781,0.0,0.0,0.0,0.0,0.0025445318,0.0025261084,0.0025445318,0.0025195372,1.000014,1.0000051,1.0000091,0.0,0.0,2.4045362,0.0,0.0,0.0
80720160,80530123,0.09594155,0.095932394,0.20702963,0.26592642,0.26597935,0.5890228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.385974,0.0,0.0,0.0,0.0,0.0025401004,0.0025254095,0.0025401004,0.0025177517,1.0000143,1.0000051,1.000009,0.0,0.0,2.477059,0.0,0.0,0.0
81219117,81028941,0.09607522,0.09602486,0.20713109,0.26608872,0.26613393,0.58926123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.385687,0.0,0.0,0.0,0.0,0.002538368,0.0025327767,0.002538368,0.0025173286,1.0000141,1.000006,1.0000095,0.0,0.0,2.727988,0.0,0.0,0.0
81717794,81527762,0.09598164,0.09595919,0.20715761,0.26591513,0.26594794,0.5892062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.386489,0.0,0.0,0.0,0.0,0.002534516,0.002534516,0.002530797,0.0025111907,1.0000153,1.0000074,1.0000069,0.0,0.0,2.3419602,0.0,0.0,0.0
82216658,82026580,0.09577063,0.09570641,0.2070299,0.2653212,0.26534313,0.5886655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.385914,0.0,0.0,0.0,0.0,0.0025365953,0.0025365953,0.0025318172,0.0025075758,1.0000145,1.0000103,1.0000045,0.0,0.0,2.4586563,0.0,0.0,0.0
82715403,82525399,0.09567098,0.09568934,0.20690943,0.26496416,0.26498687,0.58822274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.385756,0.0,0.0,0.0,0.0,0.002538079,0.0025358403,0.002538079,0.0025066785,1.0000151,1.0000113,1.0000026,0.0,0.0,2.4792986,0.0,0.0,0.0
83214723,83024218,0.09571437,0.095806606,0.20676132,0.26481882,0.26484856,0.58797324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.385398,0.0,0.0,0.0,0.0,0.0025729754,0.002538116,0.0025729754,0.0025052768,1.0000153,1.0000132,1.0000005,0.0,0.0,2.9303844,0.0,0.0,0.0
83713068,83523037,0.09565719,0.09566318,0.20658754,0.26456344,0.26459843,0.58755744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.384753,0.0,0.0,0.0,0.0,0.0025655257,0.002553518,0.0025655257,0.002505889,1.0000136,1.0000137,1.0000008,0.0,0.0,2.6840873,0.0,0.0,0.0
84221906,84031832,0.09576333,0.09573343,0.2064789,0.26455334,0.2645731,0.5873373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.384683,0.0,0.0,0.0,0.0,0.0025616505,0.0025616505,0.0025551864,0.002506612,1.0000123,1.0000135,1.0000011,0.0,0.0,2.8013382,0.0,0.0,0.0
84720683,84530651,0.09588261,0.096059896,0.20644099,0.26452002,0.2645381,0.58706516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.384457,0.0,0.0,0.0,0.0,0.002549198,0.0025462701,0.002549198,0.0025056012,1.0000124,1.0000128,1.0000005,0.0,0.0,2.8457353,0.0,0.0,0.0
85219752,85029469,0.09597401,0.09594129,0.20636846,0.26448298,0.26450762,0.58685356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.383906,0.0,0.0,0.0,0.0,0.00254778,0.0025390806,0.00254778,0.0025052857,1.0000123,1.0000123,1.0000004,0.0,0.0,2.9383512,0.0,0.0,0.0
85718315,85528288,0.09589619,0.095706984,0.20632108,0.26449633,0.2645008,0.58664906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.38394,0.0,0.0,0.0,0.0,0.002541221,0.0025377006,0.002541221,0.0025055993,1.000012,1.000012,1.0000005,0.0,0.0,2.941269,0.0,0.0,0.0
