timestamp,io_errors,frames_tx,frames_rx,interface
72905441,2987,2917,0,0
73007446,3007,2917,0,0
73109442,3007,2917,0,0
73211441,3007,2917,0,0
73313441,3007,2917,0,0
73415440,3007,2919,0,0
73517502,3009,2919,0,0
73619446,3009,2919,0,0
73721556,3009,2919,0,0
73823440,3009,2919,0,0
73925447,3010,2938,0,0
74027460,3028,2938,0,0
74129442,3028,2938,0,0
74231441,3028,2938,0,0
74333440,3028,2938,0,0
74435928,3028,2940,0,0
74537440,3030,2940,0,0
74639466,3030,2940,0,0
74741490,3030,2940,0,0
74843440,3030,2942,0,0
74945441,3033,2959,0,0
75047441,3049,2959,0,0
75149442,3049,2959,0,0
75251464,3049,2959,0,0
75353444,3049,2961,0,0
75455439,3051,2961,0,0
75557446,3051,2961,0,0
75659442,3051,2961,0,0
75761455,3051,2961,0,0
75863440,3052,2961,0,0
75965440,3052,2980,0,0
76067440,3070,2980,0,0
76169642,3070,2980,0,0
76271454,3070,2980,0,0
76373440,3070,2980,0,0
76475440,3070,2982,0,0
76577440,3072,2982,0,0
76679766,3072,2982,0,0
76781440,3072,2982,0,0
76883440,3073,2982,0,0
76985441,3073,3001,0,0
77087440,3091,3001,0,0
77189445,3091,3001,0,0
77291439,3091,3001,0,0
77393439,3091,3003,0,0
77495445,3093,3003,0,0
77597575,3093,3003,0,0
77699499,3093,3003,0,0
77801458,3093,3003,0,0
77903634,3094,3022,0,0
78005440,3112,3022,0,0
78107440,3112,3022,0,0
78209442,3112,3022,0,0
78311464,3112,3022,0,0
78413440,3112,3024,0,0
78515580,3114,3024,0,0
78617441,3114,3024,0,0
78719450,3114,3024,0,0
78821440,3114,3024,0,0
78923442,3115,3043,0,0
79025440,3133,3043,0,0
79127440,3133,3043,0,0
79229442,3133,3043,0,0
79331439,3133,3043,0,0
79433440,3133,3045,0,0
79535440,3135,3045,0,0
79638073,3135,3045,0,0
79739445,3135,3045,0,0
79841440,3135,3045,0,0
79943440,3136,3064,0,0
80045444,3154,3064,0,0
80147440,3154,3064,0,0
80249442,3154,3064,0,0
80351452,3154,3064,0,0
80453440,3154,3066,0,0
80555440,3156,3066,0,0
80657478,3156,3066,0,0
80759442,3156,3066,0,0
80861469,3157,3066,0,0
80963441,3157,3085,0,0
81065439,3175,3085,0,0
81167440,3175,3085,0,0
81269441,3175,3085,0,0
81371552,3175,3085,0,0
81473440,3175,3087,0,0
81575440,3177,3087,0,0
81677448,3177,3087,0,0
81779443,3177,3087,0,0
81881440,3178,3087,0,0
81983440,3178,3106,0,0
82085440,3196,3106,0,0
82187440,3196,3106,0,0
82289450,3196,3106,0,0
82391440,3196,3106,0,0
82493444,3196,3108,0,0
82595784,3198,3108,0,0
82697440,3198,3108,0,0
82799442,3198,3108,0,0
82901441,3199,3125,0,0
83003441,3215,3127,0,0
83105529,3217,3127,0,0
83207440,3217,3127,0,0
83309442,3217,3127,0,0
83411440,3217,3127,0,0
83513822,3217,3129,0,0
83615474,3219,3129,0,0
83717440,3219,3129,0,0
83819442,3219,3129,0,0
83921440,3220,3149,0,0
84023440,3239,3149,0,0
84125440,3239,3149,0,0
84227441,3239,3149,0,0
84329442,3239,3149,0,0
84431440,3239,3151,0,0
84533440,3241,3151,0,0
84635443,3241,3151,0,0
84737440,3241,3151,0,0
84839529,3241,3151,0,0
84941440,3242,3170,0,0
85043440,3260,3170,0,0
85145444,3260,3170,0,0
85247440,3260,3170,0,0
85349452,3260,3170,0,0
85451440,3260,3172,0,0
85553607,3262,3172,0,0
85655458,3262,3172,0,0
85757440,3262,3172,0,0
85859442,3263,3172,0,0
85961440,3263,3191,0,0
86063440,3281,3191,0,0
86165440,3281,3191,0,0
86267441,3281,3191,0,0
86369441,3281,3191,0,0
86471440,3281,3193,0,0
86573580,3283,3193,0,0
86675439,3283,3193,0,0
86777440,3283,3193,0,0
86879442,3284,3193,0,0
86981440,3284,3212,0,0
87083440,3302,3212,0,0
87185444,3302,3212,0,0
87287440,3302,3212,0,0
87389484,3302,3214,0,0
87491440,3304,3214,0,0
87593441,3304,3214,0,0
87695445,3304,3214,0,0
87797440,3304,3214,0,0
87899442,3305,3233,0,0
88001440,3323,3233,0,0
88103440,3323,3233,0,0
88205439,3323,3233,0,0
88307666,3323,3233,0,0
88409442,3323,3235,0,0
88512018,3325,3235,0,0
88613440,3325,3235,0,0
88715439,3325,3235,0,0
88817441,3325,3235,0,0
88919442,3326,3252,0,0
89021439,3342,3254,0,0
89123440,3344,3254,0,0
89225439,3344,3254,0,0
89327458,3344,3254,0,0
89429814,3344,3254,0,0
89531441,3344,3256,0,0
89633439,3346,3256,0,0
89735441,3346,3256,0,0
89837441,3346,3256,0,0
89939481,3347,3275,0,0
90041441,3365,3275,0,0
90143439,3365,3275,0,0
90245452,3365,3275,0,0
90347454,3365,3275,0,0
90449443,3365,3277,0,0
90551441,3367,3277,0,0
90653440,3367,3277,0,0
90755524,3367,3277,0,0
90857440,3368,3277,0,0
90959442,3368,3296,0,0
91061439,3386,3296,0,0
91163440,3386,3296,0,0
91265440,3386,3296,0,0
91367440,3386,3296,0,0
91469522,3386,3298,0,0
91571440,3388,3298,0,0
91673440,3388,3298,0,0
91775441,3388,3298,0,0
91877440,3389,3298,0,0
91979442,3389,3317,0,0
92081440,3407,3317,0,0
92183462,3407,3317,0,0
92285440,3407,3317,0,0
92387440,3407,3317,0,0
92489624,3407,3319,0,0
92591440,3409,3319,0,0
92693445,3409,3319,0,0
92795440,3409,3319,0,0
92897440,3410,3336,0,0
92999442,3428,3338,0,0
93101440,3430,3338,0,0
93203440,3430,3338,0,0
93305459,3430,3338,0,0
93407440,3430,3338,0,0
93509443,3430,3340,0,0
93611441,3432,3340,0,0
93713440,3432,3340,0,0
93815440,3432,3340,0,0
93917442,3433,3357,0,0
94019456,3449,3359,0,0
94121440,3451,3359,0,0
94223505,3451,3359,0,0
94325441,3451,3359,0,0
94427744,3451,3359,0,0
94529442,3451,3361,0,0
94631440,3453,3361,0,0
94733440,3453,3361,0,0
94835440,3453,3361,0,0
94937440,3454,3378,0,0
95039445,3470,3380,0,0
95141440,3472,3380,0,0
95243440,3472,3380,0,0
95345544,3472,3380,0,0
95447464,3472,3380,0,0
95549460,3472,3382,0,0
95651440,3474,3382,0,0
95753440,3474,3382,0,0
95855440,3475,3382,0,0
95957453,3475,3399,0,0
96059441,3491,3401,0,0
96161440,3493,3401,0,0
96263440,3493,3401,0,0
96365440,3493,3401,0,0
96467692,3493,3401,0,0
96569442,3493,3403,0,0
96671440,3495,3403,0,0
96773440,3495,3403,0,0
96875467,3496,3403,0,0
96977563,3496,3420,0,0
97079446,3512,3422,0,0
97181440,3514,3422,0,0
97283440,3514,3422,0,0
97385483,3514,3422,0,0
97487440,3514,3422,0,0
97589445,3514,3424,0,0
97691440,3516,3424,0,0
97793439,3516,3424,0,0
97895484,3517,3441,0,0
97997440,3533,3441,0,0
98099441,3533,3443,0,0
98201439,3535,3443,0,0
98303441,3535,3443,0,0
98405443,3535,3443,0,0
98507440,3535,3443,0,0
98609442,3535,3445,0,0
98711528,3537,3445,0,0
98813440,3537,3445,0,0
98915440,3538,3462,0,0
99017440,3554,3462,0,0
99119441,3554,3464,0,0
99221450,3556,3464,0,0
99323440,3556,3464,0,0
99426069,3556,3464,0,0
99527441,3556,3464,0,0
99629443,3556,3466,0,0
99731440,3558,3466,0,0
99833440,3558,3466,0,0
99935441,3559,3483,0,0
100037439,3575,3483,0,0
100139459,3575,3485,0,0
100241458,3577,3485,0,0
100343911,3577,3485,0,0
100445441,3577,3485,0,0
100547440,3577,3487,0,0
100649471,3579,3487,0,0
100751439,3579,3487,0,0
100853440,3580,3487,0,0
100955440,3580,3504,0,0
101057440,3596,3506,0,0
101159444,3598,3506,0,0
101261592,3598,3506,0,0
101363457,3598,3506,0,0
101465440,3598,3509,0,0
101567440,3601,3509,0,0
101669451,3601,3509,0,0
101771440,3601,3509,0,0
101873440,3602,3509,0,0
101975440,3602,3528,0,0
102077441,3620,3528,0,0
102179748,3620,3528,0,0
102281440,3620,3528,0,0
102383598,3620,3528,0,0
102485440,3620,3530,0,0
102587459,3622,3530,0,0
102689450,3622,3530,0,0
102791440,3622,3530,0,0
102893555,3623,3547,0,0
102995440,3639,3549,0,0
103097440,3641,3549,0,0
103199441,3641,3549,0,0
103301440,3641,3549,0,0
103403463,3641,3549,0,0
103505439,3641,3551,0,0
103607440,3643,3551,0,0
103709441,3643,3551,0,0
103811440,3643,3551,0,0
103913616,3644,3568,0,0
104015440,3660,3570,0,0
104117474,3662,3570,0,0
104219442,3662,3570,0,0
104321440,3662,3570,0,0
104423458,3662,3570,0,0
104525440,3662,3572,0,0
104627485,3664,3572,0,0
104729441,3664,3572,0,0
104831440,3664,3572,0,0
104933440,3665,3589,0,0
105035440,3683,3591,0,0
105137440,3685,3591,0,0
105239447,3685,3591,0,0
105341440,3685,3591,0,0
105443440,3685,3591,0,0
105545440,3685,3593,0,0
105647440,3687,3593,0,0
105749442,3687,3593,0,0
105851440,3688,3593,0,0
105953440,3688,3610,0,0
106055440,3704,3612,0,0
106157440,3706,3612,0,0
106259490,3706,3612,0,0
106361454,3706,3612,0,0
106463440,3706,3612,0,0
106565452,3706,3614,0,0
106667440,3708,3614,0,0
106769441,3708,3614,0,0
106871439,3709,3614,0,0
106973440,3709,3631,0,0
107075904,3725,3633,0,0
107177440,3727,3633,0,0
107279442,3727,3633,0,0
107381440,3727,3633,0,0
107483440,3727,3633,0,0
107585444,3727,3635,0,0
107687440,3729,3635,0,0
107789490,3729,3635,0,0
107891440,3730,3650,0,0
107993439,3745,3652,0,0
108095446,3746,3654,0,0
108197440,3748,3654,0,0
108299466,3748,3654,0,0
108401439,3748,3654,0,0
108503440,3748,3654,0,0
108605440,3748,3656,0,0
108707440,3750,3656,0,0
108810074,3750,3656,0,0
