timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],states[24],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
73174546,72986956,0.8763439,0.41454867,0.17192374,-0.17496632,-0.07433438,0.020564085,-0.90428066,0.0,0.0,-38.35376,0.00043489883,-0.0031004425,-0.0006701494,0.04628204,0.030123057,0.023562884,0.35508952,-0.03555845,0.38263422,-0.003519175,0.0093113175,-0.0065575927,0.0,0.0,-38.25376,1.7149063e-05,1.8036393e-05,0.0045770686,0.0061742524,0.006169861,0.0038857427,0.016274488,0.016308827,0.02600107,1.9064366e-07,1.8976363e-07,3.151522e-07,0.0005335253,0.0005416421,2.5483125e-05,0.0009189846,0.0001075973,0.0006573688,0.00072069716,0.00073662365,0.00062561594,1.0,1.0,0.010000001,25
73677162,73489414,0.89191407,0.40060276,0.19653586,0.073352315,-0.46373636,-0.06618073,-0.050744366,0.0,0.0,-38.462776,0.0005190957,-0.0029311592,-0.0006594679,0.04873223,0.031143317,0.02311399,0.354712,-0.034731414,0.3789496,0.001964629,0.005542497,-0.002951545,0.0,0.0,-38.362778,1.6649787e-05,1.745593e-05,0.002417461,0.005592349,0.0059025334,0.0039454917,0.0154740345,0.015497726,0.02527316,1.9056615e-07,1.8957597e-07,3.198391e-07,0.00053182675,0.00053997827,2.5274763e-05,0.00073905126,0.000105449384,0.00052255025,0.0003992558,0.0006002026,0.00048274305,1.0,1.0,0.010000001,25
74179504,73991873,0.8540885,0.3276236,0.32946277,0.23377337,-0.5506788,-0.1492627,-0.08609425,0.0,0.0,-38.515865,0.00045339292,-0.0028323398,-0.0006713467,0.048206877,0.033771563,0.022862563,0.34630838,-0.03323538,0.3780538,0.009255135,0.010570688,-0.0023715259,0.0,0.0,-38.415867,1.5944017e-05,1.6659553e-05,0.0016400178,0.0056090313,0.0059341993,0.0041185133,0.014907743,0.014930883,0.024717445,1.9114762e-07,1.9004689e-07,3.2443992e-07,0.0005237327,0.00053287944,2.5072397e-05,0.00045497456,0.00010149506,0.00050052034,0.0002102685,0.00039712948,0.000464396,1.0,1.0,0.010000001,25
74681995,74494332,0.7876532,0.31894916,0.25704086,0.4602217,-0.09347003,-0.14330229,-0.08114101,0.0,0.0,-38.596275,0.00038244503,-0.0027583379,-0.0007161788,0.045020834,0.044322114,0.023063859,0.3391424,-0.032033373,0.37382522,0.013927791,0.015962787,0.0016726278,0.0,0.0,-38.496277,1.5177191e-05,1.5887894e-05,0.0013728659,0.006044362,0.006489077,0.0044234134,0.015536958,0.015576687,0.02545663,1.9269996e-07,1.9157329e-07,3.286004e-07,0.00050638244,0.00051913667,2.4890665e-05,0.0002751626,9.951777e-05,0.00044440542,0.00010833558,0.00027406265,0.0004165787,1.0,1.0,0.010000001,25
75184375,74996790,0.778329,0.14028853,0.16951129,0.5880383,0.20171535,-0.09634573,-0.16022946,0.0,0.0,-38.685047,0.00026882702,-0.0027453066,-0.0007687888,0.03773551,0.053151853,0.023112644,0.33202097,-0.030347796,0.3684788,0.017938845,0.022256514,0.0068588294,0.0,0.0,-38.58505,1.3681846e-05,1.4480279e-05,0.0012382193,0.0061978092,0.0067083733,0.0044635073,0.014995021,0.01505325,0.02506536,1.9434326e-07,1.9314336e-07,3.3263314e-07,0.00047487274,0.00049174676,2.4651732e-05,0.000173242,9.820759e-05,0.00037003946,7.476951e-05,0.00017900876,0.00035042554,1.0,1.0,0.010000001,25
75677245,75489397,0.6479103,0.0434046,0.018383458,0.7602568,0.09924587,-0.21962582,-0.07266928,0.0,0.0,-38.783516,0.00017167455,-0.002728776,-0.0008314627,0.030461818,0.06520201,0.0230182,0.32515806,-0.028836692,0.36235932,0.022742726,0.027478574,0.013012131,0.0,0.0,-38.683517,1.2611719e-05,1.3323808e-05,0.0011249837,0.0067913313,0.006915471,0.004437821,0.015541433,0.015634026,0.025748909,1.9726359e-07,1.9604786e-07,3.3644338e-07,0.00044319488,0.00045903612,2.44561e-05,8.614493e-05,9.7308046e-05,0.00026125685,4.852381e-05,9.1368696e-05,0.00025090395,1.0,1.0,0.010000001,25
76179477,75991856,0.66389817,0.025770057,0.015738504,0.7472132,0.19133337,0.2015691,0.3117703,0.0,0.0,-38.826992,0.00015468929,-0.002790767,-0.00082240644,0.020493235,0.056649145,0.023771537,0.32863274,-0.029163197,0.36579904,0.022963002,0.023204375,0.009366306,0.0,0.0,-38.726994,1.1501465e-05,1.2034747e-05,0.0010737149,0.0065475306,0.0066073514,0.004137175,0.01502426,0.0151060885,0.0252167,2.0075154e-07,1.9962671e-07,3.4018547e-07,0.0004056904,0.0004170138,2.4235647e-05,5.7535635e-05,9.680775e-05,0.00021628097,3.830022e-05,6.162836e-05,0.00020942026,1.0,1.0,0.010000001,25
76682002,76494315,0.8396687,0.20250152,0.00095365074,0.5039333,0.017263103,0.13409707,-0.013981296,0.0,0.0,-38.793934,0.00013924108,-0.0028767835,-0.000801739,0.005015608,0.0385873,0.02530203,0.33655468,-0.028459989,0.3720832,0.020649899,0.015791083,0.002631419,0.0,0.0,-38.693935,1.11848185e-05,1.1579685e-05,0.0010215577,0.0069133234,0.006830557,0.004101667,0.015745174,0.015829057,0.025952438,2.0492432e-07,2.0391785e-07,3.439199e-07,0.00037636136,0.00038314948,2.4075674e-05,4.0247232e-05,9.645167e-05,0.00019130931,3.0700285e-05,4.233719e-05,0.00018638697,1.0,1.0,0.010000001,25
77184819,76996774,0.8987895,0.2174767,0.12812157,0.3584218,-0.02813343,0.09171759,0.13975964,0.0,0.0,-38.73635,0.00013945057,-0.0028914514,-0.00080319727,0.0026449654,0.031681035,0.02531081,0.33865985,-0.028731277,0.37239346,0.020499686,0.013521922,0.00215414,0.0,0.0,-38.636353,1.1077341e-05,1.1245213e-05,0.0009931138,0.0062613813,0.0062111444,0.004036687,0.015217468,0.015273778,0.025331562,2.0900647e-07,2.0824992e-07,3.4716444e-07,0.00034973386,0.00035025735,2.3905917e-05,3.595589e-05,9.628435e-05,0.00018897666,2.7630538e-05,3.7270238e-05,0.00018415581,1.0,1.0,0.010000001,25
77677457,77489381,0.9119727,0.20839858,0.100258105,0.3388574,-0.1117799,0.0860344,0.015790584,0.0,0.0,-38.710762,0.00016759457,-0.0028917831,-0.00081200356,0.0049063605,0.0347146,0.02514311,0.33925042,-0.028755754,0.37237203,0.020291591,0.012791571,0.0023814328,0.0,0.0,-38.610764,1.1441561e-05,1.1436416e-05,0.0009846949,0.0061856466,0.0061304905,0.0041066296,0.015763689,0.015805624,0.025879506,2.1290484e-07,2.1244685e-07,3.506068e-07,0.00033430883,0.00032998392,2.379356e-05,3.4673143e-05,9.622712e-05,0.00018881248,2.6530734e-05,3.5842488e-05,0.00018397893,1.0,1.0,0.010000001,25
78179501,77991840,0.92844623,0.20375472,0.11948809,0.28669548,-0.17415242,0.20949434,0.06262954,0.0,0.0,-38.684547,0.00020127576,-0.0028941233,-0.0008120694,0.0065160296,0.036099695,0.024981622,0.33951145,-0.02880922,0.3722949,0.020718334,0.012054907,0.0025374824,0.0,0.0,-38.58455,1.1784388e-05,1.1602286e-05,0.0009749939,0.0057274,0.005701553,0.004044513,0.015146842,0.015175794,0.0253261,2.1614329e-07,2.1610809e-07,3.5359247e-07,0.0003216249,0.00031192446,2.3673656e-05,3.3081174e-05,9.614481e-05,0.00018862764,2.5038988e-05,3.4134202e-05,0.00018376294,1.0,1.0,0.010000001,25
78682195,78494299,0.9155199,0.24674158,0.13646491,0.28691348,-0.094538435,0.16558278,0.05805233,0.0,0.0,-38.663406,0.00025855846,-0.002906281,-0.00079554,0.008621501,0.038743187,0.024814287,0.33943942,-0.0288973,0.37218478,0.021128176,0.011693946,0.0027775585,0.0,0.0,-38.563408,1.2413301e-05,1.2098794e-05,0.0009668789,0.0058020623,0.0058113313,0.0041290238,0.015731772,0.015759202,0.026009263,2.1895632e-07,2.1939812e-07,3.5651257e-07,0.00031463895,0.00030067537,2.3594874e-05,3.196874e-05,9.607388e-05,0.00018789807,2.3769195e-05,3.2898708e-05,0.0001829637,1.0,1.0,0.010000001,25
