timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
72923266,72923140,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
72925758,72925634,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
73025519,73025397,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
73127782,73127655,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
73225050,73224925,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
73327311,73327182,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
73424588,73424452,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
73526846,73526710,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
73624109,73623979,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
73726364,73726237,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
73826121,73826001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
73925890,73925765,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
74025647,74025528,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
74125423,74125292,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
74225174,74225056,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
74324939,74324819,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
74424933,74424583,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
74526962,74526841,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
74624227,74624110,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
74726487,74726368,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
74823755,74823638,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
74926011,74925895,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
75023284,75023165,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
75125566,75125424,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
75227803,75227681,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
75325083,75324950,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
75427332,75427208,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
75524600,75524478,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
75626871,75626736,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
75724122,75724005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
75826386,75826263,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
75926145,75926027,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
76025910,76025791,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
