timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,is_logging,num_messages
164536349,63.984375,99047.02,0,21,61208,65536,0,3,1,207
165539023,166.02832,165.47876,0,21,1824,65536,0,3,1,207
166540182,204.69922,102.12091,0,21,4668,65536,0,3,1,207
167540958,246.73047,82.09968,0,21,4625,65536,0,3,1,207
168541945,288.68457,72.05869,0,22,4640,65536,0,3,1,207
169543089,332.27148,66.35628,0,22,2971,65536,0,3,1,207
170543947,376.7744,62.70957,0,22,116,65536,0,3,1,207
171544947,414.28613,59.105682,0,22,4701,65536,0,3,1,207
172545943,460.74316,57.51927,0,22,169,65536,0,3,1,207
173546941,502.68066,55.783752,0,22,169,65536,0,3,1,207
174547945,540.5957,53.993473,0,22,4384,65536,0,3,1,207
175549220,584.16895,53.041092,0,22,2662,65536,0,3,1,207
176549943,628.31055,52.297146,0,22,372,65536,0,3,1,207
177550948,670.24805,51.497154,0,22,425,65536,0,3,1,207
178551979,712.2793,50.818012,0,22,267,65536,0,3,1,207
179552943,754.16895,50.220207,0,22,316,65536,0,3,1,207
180554339,796.7627,49.739735,0,22,320,65536,0,3,1,207
181554945,836.0654,49.124714,0,22,3592,65536,0,3,1,207
182555940,883.2822,49.016132,0,22,267,65536,0,3,1,207
183557070,925.71387,48.66705,0,23,393,65536,0,3,1,207
184557987,968.08887,48.350574,0,24,484,65536,0,3,1,207
185558983,1010.6504,48.072914,0,24,431,65536,0,3,1,207
186559944,1053.1904,47.8196,0,24,431,65536,0,3,1,207
187560943,1092.0166,47.426937,0,24,4191,65536,0,3,1,207
188561941,1138.0029,47.36501,0,24,533,65536,0,3,1,207
189562961,1180.4814,47.167828,0,24,542,65536,0,3,1,207
190563960,1220.0107,46.87255,0,25,3476,65536,0,3,1,207
191564943,1265.3223,46.81309,0,25,522,65536,0,3,1,207
192565943,1305.3369,46.568882,0,25,3108,65536,0,3,1,207
193566946,1348.0527,46.43455,0,25,2885,65536,0,3,1,207
194567940,1390.3232,46.294357,0,25,2983,65536,0,3,1,207
195568983,1433.1191,46.180073,0,25,2582,65536,0,3,1,207
196569944,1477.3486,46.117798,0,26,799,65536,0,3,1,207
197571454,1519.7246,46.002422,0,26,871,65536,0,3,1,207
198571946,1562.2129,45.89851,0,26,768,65536,0,3,1,207
199572943,1604.7109,45.80015,0,26,704,65536,0,3,1,207
200574595,1647.2109,45.70648,0,28,628,65536,0,3,1,207
201574941,1689.4639,45.61281,0,28,730,65536,0,3,1,207
202575943,1732.0039,45.530838,0,28,730,65536,0,3,1,207
203577240,1774.4277,45.44974,0,28,868,65536,0,3,1,207
204577947,1816.9678,45.376274,0,28,815,65536,0,3,1,207
205579437,1860.0498,45.318726,0,28,217,65536,0,3,1,207
206579947,1901.8027,45.233368,0,29,970,65536,0,3,1,207
