timestamp,lat,lon,alt,x,y,z,roll,pitch,yaw,update_count,valid_alt,valid_hpos,valid_lpos,manual_home
164410951,31.18556680533163,117.19754540011479,39.885357,-0.97583896,1.6968527,-1.423439,0.032778684,0.12737389,-0.21710639,8,1,1,1,0
180083306,31.185573219021634,117.19753845499994,39.61917,-0.26266927,1.0361869,-1.1572533,-0.101983,-0.017547207,-0.41537905,9,1,1,1,0
184879657,31.185573219021634,117.19753845499994,40.823906,-0.26266927,1.0361869,-2.361988,-0.101983,-0.017547207,-0.41537905,10,1,1,1,0
200269749,31.185573219021634,117.19753845499994,39.62128,-0.26266927,1.0361869,-1.1593628,-0.101983,-0.017547207,-0.41537905,11,1,1,1,0
208270656,31.185573219021634,117.19753845499994,40.66323,-0.26266927,1.0361869,-2.201313,-0.101983,-0.017547207,-0.41537905,12,1,1,1,0
209073912,31.185573219021634,117.19753845499994,39.61917,-0.26266927,1.0361869,-1.1572533,-0.101983,-0.017547207,-0.41537905,13,1,1,1,0
244621767,31.185323651515798,117.19735091591099,41.854214,-28.013296,-16.803825,-3.3922958,-2.9265883,-0.8895938,2.94721,14,1,1,1,0
247668656,31.185323651515798,117.19735091591099,43.14364,-28.013296,-16.803825,-4.6817207,-2.9265883,-0.8895938,2.94721,15,1,1,1,0
248878659,31.185323651515798,117.19735091591099,44.371727,-28.013296,-16.803825,-5.909809,-2.9265883,-0.8895938,2.94721,16,1,1,1,0
249670656,31.185323651515798,117.19735091591099,45.572,-28.013296,-16.803825,-7.1100807,-2.9265883,-0.8895938,2.94721,17,1,1,1,0
250869656,31.185323651515798,117.19735091591099,46.69225,-28.013296,-16.803825,-8.230331,-2.9265883,-0.8895938,2.94721,18,1,1,1,0
261728276,31.18532222605316,117.19735364705149,45.13084,-28.1718,-16.544022,-6.6689224,-0.18179542,0.9569104,0.54050595,19,1,1,1,0
270673656,31.18532222605316,117.19735364705149,43.017933,-28.1718,-16.544022,-4.556015,-0.18179542,0.9569104,0.54050595,20,1,1,1,0
