timestamp,normalized_setpoint
165519937,0.0
166517579,0.0
167517689,0.0
168520304,0.0
169517928,0.0
170518048,0.0
171518183,0.0
172520803,0.0
173518416,0.0
174518534,0.0
175518653,0.0
176516312,0.0
177518900,0.0
178519014,0.0
179519136,0.0
180516781,0.0
181519389,0.0
182519512,0.0
183517250,0.0
184517283,0.0
185519864,0.0
186519965,0.0
187517587,0.0
188517703,0.0
189520314,0.0
190517923,0.0
191518033,0.0
192518147,0.0
193520748,0.0
194518385,0.0
195518468,0.0
196518578,0.0
197516182,0.0
198518781,0.0
199518877,0.0
200521471,0.0
201516603,0.0
202519177,0.0
203519267,0.0
204516868,0.0
205519457,0.0
206519547,0.0
207519660,0.0
208517255,0.0
209519919,0.0
210519921,0.0
211517528,0.0
212517658,0.0
213520215,0.0
214520315,0.0
215517915,0.0
216518042,0.0
217520631,0.0
218518221,0.0
219518320,0.0
220518424,0.0
221516040,0.0
222518635,0.0
223518747,0.0
224518846,0.0
225516465,0.0
226519074,0.0
227519175,0.0
228519282,0.0
229516903,0.0
230519503,0.0
231519613,0.0
232517239,0.0
233517347,0.0
234519960,0.0
235520230,0.0
236517785,0.0
237517826,0.0
238520419,0.0
239518034,0.0
240518157,0.0
241518272,0.0
242520878,0.0
243518505,0.0
244518656,0.0
245518782,0.0
246516385,0.0
247518980,0.0
248519104,0.0
249519233,0.0
250516866,0.0
251519468,0.0
252519599,0.0
253517261,0.0
254517343,0.0
255519960,0.0
256520083,0.0
257517742,0.0
258517860,0.0
259520457,0.0
260518085,0.0
261518210,0.0
262518349,0.0
263520969,0.0
264518718,0.0
265518769,0.0
266518843,0.0
267516472,0.0
268519092,0.0
269519218,0.0
270519335,0.0
271516969,0.0
272519598,0.0
273519714,0.0
274517342,0.0
275517464,0.0
276520079,0.0
277520208,0.0
