timestamp,defer_failsafes_timeout_s,disable_auto_disarm,defer_failsafes,disable_auto_set_home,source_type,source_id
162727696,0,0,0,0,0,0
163233678,0,0,0,0,0,0
163739678,0,0,0,0,0,0
164245977,0,0,0,0,0,0
164747699,0,0,0,0,0,0
165253696,0,0,0,0,0,0
165759693,0,0,0,0,0,0
166266203,0,0,0,0,0,0
166771681,0,0,0,0,0,0
167277680,0,0,0,0,0,0
167783681,0,0,0,0,0,0
168289681,0,0,0,0,0,0
168795804,0,0,0,0,0,0
169301700,0,0,0,0,0,0
169807798,0,0,0,0,0,0
170313682,0,0,0,0,0,0
170819702,0,0,0,0,0,0
171325680,0,0,0,0,0,0
171831681,0,0,0,0,0,0
172337681,0,0,0,0,0,0
172843682,0,0,0,0,0,0
173349764,0,0,0,0,0,0
173855700,0,0,0,0,0,0
174361741,0,0,0,0,0,0
174867745,0,0,0,0,0,0
175373682,0,0,0,0,0,0
175879681,0,0,0,0,0,0
176385680,0,0,0,0,0,0
176891681,0,0,0,0,0,0
177397681,0,0,0,0,0,0
177903889,0,0,0,0,0,0
178410681,0,0,0,0,0,0
178916691,0,0,0,0,0,0
179422720,0,0,0,0,0,0
179928695,0,0,0,0,0,0
180434681,0,0,0,0,0,0
180940715,0,0,0,0,0,0
181446712,0,0,0,0,0,0
181952700,0,0,0,0,0,0
182458682,0,0,0,0,0,0
182964681,0,0,0,0,0,0
183470684,0,0,0,0,0,0
183976684,0,0,0,0,0,0
184482846,0,0,0,0,0,0
184989680,0,0,0,0,0,0
185495681,0,0,0,0,0,0
186001682,0,0,0,0,0,0
186508014,0,0,0,0,0,0
187013693,0,0,0,0,0,0
187520256,0,0,0,0,0,0
188025681,0,0,0,0,0,0
188531682,0,0,0,0,0,0
189037681,0,0,0,0,0,0
189543683,0,0,0,0,0,0
190049682,0,0,0,0,0,0
190555700,0,0,0,0,0,0
191061963,0,0,0,0,0,0
191567682,0,0,0,0,0,0
192073684,0,0,0,0,0,0
192579681,0,0,0,0,0,0
193085681,0,0,0,0,0,0
193591687,0,0,0,0,0,0
194097681,0,0,0,0,0,0
194603895,0,0,0,0,0,0
195109683,0,0,0,0,0,0
195616240,0,0,0,0,0,0
196121683,0,0,0,0,0,0
196627682,0,0,0,0,0,0
197133681,0,0,0,0,0,0
197639681,0,0,0,0,0,0
198145681,0,0,0,0,0,0
198651682,0,0,0,0,0,0
199157714,0,0,0,0,0,0
199663682,0,0,0,0,0,0
200170681,0,0,0,0,0,0
200676694,0,0,0,0,0,0
201183128,0,0,0,0,0,0
201689681,0,0,0,0,0,0
202195701,0,0,0,0,0,0
202701701,0,0,0,0,0,0
203207965,0,0,0,0,0,0
203713702,0,0,0,0,0,0
204220682,0,0,0,0,0,0
204726787,0,0,0,0,0,0
205233104,0,0,0,0,0,0
205739683,0,0,0,0,0,0
206245728,0,0,0,0,0,0
206751824,0,0,0,0,0,0
207258121,0,0,0,0,0,0
207764682,0,0,0,0,0,0
208270686,0,0,0,0,0,0
208776682,0,0,0,0,0,0
209282681,0,0,0,0,0,0
209789681,0,0,0,0,0,0
210295738,0,0,0,0,0,0
210801805,0,0,0,0,0,0
211307681,0,0,0,0,0,0
211814681,0,0,0,0,0,0
212320778,0,0,0,0,0,0
212826691,0,0,0,0,0,0
213333649,0,0,0,0,0,0
213839699,0,0,0,0,0,0
214346003,0,0,0,0,0,0
