timestamp,uptime_sec,node_id,vendor_specific_status_code,health,mode,sub_mode
164451544,164,125,65535,0,0,0
164553533,164,125,65535,0,0,0
164757530,164,125,65535,0,0,0
164961538,164,125,65535,0,0,0
165265600,165,125,65535,0,0,0
165468530,165,125,65535,0,0,0
165774532,165,125,65535,0,0,0
165978530,165,125,65535,0,0,0
166284532,166,125,65535,0,0,0
166488530,166,125,65535,0,0,0
166692530,166,125,65535,0,0,0
166995556,166,125,65535,0,0,0
167196530,166,125,65535,0,0,0
167502531,167,125,65535,0,0,0
167706530,167,125,65535,0,0,0
168012530,167,125,65535,0,0,0
168216569,167,125,65535,0,0,0
168522531,168,125,65535,0,0,0
168726531,168,125,65535,0,0,0
169032531,168,125,65535,0,0,0
169236530,168,125,65535,0,0,0
169438836,169,125,65535,0,0,0
169741584,169,125,65535,0,0,0
169942373,169,125,65535,0,0,0
170247530,170,125,65535,0,0,0
170451530,170,125,65535,0,0,0
170757531,170,125,65535,0,0,0
170961530,170,125,65535,0,0,0
171262884,171,125,65535,0,0,0
171465530,171,125,65535,0,0,0
171771530,171,125,65535,0,0,0
171975532,171,125,65535,0,0,0
172281771,172,125,65535,0,0,0
172485532,172,125,65535,0,0,0
172689530,172,125,65535,0,0,0
172995544,172,125,65535,0,0,0
173199622,172,125,65535,0,0,0
173505536,173,125,65535,0,0,0
173709064,173,125,65535,0,0,0
174015532,173,125,65535,0,0,0
174219530,173,125,65535,0,0,0
174525532,174,125,65535,0,0,0
174729530,174,125,65535,0,0,0
175035532,174,125,65535,0,0,0
175237645,174,125,65535,0,0,0
175440791,175,125,65535,0,0,0
175746531,175,125,65535,0,0,0
175950531,175,125,65535,0,0,0
176253562,176,125,65535,0,0,0
176454532,176,125,65535,0,0,0
176760541,176,125,65535,0,0,0
176961531,176,125,65535,0,0,0
177262870,177,125,65535,0,0,0
177465530,177,125,65535,0,0,0
177771530,177,125,65535,0,0,0
177975532,177,125,65535,0,0,0
178281530,178,125,65535,0,0,0
178485541,178,125,65535,0,0,0
178689530,178,125,65535,0,0,0
178995883,178,125,65535,0,0,0
179199530,178,125,65535,0,0,0
179505533,179,125,65535,0,0,0
179709531,179,125,65535,0,0,0
180015532,179,125,65535,0,0,0
180219530,179,125,65535,0,0,0
180525532,180,125,65535,0,0,0
180729530,180,125,65535,0,0,0
181035714,180,125,65535,0,0,0
181237591,180,125,65535,0,0,0
181440524,181,125,65535,0,0,0
181746531,181,125,65535,0,0,0
181950579,181,125,65535,0,0,0
182256530,182,125,65535,0,0,0
182460531,182,125,65535,0,0,0
182763532,182,125,65535,0,0,0
182967530,182,125,65535,0,0,0
183273532,183,125,65535,0,0,0
183477543,183,125,65535,0,0,0
183783532,183,125,65535,0,0,0
183987626,183,125,65535,0,0,0
184191530,183,125,65535,0,0,0
184497530,184,125,65535,0,0,0
184701530,184,125,65535,0,0,0
185007551,184,125,65535,0,0,0
185211530,184,125,65535,0,0,0
185517530,185,125,65535,0,0,0
185721530,185,125,65535,0,0,0
186027531,185,125,65535,0,0,0
186231530,185,125,65535,0,0,0
186537890,186,125,65535,0,0,0
186742126,186,125,65535,0,0,0
186942530,186,125,65535,0,0,0
187248543,187,125,65535,0,0,0
