timestamp,timestamp_sample,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,tas_scale_raw,tas_scale_raw_var,tas_scale_validated,beta_innov,beta_innov_var,source
165408048,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
166408051,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
167408031,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
168408088,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
169408029,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
170408029,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
171408029,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
172408029,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
173408029,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
174408030,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
175408030,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
176408030,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
177408029,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
178408029,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
179408029,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
180408029,0,-0.44277966,-0.5133142,0.6108475,0.012922578,nan,nan,nan,nan,nan,-0.12814504,0.38853183,0
181408029,0,-0.22513185,-0.5746693,9.46885e-05,0.013652109,nan,nan,nan,nan,nan,0.45088077,0.08733355,0
182408030,0,-0.22222872,-0.6361258,0.009971924,0.014513713,nan,nan,nan,nan,nan,0.064012796,0.022938222,0
183408029,0,-0.23044169,-0.6533064,0.020903487,0.025214875,nan,nan,nan,nan,nan,0.28715304,0.025640635,0
184408029,0,-0.29448804,-0.80562204,0.028827922,0.023833346,nan,nan,nan,nan,nan,0.12888066,0.024793932,0
185408029,0,-0.31524768,-0.87135774,0.039168548,0.027978944,nan,nan,nan,nan,nan,-0.071022145,0.024079084,0
186408059,0,-0.25166434,-0.68602896,0.048239887,0.029924875,nan,nan,nan,nan,nan,-0.057245288,0.023727722,0
187408029,0,-0.26750073,-0.7154462,0.047668375,0.028035956,nan,nan,nan,nan,nan,0.23785943,0.023672432,0
188408038,0,-0.26750073,-0.7154462,0.058668077,0.039035656,nan,nan,nan,nan,nan,0.20654368,0.027495606,0
189408078,0,-0.32879245,-0.65322477,0.0551081,0.032554016,nan,nan,nan,nan,nan,-0.4170931,0.03088077,0
190408029,0,-0.32879245,-0.65322477,0.0651081,0.042554017,nan,nan,nan,nan,nan,-0.6611505,0.027483229,0
191408037,0,-0.32879245,-0.65322477,0.07510811,0.052554026,nan,nan,nan,nan,nan,-0.4926966,0.024451781,0
192408029,0,-0.4114379,-0.7110746,0.0807023,0.060395844,nan,nan,nan,nan,nan,-0.13606857,0.023482054,0
193408028,0,-0.5897564,-0.8696005,0.08320198,0.06451833,nan,nan,nan,nan,nan,-0.08351483,0.023473354,0
194408029,0,-0.59028226,-0.86543536,0.088204026,0.058890007,nan,nan,nan,nan,nan,0.023887133,0.023671618,0
195408030,0,-0.59328216,-0.8480857,0.0960284,0.046333853,nan,nan,nan,nan,nan,0.012619246,0.023609558,0
196408030,0,-0.4549395,-0.9721438,0.092013024,0.046045963,nan,nan,nan,nan,nan,0.0075558443,0.023465103,0
197408029,0,-0.4979593,-0.959914,0.08231333,0.052829612,nan,nan,nan,nan,nan,0.07363898,0.023588313,0
198408030,0,-0.65329933,-0.9873906,0.06355575,0.061230317,nan,nan,nan,nan,nan,0.08875904,0.023517054,0
199408029,0,-0.7102556,-1.1100032,0.07127055,0.060117844,nan,nan,nan,nan,nan,0.005669269,0.023416013,0
200408042,0,-0.89934295,-0.9818532,0.07095345,0.06597886,nan,nan,nan,nan,nan,-0.23199554,0.023245515,0
201408031,0,-0.93237954,-1.0134729,0.07980986,0.074931264,nan,nan,nan,nan,nan,-0.1483766,0.023068314,0
202408029,0,-0.9412264,-1.0819578,0.08922278,0.078103796,nan,nan,nan,nan,nan,-0.090639666,0.02280192,0
203408029,0,-0.8274391,-1.1071498,0.08835302,0.08728614,nan,nan,nan,nan,nan,-0.035470396,0.02315111,0
204408030,0,-0.80555093,-1.1139885,0.086929984,0.08526216,nan,nan,nan,nan,nan,0.003581125,0.023282353,0
205408029,0,-0.84640706,-1.0403236,0.0946145,0.085548356,nan,nan,nan,nan,nan,-0.15208517,0.02305942,0
206408029,0,-0.9718508,-1.0675327,0.09316494,0.09444389,nan,nan,nan,nan,nan,-0.21382876,0.023056347,0
207408029,0,-0.9718508,-1.0675327,0.104164794,0.10544374,nan,nan,nan,nan,nan,-0.27384377,0.026163217,0
208408029,0,-1.0109309,-0.74455094,0.11445063,0.0680837,nan,nan,nan,nan,nan,-0.04837614,0.02455688,0
209408029,0,-1.0186653,-0.536845,0.12536594,0.042187218,nan,nan,nan,nan,nan,-0.09820201,0.027536128,0
210408029,0,-0.6607623,-0.15915206,0.041631345,0.0152791105,nan,nan,nan,nan,nan,-0.8723058,0.04361172,0
211408041,0,-0.77671534,-0.107479334,0.013557795,0.017718162,nan,nan,nan,nan,nan,0.22051269,0.03844499,0
212408029,0,-0.77671534,-0.107479334,0.013557795,0.017718162,nan,nan,nan,nan,nan,0.2523702,0.040830266,0
213408063,0,-0.78048205,0.0041518994,0.02453806,0.011489186,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
214408097,0,-0.78048205,0.0041518994,0.03453806,0.021489188,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
215408029,0,-0.78048205,0.0041518994,0.044538062,0.03148919,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
216408029,0,-0.78048205,0.0041518994,0.05453807,0.0414892,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
217408029,0,-0.78048205,0.0041518994,0.064538404,0.051489532,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
218408029,0,-0.78048205,0.0041518994,0.07553819,0.062489312,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
219408030,0,-0.78048205,0.0041518994,0.08653807,0.07348919,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
220408029,0,-0.78048205,0.0041518994,0.09653808,0.0834892,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
221408029,0,-0.78048205,0.0041518994,0.10753808,0.0944892,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
222408029,0,-0.78048205,0.0041518994,0.118538074,0.105489194,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
223408029,0,-0.78048205,0.0041518994,0.12853807,0.11548919,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
224408029,0,-0.78048205,0.0041518994,0.13853809,0.12548922,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
225408029,0,-0.78048205,0.0041518994,0.14953807,0.1364892,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
226408029,0,-0.78048205,0.0041518994,0.15953808,0.1464892,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
227408029,0,-0.78048205,0.0041518994,0.16953808,0.15648921,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
228408030,0,-0.78048205,0.0041518994,0.17953809,0.16648921,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
