timestamp,normalized_setpoint
22265555,0.0
23268204,0.0
24268347,0.0
25268621,0.0
26268665,0.0
27268883,0.0
28268964,0.0
29266627,0.0
30266791,0.0
31269438,0.0
32269609,0.0
33267260,0.0
34267424,0.0
35270251,0.0
36267747,0.0
37267905,0.0
38268072,0.0
39270742,0.0
40268416,0.0
41268568,0.0
42268737,0.0
43266409,0.0
44266572,0.0
45269253,0.0
46266995,0.0
47267084,0.0
48267253,0.0
49269914,0.0
50267592,0.0
51267818,0.0
52267931,0.0
53270597,0.0
54268309,0.0
55268442,0.0
56268625,0.0
57266287,0.0
58268953,0.0
59269130,0.0
60269293,0.0
61266968,0.0
62267143,0.0
63269811,0.0
64267491,0.0
65267666,0.0
66267835,0.0
67270549,0.0
68268174,0.0
69268345,0.0
70268520,0.0
71266208,0.0
72268866,0.0
73269042,0.0
74269217,0.0
75266894,0.0
76267070,0.0
77269750,0.0
78267416,0.0
79267586,0.0
80267763,0.0
81270426,0.0
82268106,0.0
83268294,0.0
84268456,0.0
85266179,0.0
86268814,0.0
