timestamp,indicated_airspeed_m_s,calibrated_airspeed_m_s,true_airspeed_m_s,calibrated_ground_minus_wind_m_s,calibraded_airspeed_synth_m_s,airspeed_derivative_filtered,throttle_filtered,pitch_filtered,airspeed_source
8910879,17.882095,18.309849,18.12418,nan,7.0,0.0,0.013772952,0.0,1
9010911,17.930061,18.358963,18.16967,nan,7.0,0.0,0.013881329,0.0,1
9110878,17.882095,18.309849,18.120882,nan,7.0,0.0,0.01397159,0.0,1
9310878,17.882095,18.309849,18.124067,nan,7.0,0.0,0.014109533,0.0,1
9510878,17.906094,18.334421,18.148458,nan,7.0,0.0,0.014205328,0.0,1
9710916,18.049417,18.481174,18.2937,nan,7.0,0.0,0.014271861,0.0,1
9910877,18.120653,18.554113,18.365831,nan,7.0,0.0,0.014318048,0.0,1
10110877,18.158531,18.592897,18.4011,nan,7.0,0.0,0.014350129,0.0,1
10310878,18.167988,18.602581,18.413668,nan,7.0,0.0,0.014372408,0.0,1
10510877,18.215202,18.650925,18.461798,nan,7.0,0.0,0.01438788,0.0,1
10710878,18.215202,18.650925,18.461706,nan,7.0,0.0,0.014398624,0.0,1
10910877,18.285791,18.723202,18.533134,nan,7.0,0.0,0.014406085,0.0,1
11110897,18.309261,18.747232,18.556782,nan,7.0,0.0,0.01561339,0.0,1
11310878,18.461086,18.902689,18.710728,nan,7.0,0.0,0.021125348,0.0,1
11510910,18.271694,18.708767,18.518938,nan,7.0,0.0,0.024753584,0.0,1
11710878,18.215202,18.650925,18.461592,nan,7.0,0.0,0.027472772,0.0,1
11910876,18.025608,18.456795,18.269453,nan,7.0,0.0,0.029194443,0.0,1
12110876,18.309261,18.747232,18.556944,nan,7.0,0.0,0.030390097,0.0,1
12310876,18.309261,18.747232,18.556805,nan,7.0,0.0,0.035260208,0.0,1
12510895,18.252884,18.689507,18.499872,nan,7.0,0.0,0.04011162,0.0,1
12710876,18.167988,18.602581,18.413784,nan,7.0,0.0,0.045950398,0.0,1
12910876,18.262293,18.69914,18.509293,nan,7.0,0.0,0.054813303,0.0,1
13110876,18.3327,18.771233,18.580793,nan,7.0,0.0,0.06637675,0.0,1
13310876,18.238762,18.675047,18.485283,nan,7.0,0.0,0.0777451,0.0,1
13510878,17.977898,18.407944,18.217941,nan,7.0,0.0,0.0960905,0.0,1
13710876,18.104849,18.537931,18.349745,nan,7.0,0.0,0.111367375,0.0,1
13910896,18.41839,18.858973,18.66718,nan,7.0,0.0,0.12421448,0.0,1
14110876,17.279577,17.692919,17.513048,nan,7.0,0.0,0.13420269,0.0,1
14310877,18.00972,18.440527,18.253374,nan,7.0,0.0,0.14170729,0.0,1
14510877,17.469072,17.886946,17.705145,nan,7.0,0.0,0.14855473,0.0,1
14710876,18.136446,18.570284,18.378538,nan,7.0,0.0,0.15384406,0.0,1
14910876,17.603758,18.024853,17.838606,nan,7.0,0.0,0.15751724,0.0,1
15110876,17.882095,18.309849,18.118776,nan,7.0,0.0,0.16006805,0.0,1
15310898,17.607822,18.029015,17.824854,nan,7.0,0.0,0.16461095,0.0,1
15510876,18.025608,18.456795,18.24756,nan,7.0,0.0,0.16849954,0.0,1
15710894,16.409374,16.801899,16.611446,nan,7.0,0.0,0.17136739,0.0,1
15910877,17.721273,18.14518,17.939991,nan,7.0,0.0,0.17352554,0.0,1
16110876,17.121456,17.531015,17.332449,nan,7.0,0.0,0.17485747,0.0,1
16310876,16.809267,17.211357,17.016392,nan,7.0,0.0,0.15738633,0.0,1
16510876,16.638079,17.036074,16.84303,nan,7.0,0.0,0.11370311,0.0,1
16710895,17.246408,17.658957,17.458963,nan,7.0,0.0,0.08336535,0.0,1
16910877,17.071218,17.479576,17.281422,nan,7.0,0.0,0.062301084,0.0,1
17110876,16.68962,17.088848,16.89529,nan,7.0,0.0,0.04767174,0.0,1
17310877,16.970297,17.37624,17.179363,nan,7.0,0.0,0.037512377,0.0,1
17510876,16.82629,17.228788,17.033455,nan,7.0,0.0,0.042408995,0.0,1
17710876,16.038807,16.422468,16.236135,nan,7.0,0.0,0.04120282,0.0,1
17910876,16.180092,16.567133,16.379179,nan,7.0,0.0,0.03302011,0.0,1
18110896,16.351698,16.742844,16.552835,nan,7.0,0.0,0.027337242,0.0,1
18310897,16.166815,16.553537,16.36578,nan,7.0,0.0,0.033207517,0.0,1
18510876,16.37794,16.769712,16.5794,nan,7.0,0.0,0.03995393,0.0,1
18710876,16.44336,16.836697,16.645582,nan,7.0,0.0,0.032152828,0.0,1
18910876,16.50852,16.903418,16.71138,nan,7.0,0.0,0.026735393,0.0,1
19110877,16.586376,16.983135,16.790234,nan,7.0,0.0,0.022973273,0.0,1
19310877,16.860285,17.263596,17.067446,nan,7.0,0.0,0.020360703,0.0,1
19510897,16.868773,17.272287,17.075762,nan,7.0,0.0,0.018546281,0.0,1
19710906,16.89421,17.298334,17.101576,nan,7.0,0.0,0.01728636,0.0,1
19910876,16.89421,17.298334,17.10147,nan,7.0,0.0,0.016411558,0.0,1
20110876,17.008213,17.415062,17.217083,nan,7.0,0.0,0.015803957,0.0,1
20310876,16.906916,17.311342,17.114542,nan,7.0,0.0,0.0153820105,0.0,1
20510876,16.72817,17.12832,16.933434,nan,7.0,0.0,0.015088992,0.0,1
20710876,16.766634,17.167706,16.972391,nan,7.0,0.0,0.0148855075,0.0,1
20910896,16.82629,17.228788,17.032885,nan,7.0,0.0,0.014744188,0.0,1
21110876,16.71533,17.115173,16.920584,nan,7.0,0.0,0.014646067,0.0,1
21310877,16.430296,16.823322,16.632133,nan,7.0,0.0,0.014577921,0.0,1
21510876,16.469456,16.863419,16.671816,nan,7.0,0.0,0.014530597,0.0,1
21710876,16.672457,17.071276,16.877434,nan,7.0,0.0,0.014497733,0.0,1
21910876,16.499847,16.894537,16.702785,nan,7.0,0.0,0.014474911,0.0,1
22110879,16.430296,16.823322,16.632421,nan,7.0,0.0,0.014459062,0.0,1
22310897,16.68962,17.088848,16.89466,0.63386816,7.0,0.0,0.014448055,0.0,1
22510876,16.638079,17.036074,16.8428,0.6259454,7.0,0.0,0.014440414,0.0,1
22710876,16.49551,16.890095,16.698582,0.2795622,7.0,0.0,0.014435106,0.0,1
22910880,16.792227,17.19391,16.9991,0.34725007,7.0,0.0,0.01443142,0.0,1
23110876,17.129814,17.539572,17.340715,0.54140294,7.0,0.0,0.0144288605,0.0,1
23310905,16.758095,17.158962,16.964336,0.66110325,7.0,0.0,0.014427083,0.0,1
23510876,16.81778,17.220074,17.024776,0.34810147,7.0,0.0,0.014425849,0.0,1
23710901,16.843296,17.2462,17.0505,0.47785145,7.0,0.0,0.014424991,0.0,1
