timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
8942638,8942553,-0.063576885,-0.03664242,0.024602778,0.4217973,-0.2872496,-0.24365553
8945135,8945047,-0.06151464,-0.037193052,0.024971845,0.52041686,-0.26602867,-0.12128617
8965082,8964996,-0.06267718,-0.03380893,0.019850885,0.014051718,0.2601033,-0.25589556
8985028,8984945,-0.06978464,-0.030503158,0.006697378,-0.05260586,0.24296403,-0.6466461
9004979,9004895,-0.045728955,-0.022772027,-0.005192941,1.343269,0.52380735,-0.6972693
9022498,9022352,-0.016154688,-0.02600865,-0.022898098,1.5769857,-0.14966235,-1.1797171
9044877,9044794,-0.01023794,-0.027010342,-0.040276356,0.18242438,-0.10639616,-0.7245323
9064825,9064744,-0.004432819,-0.03492321,-0.061845757,0.30004102,-0.23694873,-0.9560864
9087269,9087187,-0.0019987698,-0.047047578,-0.08407949,0.23216845,-0.7811368,-0.95482343
9104792,9104643,0.0019056734,-0.05405585,-0.096922345,0.54904246,-0.2977128,-0.7588115
9124677,9124593,0.011824508,-0.055833764,-0.11484413,0.40251487,0.13274011,-0.92058814
9147120,9147037,0.021299083,-0.061800845,-0.12850748,0.4279431,-0.3804253,-0.6218497
9164574,9164492,0.025506062,-0.062281094,-0.13776584,0.32551628,-0.122048356,-0.541392
9184522,9184442,0.035921838,-0.06870157,-0.13549411,0.6098291,-0.49519318,0.20838438
9204472,9204392,0.051642075,-0.061380737,-0.13968831,1.1873808,0.28922388,-0.13425772
9226916,9226835,0.0688217,-0.04571994,-0.13601148,0.7510438,0.7352848,0.016401194
9244372,9244291,0.069346696,-0.031073257,-0.13057864,0.24034932,0.92081755,0.44366005
9264323,9264241,0.07707677,-0.01948735,-0.12366039,0.48383465,0.43071264,0.27631247
9286770,9286684,0.066930585,-0.0032360987,-0.109415255,-0.6300296,0.64589435,0.69927156
9304300,9304140,0.055070266,0.003512613,-0.10359034,-0.5106869,0.36678618,0.35777363
9324176,9324090,0.047695324,-0.0021165179,-0.09749229,-0.27310923,-0.2421601,0.28572524
