timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
8941552,8941465,-2.1753173,0.079247266,-9.497358
8946453,8946367,-2.208286,0.098976836,-9.503514
8995470,8995388,-2.3559265,0.18123807,-9.5751915
9044493,9044409,-2.4596655,0.09882173,-9.525338
9093517,9093434,-2.6156704,0.078434795,-9.68826
9147467,9147364,-2.5068924,0.11690573,-9.706573
9191570,9191485,-2.699486,-0.031027142,-9.656739
9240596,9240513,-2.4218743,0.11968376,-9.595187
9294530,9294444,-2.2204165,0.0665708,-9.474685
9343692,9343469,-2.3787818,0.19278637,-9.390127
9392575,9392491,-2.5112255,0.09796411,-9.404515
9441616,9441519,-2.5691311,-0.061975136,-9.490119
9495538,9495447,-2.8328345,-0.09177451,-9.54546
9544554,9544471,-2.3607473,-0.07698073,-9.806752
9593614,9593497,-2.6315525,-0.25811833,-9.807657
9643100,9643017,-2.6166778,-0.16891693,-9.781153
9692131,9692046,-2.569905,-0.20231228,-9.643592
9746072,9745979,-2.1819863,-0.22634876,-9.477729
9790189,9790105,-2.1405928,-0.41054958,-9.389337
9844116,9844033,-2.147708,-0.37960967,-9.544438
9893143,9893059,-2.2931247,-0.4293539,-9.559572
9942166,9942085,-2.1137812,-0.34415373,-9.6814575
9996109,9996017,-2.4022343,-0.45019475,-9.5738
10045136,10045045,-2.2665122,-0.4257881,-9.652686
10094155,10094073,-2.3918662,-0.416168,-9.589818
10143184,10143103,-2.4791477,-0.38440135,-9.602901
10197118,10197037,-2.4555528,-0.435608,-9.518829
10246150,10246066,-2.1306696,-0.3443095,-9.532014
10295182,10295100,-2.1380024,-0.3630748,-9.4088335
10344287,10344130,-2.108466,-0.30647916,-9.384599
10393238,10393156,-2.2657602,-0.4306499,-9.356322
10442267,10442186,-2.4021833,-0.39648062,-9.566471
10491480,10491216,-2.2995803,-0.42786354,-9.6488085
10545230,10545147,-2.5492938,-0.3880854,-9.728692
10594256,10594175,-2.6029744,-0.4756425,-9.691094
10643299,10643205,-2.5616791,-0.5482641,-9.653851
10697219,10697138,-2.4761603,-0.49958235,-9.598932
10746254,10746170,-2.3830914,-0.49516496,-9.616721
10795791,10795695,-2.475999,-0.4900378,-9.512268
10844808,10844726,-2.4193208,-0.48093778,-9.52991
10893839,10893754,-2.4760888,-0.41965744,-9.575043
10942864,10942781,-2.5317466,-0.39866015,-9.533836
10991907,10991807,-2.390439,-0.48279062,-9.504857
11045818,11045734,-2.5901525,-0.40970594,-9.562897
11094874,11094763,-2.6180892,-0.5266809,-9.53623
11144018,11143789,-2.3190842,-0.4869033,-9.433643
11192900,11192811,-2.5207756,-0.47592685,-9.490365
11246940,11246743,-2.5444496,-0.39284912,-9.564057
11295857,11295774,-2.577744,-0.33276775,-9.750614
11344886,11344804,-2.6279233,-0.14444122,-9.86629
11393932,11393831,-2.5836465,-0.23310718,-9.625529
11442940,11442859,-2.4296162,-0.53582627,-9.365159
11491966,11491885,-2.7219017,-0.52241623,-9.52646
11541015,11540915,-2.8520374,0.017701937,-9.867903
11594932,11594844,-2.3105905,-0.09864119,-9.712272
11643979,11643872,-2.2189574,0.18465884,-9.589264
11692994,11692899,-2.5225682,0.18117867,-9.529359
11746914,11746831,-2.3254352,0.16099875,-9.565608
