timestamp,timestamp_last_signal,rssi,rssi_dbm,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,rc_frame_rate,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source,link_quality,link_snr
9407972,9407412,40,nan,0,1501,0,0,1576,1495,1094,1503,1927,1094,1870,1908,1510,1094,1094,1927,1094,1094,1510,1522,998,998,18,0,0,4,-1,0
9899370,9898810,41,nan,0,1583,0,0,1576,1495,1094,1503,1927,1094,1870,1908,1510,1094,1094,1927,1094,1094,1510,1511,998,998,18,0,0,4,-1,0
10412902,10412343,40,nan,0,1669,0,0,1576,1495,1094,1503,1927,1094,1870,1908,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
10904189,10903630,41,nan,0,1751,0,0,1576,1495,1094,1503,1927,1094,1870,1909,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
11400439,11399881,41,nan,0,1834,0,0,1576,1495,1110,1490,1927,1094,1870,1908,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
11909119,11908560,41,nan,0,1920,0,0,1576,1495,1110,1503,1927,1094,1870,1909,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
12395389,12394829,41,nan,0,2001,0,0,1576,1495,1124,1503,1927,1094,1870,1908,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
12904117,12903558,41,nan,0,2086,0,0,1576,1495,1148,1503,1927,1094,1870,1908,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
13412834,13412272,41,nan,0,2171,0,0,1576,1495,1192,1503,1927,1094,1870,1909,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
13899149,13898589,41,nan,0,2252,0,0,1576,1495,1211,1503,1927,1094,1870,1908,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
14407938,14407378,41,nan,0,2337,0,0,1576,1495,1218,1503,1927,1094,1870,1908,1510,1094,1094,1927,1094,1094,1510,1511,998,998,18,0,0,4,-1,0
14914134,14913535,41,nan,0,2422,0,0,1576,1495,1220,1503,1927,1094,1870,1908,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
15402845,15402285,41,nan,0,2504,0,0,1576,1495,1229,1503,1927,1094,1870,1908,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
15911537,15910977,41,nan,0,2589,0,0,1576,1495,1230,1503,1927,1094,1870,1908,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
16397883,16397309,41,nan,0,2670,0,0,1576,1495,1094,1502,1927,1094,1870,1908,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
16906538,16905980,41,nan,0,2755,0,0,1576,1495,1094,1503,1927,1094,1870,1908,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
17395336,17394768,41,nan,0,2837,0,0,1576,1495,1114,1503,1927,1094,1870,1908,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
17904090,17903530,39,nan,0,2922,0,0,1576,1495,1094,1503,1927,1094,1870,1908,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
